name,nodes,edges,time,result_set,result_w
SoA heuristic,20,30,5.509995389729738e-05,2,3
MMG,20,30,0.00010320002911612391,2,3
SoA heuristic,40,60,4.600000102072954e-05,3,12
MMG,40,60,0.000112400040961802,3,12
SoA heuristic,100,150,8.359999628737569e-05,9,110
MMG,100,150,0.0004716000403277576,9,110
SoA heuristic,200,300,0.00015919998986646533,20,466
MMG,200,300,0.0017068999586626887,20,466
SoA heuristic,400,600,0.00029580004047602415,44,2145
MMG,400,600,0.006575499952305108,44,2145
SoA heuristic,600,900,0.00041879998752847314,61,4488
MMG,600,900,0.013594300020486116,61,4488
SoA heuristic,1000,1500,0.0008004999835975468,113,14061
MMG,1000,1500,0.0415688999928534,113,14061
SoA heuristic,2000,3000,0.0016780999721959233,201,50262
MMG,2000,3000,0.15255050000268966,201,50262
SoA heuristic,4000,6000,0.003907799953594804,396,196985
MMG,4000,6000,0.6068209999939427,396,196985
SoA heuristic,8000,12000,0.007772400043904781,787,784618
MMG,8000,12000,2.428875000041444,787,784618
