name,nodes,edges,time,result_set,result_w
SoA heuristic,4000,6000,0.05360000004293397,399,198344
MMG,4000,6000,0.6158511000103317,399,198344
SoA heuristic,4020,6030,0.0033061999711208045,409,204415
MMG,4020,6030,0.6272457000450231,410,204886
SoA heuristic,4040,6060,0.004155099974013865,410,206045
MMG,4040,6060,0.6210656000184827,409,205550
SoA heuristic,4080,6120,0.003217899997252971,411,208964
MMG,4080,6120,0.6066851000068709,411,208964
SoA heuristic,4120,6180,0.0032801000052131712,406,208061
MMG,4120,6180,0.6095067000132985,406,208110
SoA heuristic,4200,6300,0.03861319995485246,427,223595
MMG,4200,6300,0.6715526999905705,427,223595
SoA heuristic,4240,6360,0.003435899969190359,416,219672
MMG,4240,6360,0.6718325999681838,416,219708
SoA heuristic,4400,6600,0.004184399964287877,443,242697
MMG,4400,6600,0.7478562000324018,442,242153
SoA heuristic,4600,6900,0.0042915999656543136,452,258383
MMG,4600,6900,0.7785131999989972,452,258383
