name,nodes,edges,time,result_set,result_w
SoA heuristic,20,30,7.08999577909708e-05,3,5
MMG,20,30,0.00015159999020397663,2,4
SoA heuristic,40,60,9.459996363148093e-05,4,5
MMG,40,60,0.00030999997397884727,4,5
SoA heuristic,100,150,0.0001246000174432993,12,17
MMG,100,150,0.000985999999102205,12,17
SoA heuristic,200,300,0.0001469000126235187,26,49
MMG,200,300,0.0023496999638155103,22,46
SoA heuristic,400,600,0.0005985000170767307,46,68
MMG,400,600,0.008961400017142296,42,68
SoA heuristic,600,900,0.0007449999684467912,64,121
MMG,600,900,0.034200800000689924,62,123
SoA heuristic,1000,1500,0.0009629999985918403,110,160
MMG,1000,1500,0.10072470002342016,106,164
SoA heuristic,2000,3000,0.0035650000208988786,221,373
MMG,2000,3000,0.1891254999791272,201,353
SoA heuristic,4000,6000,0.0030014999792911112,444,764
MMG,4000,6000,0.8775409999652766,415,754
SoA heuristic,8000,12000,0.017224100010935217,888,1467
MMG,8000,12000,3.739162900019437,809,1446
