name,nodes,edges,time,result_set,result_w
SoA heuristic,4000,6000,0.0036196999717503786,450,796
MMG,4000,6000,1.0687691000057384,407,790
SoA heuristic,4020,6030,0.0034084999933838844,441,750
MMG,4020,6030,0.9365611000102945,395,733
SoA heuristic,4040,6060,0.003025999991223216,461,761
MMG,4040,6060,0.9419661000138149,409,724
SoA heuristic,4080,6120,0.0035741999745368958,444,758
MMG,4080,6120,0.8508559999754652,412,741
SoA heuristic,4120,6180,0.003195199999026954,460,767
MMG,4120,6180,0.916311000008136,411,746
SoA heuristic,4200,6300,0.0031310999765992165,461,750
MMG,4200,6300,0.9923667999682948,408,730
SoA heuristic,4240,6360,0.0037661999813281,476,834
MMG,4240,6360,0.9432858000509441,429,813
SoA heuristic,4400,6600,0.0032845999812707305,478,796
MMG,4400,6600,1.1697676999610849,429,759
SoA heuristic,4600,6900,0.004100199963431805,502,853
MMG,4600,6900,1.141232600028161,458,849
