name,nodes,edges,time,result_set,result_w
SoA heuristic,20,30,4.5599997974932194e-05,2,1.9686103728820155
MMG,20,30,7.500004721805453e-05,2,1.9686103728820155
SoA heuristic,40,60,4.730001091957092e-05,4,3.7810814216516997
MMG,40,60,0.00013499998021870852,4,3.7810814216516997
SoA heuristic,100,150,8.289999095723033e-05,11,6.639025625763387
MMG,100,150,0.0005163999740034342,10,6.327620655150047
SoA heuristic,200,300,0.00015590002294629812,27,23.239301996458096
MMG,200,300,0.002021400025114417,25,34.3521341051538
SoA heuristic,400,600,0.00029180001001805067,49,41.04285466921597
MMG,400,600,0.006576399959158152,44,41.61128889528747
SoA heuristic,600,900,0.0004186999867670238,67,68.135322849612
MMG,600,900,0.013759900000877678,61,75.76179858986453
SoA heuristic,1000,1500,0.0008231000392697752,118,141.88284092992927
MMG,1000,1500,0.038667500019073486,102,149.65681273887654
SoA heuristic,2000,3000,0.0018550999811850488,230,300.0034916949596
MMG,2000,3000,0.15481310000177473,207,318.805815039694
SoA heuristic,4000,6000,0.0034964000224135816,475,565.9611937172414
MMG,4000,6000,0.612690600042697,405,586.7445976404252
SoA heuristic,8000,12000,0.0076518000569194555,928,1144.8389525500857
MMG,8000,12000,2.3359219999983907,789,1179.5530111066037
