name,nodes,edges,time,result_set,result_w
SoA heuristic,20,30,4.5900000259280205e-05,4,-19.740974655977464
MMG,20,30,7.51999905332923e-05,2,-6.945171060735781
SoA heuristic,40,60,4.579999949783087e-05,5,6.041175616453341
MMG,40,60,0.00013380002928897738,4,9.716787320012365
SoA heuristic,100,150,9.019998833537102e-05,14,-191.12171939873474
MMG,100,150,0.000541800050996244,10,-52.44628603124002
SoA heuristic,200,300,0.00018939998699352145,24,-639.0257836531159
MMG,200,300,0.0013927000109106302,15,-172.58999407463355
SoA heuristic,400,600,0.00030700000934302807,51,-1735.9779316399106
MMG,400,600,0.0065321000292897224,43,-891.5478388348726
SoA heuristic,600,900,0.0004458999610505998,78,-3928.3031461207765
MMG,600,900,0.012869600031990558,58,-425.2104205184759
SoA heuristic,1000,1500,0.0008581000147387385,136,-12795.766340794247
MMG,1000,1500,0.03779409994604066,99,-5113.484062898435
SoA heuristic,2000,3000,0.0015992000116966665,282,-40589.29374576942
MMG,2000,3000,0.14910469995811582,213,-8357.01120135781
SoA heuristic,4000,6000,0.003534400020726025,538,-203190.4585424607
MMG,4000,6000,0.5959778999676928,387,-60624.076667160574
SoA heuristic,8000,12000,0.007770399970468134,1092,-846552.3761946028
MMG,8000,12000,2.3184775999980047,780,-212542.4671655289
