name,nodes,edges,time,result_set,result_w
SoA heuristic,4000,6000,0.0034364000312052667,586,-171291.18134577197
MMG,4000,6000,0.6197004999849014,410,-11283.26388544073
SoA heuristic,4020,6030,0.004237700020894408,569,-234200.01651875564
MMG,4020,6030,0.6117823999957182,400,-71710.58230200798
SoA heuristic,4040,6060,0.04148100002203137,556,-210333.77923841868
MMG,4040,6060,0.6228738999925554,404,-64592.98688188364
SoA heuristic,4080,6120,0.004168500017840415,570,-239233.19919341116
MMG,4080,6120,0.5890435999608599,401,-66363.0620078677
SoA heuristic,4120,6180,0.0034639000077731907,580,-201193.56134400622
MMG,4120,6180,0.6182316999766044,415,-33315.201931569885
SoA heuristic,4200,6300,0.0035641000140458345,596,-278750.92745718476
MMG,4200,6300,0.6349133999901824,415,-87933.04191600854
SoA heuristic,4240,6360,0.004264499992132187,586,-268880.71602869517
MMG,4240,6360,0.6743568999809213,418,-84634.5786039605
SoA heuristic,4400,6600,0.0035954000195488334,630,-289707.5551434457
MMG,4400,6600,0.7028869999921881,444,-89449.97419007287
SoA heuristic,4600,6900,0.004030100011732429,617,-254623.00871048035
MMG,4600,6900,0.8044034999911673,448,-73064.54882457484
