name,nodes,edges,time,result_set,result_w
SoA heuristic,20,30,3.2599957194179296e-05,2,15
MMG,20,30,7.399998139590025e-05,2,15
SoA heuristic,40,60,4.819995956495404e-05,6,53
MMG,40,60,0.00016729999333620071,6,53
SoA heuristic,100,150,0.00011550000635907054,10,230
MMG,100,150,0.0009207000257447362,10,230
SoA heuristic,200,300,0.00022960000205785036,20,974
MMG,200,300,0.0022078000474721193,20,974
SoA heuristic,400,600,0.0002845999551936984,39,3862
MMG,400,600,0.005814400035887957,39,3862
SoA heuristic,600,900,0.0004083000239916146,62,9365
MMG,600,900,0.013253599987365305,62,9365
SoA heuristic,1000,1500,0.0007811000104993582,103,25297
MMG,1000,1500,0.03758669999660924,103,25297
SoA heuristic,2000,3000,0.0015264999819919467,198,98402
MMG,2000,3000,0.14598979998845607,198,98402
SoA heuristic,4000,6000,0.002950299996882677,411,409720
MMG,4000,6000,0.5775132999988273,411,409720
SoA heuristic,8000,12000,0.006873899954371154,791,1576322
MMG,8000,12000,2.3947618000092916,791,1576322
SoA heuristic,20,30,0.00010649999603629112,2,11
MMG,20,30,9.440002031624317e-05,2,11
SoA heuristic,40,60,6.54000323265791e-05,4,30
MMG,40,60,0.00023830001009628177,4,30
SoA heuristic,100,150,0.00012580002658069134,9,227
MMG,100,150,0.0004518000059761107,9,227
SoA heuristic,200,300,0.00015079998411238194,21,1045
MMG,200,300,0.0020595999667420983,21,1045
SoA heuristic,400,600,0.0003011999651789665,43,4232
MMG,400,600,0.006284300005063415,43,4232
SoA heuristic,600,900,0.0004249000339768827,62,9220
MMG,600,900,0.013510200020391494,62,9252
SoA heuristic,1000,1500,0.0007821000181138515,101,25308
MMG,1000,1500,0.035768300003837794,101,25308
SoA heuristic,2000,3000,0.0015778999659232795,200,99047
MMG,2000,3000,0.1397570999688469,200,99047
SoA heuristic,4000,6000,0.003147600044030696,394,391779
MMG,4000,6000,0.5963403999921866,395,392707
SoA heuristic,8000,12000,0.006399700010661036,798,1590296
MMG,8000,12000,2.4757876999792643,798,1590296
SoA heuristic,20,30,8.47000046633184e-05,4,22
MMG,20,30,0.0002095999661833048,3,24
SoA heuristic,40,60,0.00011389999417588115,5,41
MMG,40,60,0.00023800000781193376,5,41
SoA heuristic,100,150,7.98000255599618e-05,10,234
MMG,100,150,0.0004912000149488449,10,234
SoA heuristic,200,300,0.00015079998411238194,20,995
MMG,200,300,0.002064800006337464,20,997
SoA heuristic,400,600,0.00029090000316500664,40,3921
MMG,400,600,0.005686799995601177,40,3921
SoA heuristic,600,900,0.00041089998558163643,64,9387
MMG,600,900,0.01457890000892803,64,9387
SoA heuristic,1000,1500,0.0008127999608404934,91,22432
MMG,1000,1500,0.034178200003225356,91,22432
SoA heuristic,2000,3000,0.0017873999895527959,199,98837
MMG,2000,3000,0.14479600003687665,199,98837
SoA heuristic,4000,6000,0.003568599990103394,388,386084
MMG,4000,6000,0.5835303000058047,388,386084
SoA heuristic,8000,12000,0.006655599980149418,795,1583976
MMG,8000,12000,2.480945800023619,795,1583976
SoA heuristic,20,30,5.360000068321824e-05,3,16
MMG,20,30,0.00011259998427703977,3,16
SoA heuristic,40,60,5.70000265724957e-05,5,35
MMG,40,60,0.00027009996119886637,5,35
SoA heuristic,100,150,0.00012640003114938736,13,326
MMG,100,150,0.0008727000094950199,13,326
SoA heuristic,200,300,0.00017690000822767615,21,994
MMG,200,300,0.0019067000248469412,21,994
SoA heuristic,400,600,0.0004583000554703176,40,3899
MMG,400,600,0.00602269999217242,40,3899
SoA heuristic,600,900,0.0004789999802596867,59,8573
MMG,600,900,0.012639300024602562,58,8433
SoA heuristic,1000,1500,0.000908499991055578,102,25358
MMG,1000,1500,0.03758379997452721,102,25358
SoA heuristic,2000,3000,0.0015029999776743352,204,101112
MMG,2000,3000,0.14872350002406165,204,101112
SoA heuristic,4000,6000,0.0030528000206686556,414,412288
MMG,4000,6000,0.6164318000082858,414,412288
SoA heuristic,8000,12000,0.007041599950753152,808,1611925
MMG,8000,12000,2.472277800028678,808,1611925
SoA heuristic,20,30,0.00014869996812194586,3,13
MMG,20,30,0.00010380003368481994,3,13
SoA heuristic,40,60,6.070005474612117e-05,4,37
MMG,40,60,0.00018860003910958767,4,37
SoA heuristic,100,150,0.00011850002920255065,12,309
MMG,100,150,0.0007055000169202685,12,309
SoA heuristic,200,300,0.00019109999993816018,21,1010
MMG,200,300,0.0016927000251598656,21,1010
SoA heuristic,400,600,0.00031699996907263994,42,4165
MMG,400,600,0.006016900006216019,42,4165
SoA heuristic,600,900,0.00041740003507584333,69,10171
MMG,600,900,0.01527369994437322,69,10171
SoA heuristic,1000,1500,0.0008023999980650842,97,24149
MMG,1000,1500,0.035000700037926435,97,24149
SoA heuristic,2000,3000,0.0014877000357955694,206,102063
MMG,2000,3000,0.16116879996843636,206,102063
SoA heuristic,4000,6000,0.025953700009267777,405,402981
MMG,4000,6000,0.6172615999821573,405,402981
SoA heuristic,8000,12000,0.006625099980738014,787,1569051
MMG,8000,12000,2.4507161999936216,787,1569051
SoA heuristic,20,30,8.279999019578099e-05,3,8
MMG,20,30,9.059999138116837e-05,2,9
SoA heuristic,40,60,5.749997217208147e-05,3,21
MMG,40,60,0.0001555999624542892,3,21
SoA heuristic,100,150,0.00011560000712051988,12,296
MMG,100,150,0.0008598000276833773,12,296
SoA heuristic,200,300,0.00015300000086426735,20,969
MMG,200,300,0.0015551999676972628,19,936
SoA heuristic,400,600,0.0002823999966494739,39,3853
MMG,400,600,0.005651399958878756,37,3636
