name,nodes,edges,time,result_set,result_w
SoA heuristic,20,30,5.129998316988349e-05,3,6.0906938953330165
MMG,20,30,8.969998452812433e-05,2,4.86824502023634
SoA heuristic,40,60,4.9099966417998075e-05,5,20.394758007257124
MMG,40,60,0.00016090000281110406,5,20.394758007257124
SoA heuristic,100,150,8.420000085607171e-05,9,95.3632720772834
MMG,100,150,0.0005242999759502709,9,95.3632720772834
SoA heuristic,200,300,0.00013539998326450586,20,472.77332328526114
MMG,200,300,0.0016683999565429986,20,472.77332328526114
SoA heuristic,400,600,0.000298700004350394,44,2137.2021528518208
MMG,400,600,0.006485200021415949,43,2104.462081123018
SoA heuristic,600,900,0.0011900999816134572,64,4716.8372833989215
MMG,600,900,0.026131399965379387,64,4716.837283398921
SoA heuristic,1000,1500,0.0007939000497572124,97,12046.362605149121
MMG,1000,1500,0.036217300046700984,97,12046.362605149121
SoA heuristic,2000,3000,0.004593999998178333,198,48734.25851497546
MMG,2000,3000,0.24578890000702813,198,48734.25851497546
SoA heuristic,4000,6000,0.003042800002731383,381,188464.727540624
MMG,4000,6000,0.8441833999822848,381,188464.727540624
SoA heuristic,8000,12000,0.007068499980960041,790,786601.0576486855
MMG,8000,12000,3.2602049999986775,790,786601.0576486855
