name,nodes,edges,time,result_set,result_w
SoA heuristic,20,30,4.970002919435501e-05,4,0.3366210486895289
MMG,20,30,8.420000085607171e-05,2,1.5589077061935548
SoA heuristic,40,60,4.640000406652689e-05,7,-2.824114833100017
MMG,40,60,0.0001379000023007393,4,1.2885973248093694
SoA heuristic,100,150,8.229998638853431e-05,14,-2.677160926628522
MMG,100,150,0.0005007999716326594,10,1.439335023630691
SoA heuristic,200,300,0.00014379998901858926,32,-13.322480359391529
MMG,200,300,0.0019097000476904213,22,-1.6080313760802627
SoA heuristic,400,600,0.0002880999818444252,58,-27.42326855336295
MMG,400,600,0.006127999979071319,40,-4.990341491930439
SoA heuristic,600,900,0.00061039999127388,84,-36.011896215452815
MMG,600,900,0.017056600016076118,61,-11.65479715201804
SoA heuristic,1000,1500,0.0007740000146441162,138,-37.01975611973963
MMG,1000,1500,0.05289029999403283,96,-4.726025668477026
SoA heuristic,2000,3000,0.0020164999878033996,286,-109.64847685756114
MMG,2000,3000,0.19241080002393574,201,-31.73828383845749
SoA heuristic,4000,6000,0.008624300011433661,554,-236.68109794730745
MMG,4000,6000,0.9184594000107609,395,-81.14688214148822
SoA heuristic,8000,12000,0.006742500001564622,1096,-448.2911200904834
MMG,8000,12000,3.283313399995677,783,-132.25125233238236
