name,nodes,edges,time,result_set,result_w
SoA heuristic,4000,6000,0.003196600009687245,553,-211.6635763648904
MMG,4000,6000,0.8150392000097781,400,-61.63382836566456
SoA heuristic,4020,6030,0.005538600031286478,566,-214.08202954184273
MMG,4020,6030,0.8462437000125647,405,-44.05927040416849
SoA heuristic,4040,6060,0.005405400006566197,560,-211.6332122471277
MMG,4040,6060,0.8764474000199698,396,-38.0634502356265
SoA heuristic,4080,6120,0.011372000037226826,582,-183.51315285717808
MMG,4080,6120,0.8268618000438437,419,-22.49336270784312
SoA heuristic,4120,6180,0.0038228000048547983,574,-198.93813376006187
MMG,4120,6180,0.9495032000122592,410,-55.54339821932258
SoA heuristic,4200,6300,0.0051645999774336815,600,-245.70132060701
MMG,4200,6300,1.1520787000190467,416,-70.8792580597213
SoA heuristic,4240,6360,0.010505900019779801,598,-214.04116024107554
MMG,4240,6360,1.0307963999803178,425,-41.20190584281818
SoA heuristic,4400,6600,0.010171000030823052,624,-242.64795853053343
MMG,4400,6600,1.0842075999826193,461,-90.17927322197902
SoA heuristic,4600,6900,0.00579749996541068,635,-227.7451116851512
MMG,4600,6900,1.058148899988737,463,-63.482624958927275
