name,nodes,edges,time,result_set,result_w
SoA heuristic,20,30,3.759999526664615e-05,3,9.045950277377543
MMG,20,30,8.209998486563563e-05,3,9.045950277377543
SoA heuristic,40,60,4.4899992644786835e-05,5,38.619829819055624
MMG,40,60,0.00016060000052675605,5,38.619829819055624
SoA heuristic,100,150,8.139997953549027e-05,11,134.45545215019
MMG,100,150,0.0005587000050581992,11,144.59908923365853
SoA heuristic,200,300,0.00014160003047436476,19,445.02255336662733
MMG,200,300,0.0017014999757520854,19,445.02255336662733
SoA heuristic,400,600,0.00031239999225363135,40,1786.758265499607
MMG,400,600,0.0057224000338464975,37,1815.3119896070268
SoA heuristic,600,900,0.00038629997288808227,59,3635.99687907572
MMG,600,900,0.013319099962245673,58,3715.045556869663
SoA heuristic,1000,1500,0.0007090999861247838,107,12055.867281263647
MMG,1000,1500,0.06135450000874698,100,12203.848056268756
SoA heuristic,2000,3000,0.001456200028769672,219,48726.838373887054
MMG,2000,3000,0.20666489994619042,206,48339.65670511397
SoA heuristic,4000,6000,0.003384699986781925,417,181976.0460416815
MMG,4000,6000,0.743007300014142,384,182490.498773204
SoA heuristic,8000,12000,0.01798100001178682,835,714522.305646588
MMG,8000,12000,3.7421572000021115,774,706130.3811951389
