name,nodes,edges,time,result_set,result_w
SoA heuristic,4000,6000,0.0040197999915108085,428,189358.87938585744
MMG,4000,6000,0.9661027999827638,394,185201.24657373264
SoA heuristic,4020,6030,0.0063782999641261995,431,191977.06426056084
MMG,4020,6030,0.9725813000113703,408,192972.57553297395
SoA heuristic,4040,6060,0.003825999971013516,427,189279.78396029837
MMG,4040,6060,0.9213338000117801,404,188629.37039431246
SoA heuristic,4080,6120,0.010568100027740002,435,198919.83608921373
MMG,4080,6120,0.9086760000209324,406,197737.82370201332
SoA heuristic,4120,6180,0.0029363000066950917,449,203853.55691913117
MMG,4120,6180,1.0099136999924667,415,201450.6768078894
SoA heuristic,4200,6300,0.027785300044342875,442,204458.3180085394
MMG,4200,6300,0.8737992999958806,416,205914.69875643664
SoA heuristic,4240,6360,0.003047600039280951,450,211695.14332534734
MMG,4240,6360,1.0446526000159793,415,208058.12076311346
SoA heuristic,4400,6600,0.012323200004175305,471,229149.5654143355
MMG,4400,6600,1.2260093999793753,437,227071.27602090177
SoA heuristic,4600,6900,0.01387670001713559,506,259420.58473987516
MMG,4600,6900,1.1785990999778733,458,251238.3424268741
