name,nodes,edges,time,result_set,result_w
SoA heuristic,20,30,3.960001049563289e-05,3,6
MMG,20,30,6.660004146397114e-05,2,5
SoA heuristic,40,60,4.1700026486068964e-05,4,24
MMG,40,60,0.00011389999417588115,3,23
SoA heuristic,100,150,7.829995593056083e-05,12,119
MMG,100,150,0.0005966000026091933,12,119
SoA heuristic,200,300,0.00015110004460439086,28,585
MMG,200,300,0.001846900035161525,22,564
SoA heuristic,400,600,0.00029859994538128376,53,2025
MMG,400,600,0.006584800023119897,46,1978
SoA heuristic,600,900,0.00042180001037195325,65,4597
MMG,600,900,0.013152399973478168,59,4573
SoA heuristic,1000,1500,0.0008416000055149198,115,10621
MMG,1000,1500,0.03826280002249405,102,10484
SoA heuristic,2000,3000,0.001731799973640591,232,47980
MMG,2000,3000,0.1427661000052467,197,46512
SoA heuristic,4000,6000,0.003301900054793805,462,177707
MMG,4000,6000,0.6206801000516862,409,181779
SoA heuristic,8000,12000,0.007090999977663159,932,727626
MMG,8000,12000,2.4619603999890387,819,731299
