name,nodes,edges,time,result_set,result_w
SoA heuristic,4000,6000,0.0031574000022374094,455,182305
MMG,4000,6000,0.5806434000260197,397,181229
SoA heuristic,4020,6030,0.0034394999966025352,458,174313
MMG,4020,6030,0.6123667999636382,392,173863
SoA heuristic,4040,6060,0.0033549999934621155,460,176409
MMG,4040,6060,0.6324829000514001,405,181123
SoA heuristic,4080,6120,0.0038169000181369483,462,187084
MMG,4080,6120,0.6005215999903157,402,189097
SoA heuristic,4120,6180,0.003318200004287064,464,189090
MMG,4120,6180,0.6153529000002891,408,185201
SoA heuristic,4200,6300,0.0034030999522656202,485,206835
MMG,4200,6300,0.6565356999635696,431,212420
SoA heuristic,4240,6360,0.004097199998795986,503,210006
MMG,4240,6360,0.7260239000315778,441,210384
SoA heuristic,4400,6600,0.0037235000054351985,512,218254
MMG,4400,6600,0.7697645999724045,447,222415
SoA heuristic,4600,6900,0.004496100009419024,535,259882
MMG,4600,6900,0.8368416000157595,475,255937
