name,nodes,edges,time,results
Set Cover,8,12,0.0,2
Greedy Approach,8,12,0.0,2
Set Cover,12,18,0.0,3
Greedy Approach,12,18,0.0,3
Set Cover,16,24,0.0,4
Greedy Approach,16,24,0.0,4
Set Cover,20,30,0.0,5
Greedy Approach,20,30,0.0,5
Set Cover,24,36,0.0,5
Greedy Approach,24,36,0.0,5
Set Cover,28,42,0.0,7
Greedy Approach,28,42,0.0,7
Set Cover,32,48,0.0,7
Greedy Approach,32,48,0.0,7
Set Cover,36,54,0.0,8
Greedy Approach,36,54,0.0,8
Set Cover,40,60,0.0,10
Greedy Approach,40,60,0.0,10
Set Cover,44,66,0.0,11
Greedy Approach,44,66,0.0,11
Set Cover,48,72,0.0,12
Greedy Approach,48,72,0.0,12
Set Cover,52,78,0.0,13
Greedy Approach,52,78,0.0,13
Set Cover,56,84,0.0,13
Greedy Approach,56,84,0.0,13
Set Cover,60,90,0.0,14
Greedy Approach,60,90,0.0,14
Set Cover,64,96,0.004058122634887695,15
Greedy Approach,64,96,0.0,15
Set Cover,68,102,0.00798797607421875,16
Greedy Approach,68,102,0.0,16
Set Cover,72,108,0.007974386215209961,15
Greedy Approach,72,108,0.0,15
Set Cover,76,114,0.015891551971435547,16
Greedy Approach,76,114,0.0,16
Set Cover,80,120,0.012033700942993164,20
Greedy Approach,80,120,0.0,20
Set Cover,84,126,0.012052297592163086,16
Greedy Approach,84,126,0.0,16
Set Cover,88,132,0.03205251693725586,16
Greedy Approach,88,132,0.0,16
Set Cover,92,138,0.11192750930786133,23
Greedy Approach,92,138,0.0,23
Set Cover,96,144,0.6880166530609131,22
Greedy Approach,96,144,0.0,22
Set Cover,100,150,0.205460786819458,21
Greedy Approach,100,150,0.0,21
Set Cover,104,156,0.27605271339416504,22
Greedy Approach,104,156,0.0,22
Set Cover,108,162,1.0474891662597656,24
Greedy Approach,108,162,0.0,24
Set Cover,112,168,2.39912748336792,26
Greedy Approach,112,168,0.0,26
Set Cover,116,174,2.716761589050293,25
Greedy Approach,116,174,0.0,25
Set Cover,8,12,0.0,2
Greedy Approach,8,12,0.0,2
Set Cover,12,18,0.0,3
Greedy Approach,12,18,0.0,3
Set Cover,16,24,0.0,4
Greedy Approach,16,24,0.0,4
Set Cover,20,30,0.0,5
Greedy Approach,20,30,0.0,5
Set Cover,24,36,0.0,6
Greedy Approach,24,36,0.0,6
Set Cover,28,42,0.0,7
Greedy Approach,28,42,0.0,7
Set Cover,32,48,0.0,8
Greedy Approach,32,48,0.0,8
Set Cover,36,54,0.0,8
Greedy Approach,36,54,0.0,8
Set Cover,40,60,0.0,9
Greedy Approach,40,60,0.0,9
Set Cover,44,66,0.0,10
Greedy Approach,44,66,0.0,10
Set Cover,48,72,0.0,10
Greedy Approach,48,72,0.0,10
Set Cover,52,78,0.0,11
Greedy Approach,52,78,0.0,11
Set Cover,56,84,0.0,14
Greedy Approach,56,84,0.0,14
Set Cover,60,90,0.003977537155151367,13
Greedy Approach,60,90,0.0,13
Set Cover,64,96,0.0,13
Greedy Approach,64,96,0.0,13
Set Cover,68,102,0.003996372222900391,12
Greedy Approach,68,102,0.0,12
