name,nodes,edges,time,results
cdl,20,30,0.0008516311645507812,1
g41,20,30,0.0004646778106689453,1
lgl,20,30,0.0005941390991210938,1
m22,20,30,0.0,1
maple,20,30,0.0,1
MMG,20,30,0.0,0
cdl,40,60,0.00403141975402832,1
g41,40,60,0.0018982887268066406,1
lgl,40,60,0.0,1
m22,40,60,0.0,1
maple,40,60,0.0,1
MMG,40,60,0.0,1
cdl,100,150,0.004004240036010742,1
g41,100,150,0.0,1
lgl,100,150,0.004957675933837891,1
m22,100,150,0.0,1
maple,100,150,0.004027366638183594,1
MMG,100,150,0.0,1
cdl,200,300,0.006766557693481445,1
g41,200,300,0.0040895938873291016,1
lgl,200,300,0.0,1
m22,200,300,0.003988981246948242,1
maple,200,300,0.003917217254638672,1
MMG,200,300,0.0,1
cdl,400,600,0.007992982864379883,1
g41,400,600,0.003997087478637695,1
lgl,400,600,0.004034996032714844,1
m22,400,600,0.004006385803222656,1
maple,400,600,0.003950834274291992,1
MMG,400,600,0.0,1
cdl,600,900,0.00851583480834961,1
g41,600,900,0.007887125015258789,1
lgl,600,900,0.008486032485961914,1
m22,600,900,0.0040094852447509766,1
maple,600,900,0.009778022766113281,1
MMG,600,900,0.0,1
cdl,1000,1500,0.012168407440185547,1
g41,1000,1500,0.012051820755004883,1
lgl,1000,1500,0.011987686157226562,1
m22,1000,1500,0.00792551040649414,1
maple,1000,1500,0.01598668098449707,1
MMG,1000,1500,0.004093647003173828,1
cdl,2000,3000,0.03462481498718262,1
g41,2000,3000,0.02217841148376465,1
lgl,2000,3000,0.024883031845092773,1
m22,2000,3000,0.027957916259765625,1
maple,2000,3000,0.027975797653198242,1
MMG,2000,3000,0.0,1
cdl,4000,6000,0.06822395324707031,1
g41,4000,6000,0.05606675148010254,1
lgl,4000,6000,0.060094356536865234,1
m22,4000,6000,0.056645870208740234,1
maple,4000,6000,0.05593538284301758,1
MMG,4000,6000,0.0040416717529296875,1
cdl,8000,12000,0.08393502235412598,1
g41,8000,12000,0.06795620918273926,1
lgl,8000,12000,0.0879216194152832,1
m22,8000,12000,0.06394672393798828,1
maple,8000,12000,0.07591962814331055,1
MMG,8000,12000,0.0040094852447509766,1
cdl,20,30,0.004061698913574219,1
g41,20,30,0.0,1
lgl,20,30,0.0,1
m22,20,30,0.0,1
maple,20,30,0.0,1
MMG,20,30,0.0,0
cdl,40,60,0.0,1
g41,40,60,0.0,1
lgl,40,60,0.004045724868774414,1
m22,40,60,0.0,1
maple,40,60,0.0,1
MMG,40,60,0.0,1
cdl,100,150,0.003958225250244141,1
g41,100,150,0.0,1
lgl,100,150,0.0,1
m22,100,150,0.0,1
maple,100,150,0.003985404968261719,1
MMG,100,150,0.0,1
cdl,200,300,0.0040166378021240234,1
g41,200,300,0.003929853439331055,1
lgl,200,300,0.004050254821777344,1
m22,200,300,0.0,1
maple,200,300,0.0039899349212646484,1
MMG,200,300,0.0,1
cdl,400,600,0.004029750823974609,1
g41,400,600,0.003993034362792969,1
lgl,400,600,0.007998466491699219,1
m22,400,600,0.0039806365966796875,1
maple,400,600,0.0,1
MMG,400,600,0.0,1
cdl,600,900,0.003955841064453125,1
g41,600,900,0.008007049560546875,1
lgl,600,900,0.007993936538696289,1
m22,600,900,0.0039844512939453125,1
maple,600,900,0.004019260406494141,1
MMG,600,900,0.0,1
cdl,1000,1500,0.011998176574707031,1
g41,1000,1500,0.007983684539794922,1
lgl,1000,1500,0.007999420166015625,1
m22,1000,1500,0.007992982864379883,1
maple,1000,1500,0.007986783981323242,1
MMG,1000,1500,0.0,1
cdl,2000,3000,0.01998424530029297,1
g41,2000,3000,0.015970706939697266,1
lgl,2000,3000,0.01599287986755371,1
m22,2000,3000,0.01600337028503418,1
maple,2000,3000,0.01596212387084961,1
MMG,2000,3000,0.0,1
cdl,4000,6000,0.06262469291687012,1
g41,4000,6000,0.04602551460266113,1
lgl,4000,6000,0.04761147499084473,1
m22,4000,6000,0.04065275192260742,1
maple,4000,6000,0.040224313735961914,1
MMG,4000,6000,0.003998517990112305,1
cdl,8000,12000,0.09191441535949707,1
g41,8000,12000,0.07594943046569824,1
lgl,8000,12000,0.06393599510192871,1
m22,8000,12000,0.06793403625488281,1
maple,8000,12000,0.07993364334106445,1
MMG,8000,12000,0.00799107551574707,1
cdl,20,30,0.004007101058959961,1
g41,20,30,0.0,1
lgl,20,30,0.0,1
m22,20,30,0.0,1
maple,20,30,0.0,1
MMG,20,30,0.0,0
cdl,40,60,0.003998517990112305,1
g41,40,60,0.0,1
lgl,40,60,0.0,1
m22,40,60,0.0,1
maple,40,60,0.004024982452392578,1
MMG,40,60,0.0,0
cdl,100,150,0.0040569305419921875,1
g41,100,150,0.0,1
lgl,100,150,0.004006862640380859,1
m22,100,150,0.0,1
maple,100,150,0.0,1
MMG,100,150,0.0,1
cdl,200,300,0.0039501190185546875,1
g41,200,300,0.003996133804321289,1
lgl,200,300,0.0,1
m22,200,300,0.0039975643157958984,1
maple,200,300,0.0,1
MMG,200,300,0.0,1
cdl,400,600,0.004006624221801758,1
g41,400,600,0.004001140594482422,1
lgl,400,600,0.004365682601928711,1
m22,400,600,0.0040814876556396484,1
maple,400,600,0.00400543212890625,1
MMG,400,600,0.0,1
cdl,600,900,0.00410771369934082,1
g41,600,900,0.006930828094482422,1
lgl,600,900,0.0045130252838134766,1
m22,600,900,0.004078388214111328,1
maple,600,900,0.008015155792236328,1
MMG,600,900,0.0,1
cdl,1000,1500,0.012000560760498047,1
g41,1000,1500,0.03191685676574707,1
lgl,1000,1500,0.00805211067199707,1
m22,1000,1500,0.031951904296875,1
maple,1000,1500,0.035970449447631836,1
MMG,1000,1500,0.0,1
cdl,2000,3000,0.01999521255493164,1
g41,2000,3000,0.020003318786621094,1
lgl,2000,3000,0.019982576370239258,1
m22,2000,3000,0.015966415405273438,1
maple,2000,3000,0.01599860191345215,1
MMG,2000,3000,0.0039920806884765625,1
cdl,4000,6000,0.06000041961669922,1
g41,4000,6000,0.047896385192871094,1
lgl,4000,6000,0.04796791076660156,1
m22,4000,6000,0.0485529899597168,1
maple,4000,6000,0.048280954360961914,1
MMG,4000,6000,0.0,1
cdl,8000,12000,0.08792638778686523,1
g41,8000,12000,0.06795024871826172,1
lgl,8000,12000,0.07587766647338867,1
m22,8000,12000,0.06799030303955078,1
maple,8000,12000,0.07993912696838379,1
MMG,8000,12000,0.0039975643157958984,1
cdl,20,30,0.0,1
g41,20,30,0.0,1
lgl,20,30,0.0,1
m22,20,30,0.003926515579223633,1
maple,20,30,0.0,1
MMG,20,30,0.0,0
cdl,40,60,0.0,1
g41,40,60,0.0,1
lgl,40,60,0.0,1
m22,40,60,0.0,1
maple,40,60,0.0,1
MMG,40,60,0.0,1
cdl,100,150,0.0,1
g41,100,150,0.004012584686279297,1
lgl,100,150,0.0,1
m22,100,150,0.0,1
maple,100,150,0.0,1
MMG,100,150,0.0,1
cdl,200,300,0.003955364227294922,1
g41,200,300,0.0,1
lgl,200,300,0.004060506820678711,1
m22,200,300,0.0,1
maple,200,300,0.003976345062255859,1
MMG,200,300,0.0,1
cdl,400,600,0.004090070724487305,1
g41,400,600,0.0039520263671875,1
lgl,400,600,0.004012346267700195,1
m22,400,600,0.00400090217590332,1
maple,400,600,0.0039234161376953125,1
MMG,400,600,0.0,1
cdl,600,900,0.007992744445800781,1
g41,600,900,0.003992557525634766,1
lgl,600,900,0.003993511199951172,1
m22,600,900,0.003994941711425781,1
maple,600,900,0.007991313934326172,1
MMG,600,900,0.0,1
cdl,1000,1500,0.011995315551757812,1
g41,1000,1500,0.007993936538696289,1
lgl,1000,1500,0.003990650177001953,1
m22,1000,1500,0.00800323486328125,1
maple,1000,1500,0.011980533599853516,1
MMG,1000,1500,0.0,1
cdl,2000,3000,0.02398538589477539,1
g41,2000,3000,0.015976905822753906,1
lgl,2000,3000,0.015985965728759766,1
m22,2000,3000,0.01624894142150879,1
maple,2000,3000,0.019995927810668945,1
MMG,2000,3000,0.0,1
cdl,4000,6000,0.04395890235900879,1
g41,4000,6000,0.03197288513183594,1
lgl,4000,6000,0.03597140312194824,1
m22,4000,6000,0.032176971435546875,1
maple,4000,6000,0.03990483283996582,1
MMG,4000,6000,0.004045248031616211,1
cdl,8000,12000,0.09192132949829102,1
g41,8000,12000,0.06795310974121094,1
lgl,8000,12000,0.06794452667236328,1
m22,8000,12000,0.06888699531555176,1
maple,8000,12000,0.07992100715637207,1
MMG,8000,12000,0.00800013542175293,1
cdl,20,30,0.0,1
g41,20,30,0.0,1
lgl,20,30,0.0,1
m22,20,30,0.0,1
maple,20,30,0.0,1
MMG,20,30,0.0,0
cdl,40,60,0.0,1
g41,40,60,0.0,1
lgl,40,60,0.003995180130004883,1
m22,40,60,0.0,1
maple,40,60,0.0,1
MMG,40,60,0.0,0
cdl,100,150,0.003949880599975586,1
g41,100,150,0.0040667057037353516,1
lgl,100,150,0.0,1
m22,100,150,0.0,1
maple,100,150,0.0,1
MMG,100,150,0.0,1
cdl,200,300,0.0040493011474609375,1
g41,200,300,0.0,1
lgl,200,300,0.0039825439453125,1
m22,200,300,0.003965854644775391,1
maple,200,300,0.0,1
MMG,200,300,0.0,1
cdl,400,600,0.003942728042602539,1
g41,400,600,0.004091024398803711,1
lgl,400,600,0.003963470458984375,1
m22,400,600,0.004000186920166016,1
maple,400,600,0.003973722457885742,1
MMG,400,600,0.0,1
cdl,600,900,0.007992744445800781,1
g41,600,900,0.003990888595581055,1
lgl,600,900,0.0040187835693359375,1
m22,600,900,0.0039768218994140625,1
maple,600,900,0.007996559143066406,1
MMG,600,900,0.0,1
cdl,1000,1500,0.011994361877441406,1
g41,1000,1500,0.007993698120117188,1
lgl,1000,1500,0.008012771606445312,1
m22,1000,1500,0.007969379425048828,1
maple,1000,1500,0.007998466491699219,1
MMG,1000,1500,0.0,1
cdl,2000,3000,0.02005171775817871,1
g41,2000,3000,0.01591038703918457,1
lgl,2000,3000,0.015995025634765625,1
m22,2000,3000,0.01598381996154785,1
maple,2000,3000,0.015980958938598633,1
MMG,2000,3000,0.0,1
cdl,4000,6000,0.04397225379943848,1
g41,4000,6000,0.037267208099365234,1
lgl,4000,6000,0.03218197822570801,1
m22,4000,6000,0.03603076934814453,1
maple,4000,6000,0.03990006446838379,1
MMG,4000,6000,0.003997325897216797,1
cdl,8000,12000,0.0919196605682373,1
g41,8000,12000,0.06816720962524414,1
lgl,8000,12000,0.0639500617980957,1
m22,8000,12000,0.06793689727783203,1
maple,8000,12000,0.08449077606201172,1
MMG,8000,12000,0.007968425750732422,1
cdl,20,30,0.0009965896606445312,1
g41,20,30,0.0,1
lgl,20,30,0.0009970664978027344,1
m22,20,30,0.0,1
maple,20,30,0.0009961128234863281,1
MMG,20,30,0.0,0
cdl,40,60,0.0009720325469970703,1
g41,40,60,0.0,1
lgl,40,60,0.0009970664978027344,1
m22,40,60,0.0,1
maple,40,60,0.0009975433349609375,1
MMG,40,60,0.0,0
cdl,100,150,0.0019996166229248047,1
g41,100,150,0.0009953975677490234,1
lgl,100,150,0.0009968280792236328,1
m22,100,150,0.0009965896606445312,1
maple,100,150,0.0009965896606445312,1
MMG,100,150,0.0,1
cdl,200,300,0.0029900074005126953,1
g41,200,300,0.0009968280792236328,1
lgl,200,300,0.0029897689819335938,1
m22,200,300,0.0009965896606445312,1
maple,200,300,0.001992940902709961,1
MMG,200,300,0.0,1
cdl,400,600,0.0039865970611572266,1
g41,400,600,0.0039823055267333984,1
lgl,400,600,0.0029942989349365234,1
m22,400,600,0.0029900074005126953,1
maple,400,600,0.0039882659912109375,1
MMG,400,600,0.0,1
cdl,600,900,0.005980730056762695,1
g41,600,900,0.004982948303222656,1
lgl,600,900,0.004983425140380859,1
m22,600,900,0.0039861202239990234,1
maple,600,900,0.004983425140380859,1
MMG,600,900,0.0,1
cdl,1000,1500,0.010963201522827148,1
g41,1000,1500,0.007969856262207031,1
lgl,1000,1500,0.007976770401000977,1
m22,1000,1500,0.007973670959472656,1
maple,1000,1500,0.009966135025024414,1
MMG,1000,1500,0.0,1
cdl,2000,3000,0.018936634063720703,1
g41,2000,3000,0.014945268630981445,1
lgl,2000,3000,0.01694798469543457,1
m22,2000,3000,0.013953447341918945,1
maple,2000,3000,0.015946388244628906,1
MMG,2000,3000,0.001993417739868164,1
cdl,4000,6000,0.04185962677001953,1
g41,4000,6000,0.03288984298706055,1
lgl,4000,6000,0.030896663665771484,1
m22,4000,6000,0.03388166427612305,1
maple,4000,6000,0.039697885513305664,1
MMG,4000,6000,0.0029942989349365234,1
cdl,8000,12000,0.08670544624328613,1
g41,8000,12000,0.06877398490905762,1
lgl,8000,12000,0.0657796859741211,1
m22,8000,12000,0.06777358055114746,1
maple,8000,12000,0.0787360668182373,1
MMG,8000,12000,0.005979776382446289,1
cdl,20,30,0.0009968280792236328,1
g41,20,30,0.0,1
lgl,20,30,0.0009968280792236328,1
m22,20,30,0.0,1
maple,20,30,0.0,1
MMG,20,30,0.0,1
cdl,40,60,0.0009944438934326172,1
g41,40,60,0.0009953975677490234,1
lgl,40,60,0.0010173320770263672,1
m22,40,60,0.0,1
maple,40,60,0.0009763240814208984,1
MMG,40,60,0.0,1
cdl,100,150,0.0009975433349609375,1
g41,100,150,0.0009958744049072266,1
lgl,100,150,0.001993417739868164,1
m22,100,150,0.0009968280792236328,1
maple,100,150,0.0009965896606445312,1
MMG,100,150,0.0,1
cdl,200,300,0.001993417739868164,1
g41,200,300,0.0009965896606445312,1
lgl,200,300,0.0029914379119873047,1
m22,200,300,0.000995635986328125,1
maple,200,300,0.0009963512420654297,1
MMG,200,300,0.0,1
cdl,400,600,0.003982067108154297,1
g41,400,600,0.003942251205444336,1
lgl,400,600,0.0029892921447753906,1
m22,400,600,0.002990245819091797,1
maple,400,600,0.0039865970611572266,1
MMG,400,600,0.0,1
cdl,600,900,0.005980014801025391,1
g41,600,900,0.0039865970611572266,1
lgl,600,900,0.0049784183502197266,1
m22,600,900,0.004988670349121094,1
maple,600,900,0.0059795379638671875,1
MMG,600,900,0.0,1
cdl,1000,1500,0.009967565536499023,1
g41,1000,1500,0.006975412368774414,1
lgl,1000,1500,0.008970260620117188,1
m22,1000,1500,0.006976604461669922,1
maple,1000,1500,0.007973432540893555,1
MMG,1000,1500,0.0009965896606445312,1
cdl,2000,3000,0.018936634063720703,1
g41,2000,3000,0.015946626663208008,1
lgl,2000,3000,0.013953208923339844,1
m22,2000,3000,0.015434026718139648,1
maple,2000,3000,0.016942977905273438,1
MMG,2000,3000,0.0009965896606445312,1
cdl,4000,6000,0.04479551315307617,1
g41,4000,6000,0.03616595268249512,1
lgl,4000,6000,0.033324241638183594,1
m22,4000,6000,0.03383970260620117,1
maple,4000,6000,0.04181408882141113,1
MMG,4000,6000,0.002968311309814453,1
cdl,8000,12000,0.08277082443237305,1
g41,8000,12000,0.0677797794342041,1
lgl,8000,12000,0.06279134750366211,1
m22,8000,12000,0.0637357234954834,1
maple,8000,12000,0.07375311851501465,1
MMG,8000,12000,0.004982948303222656,1
cdl,20,30,0.001004934310913086,1
g41,20,30,0.0,1
lgl,20,30,0.0009913444519042969,1
m22,20,30,0.0,1
maple,20,30,0.0,1
MMG,20,30,0.0,1
cdl,40,60,0.0009968280792236328,1
g41,40,60,0.0,1
lgl,40,60,0.0009965896606445312,1
m22,40,60,0.0009965896606445312,1
maple,40,60,0.0,1
MMG,40,60,0.0,1
cdl,100,150,0.0010519027709960938,1
g41,100,150,0.0009965896606445312,1
lgl,100,150,0.001001119613647461,1
m22,100,150,0.000995635986328125,1
maple,100,150,0.0009968280792236328,1
MMG,100,150,0.0,1
cdl,200,300,0.0019931793212890625,1
g41,200,300,0.0029900074005126953,1
lgl,200,300,0.0019931793212890625,1
m22,200,300,0.001994609832763672,1
maple,200,300,0.00398564338684082,1
MMG,200,300,0.0,1
cdl,400,600,0.007929325103759766,1
g41,400,600,0.0029900074005126953,1
lgl,400,600,0.004048347473144531,1
m22,400,600,0.007980823516845703,1
maple,400,600,0.009025812149047852,1
MMG,400,600,0.0009946823120117188,1
cdl,600,900,0.013952493667602539,1
g41,600,900,0.0059757232666015625,1
lgl,600,900,0.00398707389831543,1
m22,600,900,0.010991096496582031,1
maple,600,900,0.014879226684570312,1
MMG,600,900,0.0009965896606445312,1
cdl,1000,1500,0.022974014282226562,1
g41,1000,1500,0.012029409408569336,1
lgl,1000,1500,0.027138948440551758,1
m22,1000,1500,0.019015073776245117,1
maple,1000,1500,0.012016057968139648,1
MMG,1000,1500,0.0009887218475341797,1
cdl,2000,3000,0.027049541473388672,1
g41,2000,3000,0.025034666061401367,1
lgl,2000,3000,0.027085065841674805,1
m22,2000,3000,0.03992319107055664,1
maple,2000,3000,0.02087688446044922,1
MMG,2000,3000,0.0009958744049072266,1
cdl,4000,6000,0.07514715194702148,1
g41,4000,6000,0.032898902893066406,1
lgl,4000,6000,0.06694936752319336,1
m22,4000,6000,0.04901576042175293,1
maple,4000,6000,0.06379127502441406,1
MMG,4000,6000,0.00299072265625,1
cdl,8000,12000,0.16571259498596191,1
g41,8000,12000,0.10207366943359375,1
lgl,8000,12000,0.14383959770202637,1
m22,8000,12000,0.07874083518981934,1
maple,8000,12000,0.0817267894744873,1
MMG,8000,12000,0.006976604461669922,1
cdl,20,30,0.0009970664978027344,1
g41,20,30,0.0,1
lgl,20,30,0.0009968280792236328,1
m22,20,30,0.0009922981262207031,1
maple,20,30,0.0,1
MMG,20,30,0.0,0
cdl,40,60,0.0,1
g41,40,60,0.001001596450805664,1
lgl,40,60,0.0009906291961669922,1
m22,40,60,0.0,1
maple,40,60,0.0009968280792236328,1
MMG,40,60,0.0,1
cdl,100,150,0.002069711685180664,1
g41,100,150,0.001992940902709961,1
lgl,100,150,0.001992940902709961,1
m22,100,150,0.002094268798828125,1
maple,100,150,0.0020182132720947266,1
MMG,100,150,0.0,1
cdl,200,300,0.0029897689819335938,1
g41,200,300,0.0019936561584472656,1
lgl,200,300,0.001992940902709961,1
m22,200,300,0.0009965896606445312,1
maple,200,300,0.00299072265625,1
MMG,200,300,0.0,1
cdl,400,600,0.003991603851318359,1
g41,400,600,0.003987312316894531,1
lgl,400,600,0.004047870635986328,1
m22,400,600,0.0039823055267333984,1
maple,400,600,0.009971380233764648,1
MMG,400,600,0.0009968280792236328,1
cdl,600,900,0.0059795379638671875,1
g41,600,900,0.004983663558959961,1
lgl,600,900,0.004982948303222656,1
m22,600,900,0.004983186721801758,1
maple,600,900,0.006009340286254883,1
MMG,600,900,0.0,1
cdl,1000,1500,0.008970022201538086,1
g41,1000,1500,0.00697636604309082,1
lgl,1000,1500,0.00897073745727539,1
m22,1000,1500,0.006976127624511719,1
maple,1000,1500,0.007968425750732422,1
MMG,1000,1500,0.0,1
cdl,2000,3000,0.02989983558654785,1
g41,2000,3000,0.04094123840332031,1
lgl,2000,3000,0.02697277069091797,1
m22,2000,3000,0.02492046356201172,1
maple,2000,3000,0.0409848690032959,1
MMG,2000,3000,0.003986358642578125,1
cdl,4000,6000,0.06692218780517578,1
g41,4000,6000,0.06695866584777832,1
lgl,4000,6000,0.0650932788848877,1
m22,4000,6000,0.055916547775268555,1
maple,4000,6000,0.06201004981994629,1
MMG,4000,6000,0.0019931793212890625,1
cdl,8000,12000,0.10694098472595215,1
g41,8000,12000,0.09075021743774414,1
lgl,8000,12000,0.10309624671936035,1
m22,8000,12000,0.09108614921569824,1
maple,8000,12000,0.11391019821166992,1
MMG,8000,12000,0.00702667236328125,1
cdl,20,30,0.0,1
g41,20,30,0.0010209083557128906,1
lgl,20,30,0.0009884834289550781,1
m22,20,30,0.0009849071502685547,1
maple,20,30,0.0,1
MMG,20,30,0.0,0
cdl,40,60,0.001001119613647461,1
g41,40,60,0.0,1
lgl,40,60,0.0009963512420654297,1
m22,40,60,0.0,1
maple,40,60,0.0,1
MMG,40,60,0.0009963512420654297,0
cdl,100,150,0.001993417739868164,1
