name,nodes,edges,density,time,result_set,result_w
SoA heuristic,20,75,0.19736842105263158,3.720005042850971e-05,1,1
MMG,20,75,0.19736842105263158,4.819990135729313e-05,1,1
SoA heuristic,40,300,0.19230769230769232,9.460002183914185e-05,1,3
MMG,40,300,0.19230769230769232,7.870001718401909e-05,1,3
SoA heuristic,100,1875,0.1893939393939394,0.00045669986866414547,1,9
MMG,100,1875,0.1893939393939394,0.0001691998913884163,1,9
SoA heuristic,200,7500,0.1884422110552764,0.0019394999835640192,1,17
MMG,200,7500,0.1884422110552764,0.0004187000449746847,1,17
SoA heuristic,400,30000,0.18796992481203006,0.00842920015566051,1,37
MMG,400,30000,0.18796992481203006,0.0012498998548835516,1,37
SoA heuristic,600,67500,0.18781302170283806,0.018489500042051077,1,63
MMG,600,67500,0.18781302170283806,0.0029423001687973738,1,63
SoA heuristic,1000,187500,0.18768768768768768,0.054207999957725406,1,95
MMG,1000,187500,0.18768768768768768,0.00789560005068779,1,95
SoA heuristic,2000,750000,0.1875937968984492,0.5387258001137525,1,217
MMG,2000,750000,0.1875937968984492,0.026540799997746944,1,217
SoA heuristic,4000,3000000,0.18754688672168043,2.298693399876356,1,455
MMG,4000,3000000,0.18754688672168043,0.14060809998773038,1,455
SoA heuristic,8000,12000000,0.18752344043005376,9.964227200020105,1,925
MMG,8000,12000000,0.18752344043005376,1.3265911000780761,1,925
SoA heuristic,20,75,0.19736842105263158,3.629992716014385e-05,1,1
MMG,20,75,0.19736842105263158,5.110003985464573e-05,1,1
SoA heuristic,40,300,0.19230769230769232,8.370005525648594e-05,1,3
MMG,40,300,0.19230769230769232,8.510006591677666e-05,1,3
SoA heuristic,100,1875,0.1893939393939394,0.000746200093999505,1,8
MMG,100,1875,0.1893939393939394,0.0001759999431669712,1,8
SoA heuristic,200,7500,0.1884422110552764,0.002087000058963895,1,18
MMG,200,7500,0.1884422110552764,0.0004170001484453678,1,18
SoA heuristic,400,30000,0.18796992481203006,0.008189199957996607,1,39
MMG,400,30000,0.18796992481203006,0.0012652999721467495,1,39
SoA heuristic,600,67500,0.18781302170283806,0.018268699990585446,1,60
MMG,600,67500,0.18781302170283806,0.002769799903035164,1,60
SoA heuristic,1000,187500,0.18768768768768768,0.05245879990980029,1,107
MMG,1000,187500,0.18768768768768768,0.00785730010829866,1,107
SoA heuristic,2000,750000,0.1875937968984492,0.548854700056836,1,216
MMG,2000,750000,0.1875937968984492,0.02418740000575781,1,216
SoA heuristic,4000,3000000,0.18754688672168043,1.993640000000596,1,447
MMG,4000,3000000,0.18754688672168043,0.1515339999459684,1,447
SoA heuristic,8000,12000000,0.18752344043005376,12.181218300014734,1,918
MMG,8000,12000000,0.18752344043005376,0.8748038001358509,1,918
SoA heuristic,20,75,0.19736842105263158,3.800005652010441e-05,1,1
MMG,20,75,0.19736842105263158,4.770001396536827e-05,1,1
SoA heuristic,40,300,0.19230769230769232,9.110011160373688e-05,1,3
MMG,40,300,0.19230769230769232,8.719996549189091e-05,1,3
SoA heuristic,100,1875,0.1893939393939394,0.0007261000573635101,1,9
MMG,100,1875,0.1893939393939394,0.00018239999189972878,1,9
SoA heuristic,200,7500,0.1884422110552764,0.0021542999893426895,1,18
MMG,200,7500,0.1884422110552764,0.0004243000876158476,1,18
SoA heuristic,400,30000,0.18796992481203006,0.008387800073251128,1,39
MMG,400,30000,0.18796992481203006,0.001252699876204133,1,39
SoA heuristic,600,67500,0.18781302170283806,0.018150100018829107,1,60
MMG,600,67500,0.18781302170283806,0.0026808001566678286,1,60
SoA heuristic,1000,187500,0.18768768768768768,0.05286659998819232,1,107
MMG,1000,187500,0.18768768768768768,0.0072957000229507685,1,107
SoA heuristic,2000,750000,0.1875937968984492,0.3641576999798417,1,216
MMG,2000,750000,0.1875937968984492,0.025704100029543042,1,216
SoA heuristic,4000,3000000,0.18754688672168043,1.9961937998887151,1,453
MMG,4000,3000000,0.18754688672168043,0.1499459999613464,1,453
SoA heuristic,8000,12000000,0.18752344043005376,17.00625430000946,1,916
MMG,8000,12000000,0.18752344043005376,0.8805633999872953,1,916
SoA heuristic,20,75,0.19736842105263158,3.7800054997205734e-05,1,1
MMG,20,75,0.19736842105263158,4.549999721348286e-05,1,1
SoA heuristic,40,300,0.19230769230769232,9.830016642808914e-05,1,3
MMG,40,300,0.19230769230769232,9.210011921823025e-05,1,3
SoA heuristic,100,1875,0.1893939393939394,0.000669300090521574,1,6
MMG,100,1875,0.1893939393939394,0.00016959989443421364,1,6
SoA heuristic,200,7500,0.1884422110552764,0.0020626001060009003,1,17
MMG,200,7500,0.1884422110552764,0.0004205000586807728,1,17
SoA heuristic,400,30000,0.18796992481203006,0.008454799884930253,1,40
MMG,400,30000,0.18796992481203006,0.0012799000833183527,1,40
SoA heuristic,600,67500,0.18781302170283806,0.017924200044944882,1,62
MMG,600,67500,0.18781302170283806,0.002870899857953191,1,62
SoA heuristic,1000,187500,0.18768768768768768,0.05035399994812906,1,102
MMG,1000,187500,0.18768768768768768,0.007188900141045451,1,102
SoA heuristic,2000,750000,0.1875937968984492,0.5406500999815762,1,223
MMG,2000,750000,0.1875937968984492,0.02594259986653924,1,223
SoA heuristic,4000,3000000,0.18754688672168043,2.333401900017634,1,447
MMG,4000,3000000,0.18754688672168043,0.15152419987134635,1,447
SoA heuristic,8000,12000000,0.18752344043005376,11.006965399952605,1,931
MMG,8000,12000000,0.18752344043005376,0.8963027999270707,1,931
SoA heuristic,20,75,0.19736842105263158,3.8499943912029266e-05,1,2
MMG,20,75,0.19736842105263158,4.969979636371136e-05,1,2
SoA heuristic,40,300,0.19230769230769232,7.979990914463997e-05,1,2
MMG,40,300,0.19230769230769232,7.140007801353931e-05,1,2
SoA heuristic,100,1875,0.1893939393939394,0.0006238999776542187,1,7
MMG,100,1875,0.1893939393939394,0.0002229998353868723,1,7
SoA heuristic,200,7500,0.1884422110552764,0.0018507998902350664,1,19
MMG,200,7500,0.1884422110552764,0.00043320003896951675,1,19
SoA heuristic,400,30000,0.18796992481203006,0.008463199948891997,1,35
MMG,400,30000,0.18796992481203006,0.0012755000498145819,1,35
SoA heuristic,600,67500,0.18781302170283806,0.04532819986343384,1,61
MMG,600,67500,0.18781302170283806,0.003363399999216199,1,61
SoA heuristic,1000,187500,0.18768768768768768,0.053859799867495894,1,104
MMG,1000,187500,0.18768768768768768,0.007435200037434697,1,104
SoA heuristic,2000,750000,0.1875937968984492,0.5645741999614984,1,219
MMG,2000,750000,0.1875937968984492,0.03048259997740388,1,219
SoA heuristic,4000,3000000,0.18754688672168043,2.354634099872783,1,446
MMG,4000,3000000,0.18754688672168043,0.1553491000086069,1,446
SoA heuristic,8000,12000000,0.18752344043005376,10.931073500076309,1,915
MMG,8000,12000000,0.18752344043005376,0.8904405999928713,1,915
SoA heuristic,20,75,0.19736842105263158,4.3800100684165955e-05,1,1
MMG,20,75,0.19736842105263158,6.260001100599766e-05,1,1
SoA heuristic,40,300,0.19230769230769232,8.279993198812008e-05,1,1
MMG,40,300,0.19230769230769232,7.030018605291843e-05,1,1
SoA heuristic,100,1875,0.1893939393939394,0.0006951000541448593,1,6
