name,nodes,edges,density,time,result_set,result_w
SoA heuristic,4000,3000000,0.18754688672168043,4.061150999972597,1,452
MMG,4000,3000000,0.18754688672168043,0.23885490000247955,1,452
SoA heuristic,4020,3030075,0.18754665339636725,2.7978855001274496,1,452
MMG,4020,3030075,0.18754665339636725,0.22740610013715923,1,452
SoA heuristic,4040,3060300,0.18754642238177766,2.6246852001640946,1,452
MMG,4040,3060300,0.18754642238177766,0.23044950002804399,1,452
SoA heuristic,4080,3121200,0.18754596714881097,2.7369031999260187,1,452
MMG,4080,3121200,0.18754596714881097,0.22055650013498962,1,452
SoA heuristic,4120,3182700,0.18754552075746542,4.384791699936613,1,448
MMG,4120,3182700,0.18754552075746542,0.22081470000557601,1,448
SoA heuristic,4200,3307500,0.18754465348892593,3.7232055999338627,1,475
MMG,4200,3307500,0.18754465348892593,0.25379749992862344,1,475
SoA heuristic,4240,3370800,0.1875442321302194,1.6652732999064028,1,481
MMG,4240,3370800,0.1875442321302194,0.29035239992663264,1,481
SoA heuristic,4400,3630000,0.18754262332348262,2.3249217998236418,1,492
MMG,4400,3630000,0.18754262332348262,0.29699159995652735,1,492
SoA heuristic,4600,3967500,0.18754076973255054,5.04614569991827,1,525
MMG,4600,3967500,0.18754076973255054,0.3173088999465108,1,525
SoA heuristic,4000,3000000,0.18754688672168043,2.96481420006603,1,454
MMG,4000,3000000,0.18754688672168043,0.24255269998684525,1,454
SoA heuristic,4020,3030075,0.18754665339636725,3.904508800012991,1,447
MMG,4020,3030075,0.18754665339636725,0.22914010006934404,1,447
SoA heuristic,4040,3060300,0.18754642238177766,2.7117351999040693,1,449
MMG,4040,3060300,0.18754642238177766,0.2349982000887394,1,449
SoA heuristic,4080,3121200,0.18754596714881097,4.01230729999952,1,453
MMG,4080,3121200,0.18754596714881097,0.2825267999432981,1,453
SoA heuristic,4120,3182700,0.18754552075746542,2.7560958999674767,1,461
MMG,4120,3182700,0.18754552075746542,0.23429480008780956,1,461
SoA heuristic,4200,3307500,0.18754465348892593,2.60586930019781,1,477
MMG,4200,3307500,0.18754465348892593,0.2644964000210166,1,477
SoA heuristic,4240,3370800,0.1875442321302194,3.447033599950373,1,477
MMG,4240,3370800,0.1875442321302194,0.2722024000249803,1,477
SoA heuristic,4400,3630000,0.18754262332348262,2.77513109985739,1,498
MMG,4400,3630000,0.18754262332348262,0.29622319992631674,1,498
SoA heuristic,4600,3967500,0.18754076973255054,4.0349359000101686,1,521
MMG,4600,3967500,0.18754076973255054,0.3160800999030471,1,521
SoA heuristic,4000,3000000,0.18754688672168043,2.4800378000363708,1,454
MMG,4000,3000000,0.18754688672168043,0.2469366998411715,1,454
SoA heuristic,4020,3030075,0.18754665339636725,2.8308455999940634,1,443
