name,nodes,edges,density,time,result_set,result_w
SoA heuristic,20,75,0.19736842105263158,5.5999960750341415e-05,1,1
MMG,20,75,0.19736842105263158,5.62998466193676e-05,1,1
SoA heuristic,40,300,0.19230769230769232,9.320001117885113e-05,1,1
MMG,40,300,0.19230769230769232,6.609992124140263e-05,1,1
SoA heuristic,100,1875,0.1893939393939394,0.0004912000149488449,1,1
MMG,100,1875,0.1893939393939394,0.00018429988995194435,1,1
SoA heuristic,200,7500,0.1884422110552764,0.002293199999257922,1,1
MMG,200,7500,0.1884422110552764,0.0005867998115718365,1,1
SoA heuristic,400,30000,0.18796992481203006,0.010589000070467591,1,1
MMG,400,30000,0.18796992481203006,0.0012523999903351068,1,1
SoA heuristic,600,67500,0.18781302170283806,0.02017050003632903,1,1
MMG,600,67500,0.18781302170283806,0.002580299973487854,1,1
SoA heuristic,1000,187500,0.18768768768768768,0.0609929000493139,1,1
MMG,1000,187500,0.18768768768768768,0.00906890002079308,1,1
SoA heuristic,2000,750000,0.1875937968984492,0.5052161999046803,1,1
MMG,2000,750000,0.1875937968984492,0.026763799833133817,1,1
SoA heuristic,4000,3000000,0.18754688672168043,3.218932299874723,1,1
MMG,4000,3000000,0.18754688672168043,0.15812789998017251,1,1
SoA heuristic,8000,12000000,0.18752344043005376,13.978046100120991,1,1
MMG,8000,12000000,0.18752344043005376,1.0108541001100093,1,1
SoA heuristic,20,75,0.19736842105263158,5.550007335841656e-05,1,1
MMG,20,75,0.19736842105263158,5.829986184835434e-05,1,1
SoA heuristic,40,300,0.19230769230769232,8.659996092319489e-05,1,1
MMG,40,300,0.19230769230769232,6.710016168653965e-05,1,1
SoA heuristic,100,1875,0.1893939393939394,0.0006007000338286161,1,1
MMG,100,1875,0.1893939393939394,0.00016280007548630238,1,1
SoA heuristic,200,7500,0.1884422110552764,0.003811500035226345,1,1
MMG,200,7500,0.1884422110552764,0.0006581000052392483,1,1
SoA heuristic,400,30000,0.18796992481203006,0.01118899998255074,1,1
MMG,400,30000,0.18796992481203006,0.00129360007122159,1,1
SoA heuristic,600,67500,0.18781302170283806,0.0216665999032557,1,1
