name,nodes,edges,density,time,result_set,result_w
SoA heuristic,20,75,0.19736842105263158,3.0899886041879654e-05,1,0.42143884886636895
MMG,20,75,0.19736842105263158,4.0999846532940865e-05,1,0.42143884886636895
SoA heuristic,40,300,0.19230769230769232,8.120015263557434e-05,1,0.29235380364540997
MMG,40,300,0.19230769230769232,6.400002166628838e-05,1,0.29235380364540997
SoA heuristic,100,1875,0.1893939393939394,0.0012437000405043364,1,0.14043200728449237
MMG,100,1875,0.1893939393939394,0.00045499997213482857,1,0.14043200728449237
SoA heuristic,200,7500,0.1884422110552764,0.0017568999901413918,1,0.06299437504502045
MMG,200,7500,0.1884422110552764,0.00036789989098906517,1,0.06299437504502045
SoA heuristic,400,30000,0.18796992481203006,0.007933499990031123,1,0.034916753747500105
MMG,400,30000,0.18796992481203006,0.0013719000853598118,1,0.034916753747500105
SoA heuristic,600,67500,0.18781302170283806,0.05898219998925924,1,0.1035486141242071
MMG,600,67500,0.18781302170283806,0.008283199975267053,1,0.1035486141242071
SoA heuristic,1000,187500,0.18768768768768768,0.13963510002940893,1,0.02508604350959032
MMG,1000,187500,0.18768768768768768,0.019871799973770976,1,0.02508604350959032
SoA heuristic,2000,750000,0.1875937968984492,0.841808200115338,1,0.04776946892175053
MMG,2000,750000,0.1875937968984492,0.04301390005275607,1,0.04776946892175053
SoA heuristic,4000,3000000,0.18754688672168043,5.861059200018644,1,0.040010177435595186
MMG,4000,3000000,0.18754688672168043,0.2662738000508398,1,0.040010177435595186
SoA heuristic,8000,12000000,0.18752344043005376,20.517410000087693,1,0.047271127910010716
MMG,8000,12000000,0.18752344043005376,1.5616591998841614,1,0.047271127910010716
SoA heuristic,20,75,0.19736842105263158,3.0700117349624634e-05,1,0.332780956833493
MMG,20,75,0.19736842105263158,4.1400082409381866e-05,1,0.332780956833493
SoA heuristic,40,300,0.19230769230769232,0.0001354999840259552,1,0.3225588135138814
MMG,40,300,0.19230769230769232,0.00023160013370215893,1,0.3225588135138814
SoA heuristic,100,1875,0.1893939393939394,0.0004388000816106796,1,0.13231874961341755
MMG,100,1875,0.1893939393939394,0.00015680002979934216,1,0.13231874961341755
SoA heuristic,200,7500,0.1884422110552764,0.0017214000690728426,1,0.18194364825143125
MMG,200,7500,0.1884422110552764,0.00039379997178912163,1,0.18194364825143125
SoA heuristic,400,30000,0.18796992481203006,0.009323699865490198,1,0.10226256902953673
MMG,400,30000,0.18796992481203006,0.001469900133088231,1,0.10226256902953673
SoA heuristic,600,67500,0.18781302170283806,0.05356919998303056,1,0.06930590204638269
MMG,600,67500,0.18781302170283806,0.007617899915203452,1,0.06930590204638269
SoA heuristic,1000,187500,0.18768768768768768,0.10686459997668862,1,0.06154778228757253
MMG,1000,187500,0.18768768768768768,0.020155099919065833,1,0.06154778228757253
SoA heuristic,2000,750000,0.1875937968984492,0.950116700027138,1,0.07314391792784657
MMG,2000,750000,0.1875937968984492,0.06278439983725548,1,0.07314391792784657
SoA heuristic,4000,3000000,0.18754688672168043,4.642827200004831,1,0.060579677035741845
MMG,4000,3000000,0.18754688672168043,0.29911909997463226,1,0.060579677035741845
SoA heuristic,8000,12000000,0.18752344043005376,13.550085299881175,1,0.023791447465003925
MMG,8000,12000000,0.18752344043005376,1.5585306000430137,1,0.023791447465003925
SoA heuristic,20,75,0.19736842105263158,3.1499890610575676e-05,1,0.1595986992448072
MMG,20,75,0.19736842105263158,4.1599851101636887e-05,1,0.1595986992448072
SoA heuristic,40,300,0.19230769230769232,8.00001434981823e-05,1,0.35961772103745343
MMG,40,300,0.19230769230769232,6.669992581009865e-05,1,0.35961772103745343
SoA heuristic,100,1875,0.1893939393939394,0.00043550017289817333,1,0.18507199076098474
MMG,100,1875,0.1893939393939394,0.00015590013936161995,1,0.18507199076098474
SoA heuristic,200,7500,0.1884422110552764,0.0052773000206798315,1,0.14990245768131852
MMG,200,7500,0.1884422110552764,0.0008958999533206224,1,0.14990245768131852
SoA heuristic,400,30000,0.18796992481203006,0.02254869998432696,1,0.1019758632274494
MMG,400,30000,0.18796992481203006,0.00445799995213747,1,0.1019758632274494
SoA heuristic,600,67500,0.18781302170283806,0.02550559979863465,1,0.084406904737483
MMG,600,67500,0.18781302170283806,0.005725200055167079,1,0.084406904737483
SoA heuristic,1000,187500,0.18768768768768768,0.06949279992841184,1,0.10234106175011606
MMG,1000,187500,0.18768768768768768,0.00697669992223382,1,0.10234106175011606
SoA heuristic,2000,750000,0.1875937968984492,0.9128443000372499,1,0.05246987209007172
MMG,2000,750000,0.1875937968984492,0.05656010005623102,1,0.05246987209007172
SoA heuristic,4000,3000000,0.18754688672168043,3.4370943000540137,1,0.0548539516549061
MMG,4000,3000000,0.18754688672168043,0.32892800006084144,1,0.0548539516549061
SoA heuristic,8000,12000000,0.18752344043005376,20.313778900075704,1,0.03508076529314958
MMG,8000,12000000,0.18752344043005376,1.38142260001041,1,0.03508076529314958
SoA heuristic,20,75,0.19736842105263158,4.569999873638153e-05,1,0.45543063712945786
MMG,20,75,0.19736842105263158,9.220000356435776e-05,1,0.45543063712945786
SoA heuristic,40,300,0.19230769230769232,9.169988334178925e-05,1,0.15673407640136072
MMG,40,300,0.19230769230769232,7.299985736608505e-05,1,0.15673407640136072
SoA heuristic,100,1875,0.1893939393939394,0.0004328000359237194,1,0.08573794424222542
MMG,100,1875,0.1893939393939394,0.00015620002523064613,1,0.08573794424222542
