name,nodes,edges,density,time,result_set,result_w
SoA heuristic,20,75,0.19736842105263158,3.5800039768218994e-05,1,2
MMG,20,75,0.19736842105263158,4.67000063508749e-05,1,2
SoA heuristic,40,300,0.19230769230769232,9.20998863875866e-05,1,3
MMG,40,300,0.19230769230769232,7.769977673888206e-05,1,3
SoA heuristic,100,1875,0.1893939393939394,0.00042140018194913864,1,17
MMG,100,1875,0.1893939393939394,0.0001601001713424921,1,17
SoA heuristic,200,7500,0.1884422110552764,0.0018849000334739685,1,36
MMG,200,7500,0.1884422110552764,0.00043020001612603664,1,36
SoA heuristic,400,30000,0.18796992481203006,0.008272399893030524,1,75
MMG,400,30000,0.18796992481203006,0.0015205000527203083,1,75
SoA heuristic,600,67500,0.18781302170283806,0.018609600141644478,1,105
MMG,600,67500,0.18781302170283806,0.002753899898380041,1,105
SoA heuristic,1000,187500,0.18768768768768768,0.05242100008763373,1,212
MMG,1000,187500,0.18768768768768768,0.007767700124531984,1,212
SoA heuristic,2000,750000,0.1875937968984492,0.3623160000424832,1,414
MMG,2000,750000,0.1875937968984492,0.028288800036534667,1,414
SoA heuristic,4000,3000000,0.18754688672168043,2.72225150000304,1,901
MMG,4000,3000000,0.18754688672168043,0.14535899995826185,1,901
SoA heuristic,8000,12000000,0.18752344043005376,18.844784300075844,1,1867
MMG,8000,12000000,0.18752344043005376,0.8909755998756737,1,1867
SoA heuristic,20,75,0.19736842105263158,3.150012344121933e-05,1,4
MMG,20,75,0.19736842105263158,4.4800108298659325e-05,1,4
SoA heuristic,40,300,0.19230769230769232,9.539979510009289e-05,1,6
MMG,40,300,0.19230769230769232,7.489998824894428e-05,1,6
SoA heuristic,100,1875,0.1893939393939394,0.0004602000117301941,1,10
MMG,100,1875,0.1893939393939394,0.00017409981228411198,1,10
SoA heuristic,200,7500,0.1884422110552764,0.0017661000601947308,1,36
MMG,200,7500,0.1884422110552764,0.0004871001001447439,1,36
SoA heuristic,400,30000,0.18796992481203006,0.00821839994750917,1,76
MMG,400,30000,0.18796992481203006,0.001382199814543128,1,76
SoA heuristic,600,67500,0.18781302170283806,0.018572400091215968,1,112
MMG,600,67500,0.18781302170283806,0.00269390014000237,1,112
SoA heuristic,1000,187500,0.18768768768768768,0.05533459992147982,1,206
MMG,1000,187500,0.18768768768768768,0.007850500056520104,1,206
SoA heuristic,2000,750000,0.1875937968984492,0.3482594999950379,1,415
MMG,2000,750000,0.1875937968984492,0.03141160006634891,1,415
SoA heuristic,4000,3000000,0.18754688672168043,3.2817621999420226,1,899
MMG,4000,3000000,0.18754688672168043,0.15407869988121092,1,899
SoA heuristic,8000,12000000,0.18752344043005376,11.486208599992096,1,1858
MMG,8000,12000000,0.18752344043005376,0.8669869999866933,1,1858
SoA heuristic,20,75,0.19736842105263158,3.320001997053623e-05,1,5
MMG,20,75,0.19736842105263158,4.8900023102760315e-05,1,5
SoA heuristic,40,300,0.19230769230769232,8.990010246634483e-05,1,7
MMG,40,300,0.19230769230769232,6.800005212426186e-05,1,7
SoA heuristic,100,1875,0.1893939393939394,0.00045779999345541,1,15
MMG,100,1875,0.1893939393939394,0.00016629998572170734,1,15
SoA heuristic,200,7500,0.1884422110552764,0.0018043001182377338,1,39
MMG,200,7500,0.1884422110552764,0.00043720006942749023,1,39
SoA heuristic,400,30000,0.18796992481203006,0.008017600048333406,1,78
MMG,400,30000,0.18796992481203006,0.001285600010305643,1,78
SoA heuristic,600,67500,0.18781302170283806,0.018973099999129772,1,120
MMG,600,67500,0.18781302170283806,0.0026950000319629908,1,120
SoA heuristic,1000,187500,0.18768768768768768,0.05463209981098771,1,200
MMG,1000,187500,0.18768768768768768,0.0074622000101953745,1,200
SoA heuristic,2000,750000,0.1875937968984492,0.537391500081867,1,428
MMG,2000,750000,0.1875937968984492,0.029740599915385246,1,428
SoA heuristic,4000,3000000,0.18754688672168043,3.246599599951878,1,907
MMG,4000,3000000,0.18754688672168043,0.15928729996085167,1,907
SoA heuristic,8000,12000000,0.18752344043005376,15.1571686998941,1,1847
MMG,8000,12000000,0.18752344043005376,0.8946657001506537,1,1847
SoA heuristic,20,75,0.19736842105263158,3.629992716014385e-05,1,4
MMG,20,75,0.19736842105263158,4.639988765120506e-05,1,4
SoA heuristic,40,300,0.19230769230769232,9.840005077421665e-05,1,5
MMG,40,300,0.19230769230769232,8.719996549189091e-05,1,5
SoA heuristic,100,1875,0.1893939393939394,0.00046389992348849773,1,15
MMG,100,1875,0.1893939393939394,0.000156699912622571,1,15
SoA heuristic,200,7500,0.1884422110552764,0.0018003000877797604,1,31
MMG,200,7500,0.1884422110552764,0.00042150006629526615,1,31
SoA heuristic,400,30000,0.18796992481203006,0.008083099965006113,1,80
