name,nodes,edges,density,time,result_set,result_w
SoA heuristic,4000,3000000,0.18754688672168043,2.4717983999289572,1,894
MMG,4000,3000000,0.18754688672168043,0.24212700012139976,1,894
SoA heuristic,4020,3030075,0.18754665339636725,2.2185262001585215,1,921
MMG,4020,3030075,0.18754665339636725,0.2253176998347044,1,921
SoA heuristic,4040,3060300,0.18754642238177766,2.214505299925804,1,890
MMG,4040,3060300,0.18754642238177766,0.2581032000016421,1,890
SoA heuristic,4080,3121200,0.18754596714881097,4.398741399869323,1,918
MMG,4080,3121200,0.18754596714881097,0.25262669986113906,1,918
SoA heuristic,4120,3182700,0.18754552075746542,4.427975800121203,1,927
MMG,4120,3182700,0.18754552075746542,0.2228649000171572,1,927
SoA heuristic,4200,3307500,0.18754465348892593,3.764027499826625,1,947
MMG,4200,3307500,0.18754465348892593,0.2512695000041276,1,947
SoA heuristic,4240,3370800,0.1875442321302194,1.6978645999915898,1,960
MMG,4240,3370800,0.1875442321302194,0.27133470005355775,1,960
SoA heuristic,4400,3630000,0.18754262332348262,4.996060399804264,1,986
MMG,4400,3630000,0.18754262332348262,0.2947044000029564,1,986
SoA heuristic,4600,3967500,0.18754076973255054,5.111952599836513,1,1057
MMG,4600,3967500,0.18754076973255054,0.3159938999451697,1,1057
SoA heuristic,4000,3000000,0.18754688672168043,2.5287740000057966,1,892
MMG,4000,3000000,0.18754688672168043,0.24473929987289011,1,892
SoA heuristic,4020,3030075,0.18754665339636725,2.291877100011334,1,894
MMG,4020,3030075,0.18754665339636725,0.23912220005877316,1,894
SoA heuristic,4040,3060300,0.18754642238177766,2.5371254000347108,1,909
MMG,4040,3060300,0.18754642238177766,0.2280007000081241,1,909
SoA heuristic,4080,3121200,0.18754596714881097,3.638219099957496,1,925
MMG,4080,3121200,0.18754596714881097,0.2320942000951618,1,925
SoA heuristic,4120,3182700,0.18754552075746542,4.490739000029862,1,931
MMG,4120,3182700,0.18754552075746542,0.23518349998630583,1,931
SoA heuristic,4200,3307500,0.18754465348892593,3.7870044000446796,1,950
MMG,4200,3307500,0.18754465348892593,0.25713829998858273,1,950
SoA heuristic,4240,3370800,0.1875442321302194,2.192781100049615,1,958
MMG,4240,3370800,0.1875442321302194,0.28310820017941296,1,958
SoA heuristic,4400,3630000,0.18754262332348262,3.755880700191483,1,1004
MMG,4400,3630000,0.18754262332348262,0.30540330009534955,1,1004
SoA heuristic,4600,3967500,0.18754076973255054,3.1113537000492215,1,1041
MMG,4600,3967500,0.18754076973255054,0.3332296998705715,1,1041
SoA heuristic,4000,3000000,0.18754688672168043,3.7076266000512987,1,888
MMG,4000,3000000,0.18754688672168043,0.2548538001719862,1,888
SoA heuristic,4020,3030075,0.18754665339636725,2.2922026000451297,1,886
MMG,4020,3030075,0.18754665339636725,0.24317839997820556,1,886
SoA heuristic,4040,3060300,0.18754642238177766,2.616293099941686,1,899
MMG,4040,3060300,0.18754642238177766,0.24397079995833337,1,899
SoA heuristic,4080,3121200,0.18754596714881097,2.3406291001010686,1,907
MMG,4080,3121200,0.18754596714881097,0.2180639998987317,1,907
SoA heuristic,4120,3182700,0.18754552075746542,4.433902099961415,1,928
MMG,4120,3182700,0.18754552075746542,0.2147810000460595,1,928
SoA heuristic,4200,3307500,0.18754465348892593,3.7659167000092566,1,951
MMG,4200,3307500,0.18754465348892593,0.2595354001969099,1,951
SoA heuristic,4240,3370800,0.1875442321302194,2.1656065999995917,1,940
MMG,4240,3370800,0.1875442321302194,0.2738715000450611,1,940
SoA heuristic,4400,3630000,0.18754262332348262,3.2314400000032037,1,979
MMG,4400,3630000,0.18754262332348262,0.306841499870643,1,979
SoA heuristic,4600,3967500,0.18754076973255054,4.507909500040114,1,1043
MMG,4600,3967500,0.18754076973255054,0.31881490000523627,1,1043
SoA heuristic,4000,3000000,0.18754688672168043,4.9871193000581115,1,894
MMG,4000,3000000,0.18754688672168043,0.3080271000508219,1,894
SoA heuristic,4020,3030075,0.18754665339636725,4.751119400141761,1,894
MMG,4020,3030075,0.18754665339636725,0.28698049997910857,1,894
SoA heuristic,4040,3060300,0.18754642238177766,4.560452800011262,1,892
MMG,4040,3060300,0.18754642238177766,0.2977672000415623,1,892
SoA heuristic,4080,3121200,0.18754596714881097,5.552890100050718,1,907
MMG,4080,3121200,0.18754596714881097,0.3066523999441415,1,907
SoA heuristic,4120,3182700,0.18754552075746542,5.5654869000427425,1,911
MMG,4120,3182700,0.18754552075746542,0.306449799798429,1,911
SoA heuristic,4200,3307500,0.18754465348892593,5.692801400087774,1,950
MMG,4200,3307500,0.18754465348892593,0.3158267999533564,1,950
SoA heuristic,4240,3370800,0.1875442321302194,4.583525500027463,1,936
MMG,4240,3370800,0.1875442321302194,0.35162250022403896,1,936
SoA heuristic,4400,3630000,0.18754262332348262,3.6842139998916537,1,984
MMG,4400,3630000,0.18754262332348262,0.3868691998068243,1,984
SoA heuristic,4600,3967500,0.18754076973255054,4.092160899890587,1,1027
MMG,4600,3967500,0.18754076973255054,0.40976740000769496,1,1027
SoA heuristic,4000,3000000,0.18754688672168043,3.962682400131598,1,909
MMG,4000,3000000,0.18754688672168043,0.2615133000072092,1,909
SoA heuristic,4020,3030075,0.18754665339636725,3.8462562998756766,1,900
MMG,4020,3030075,0.18754665339636725,0.2661071000620723,1,900
SoA heuristic,4040,3060300,0.18754642238177766,2.761172200087458,1,900
MMG,4040,3060300,0.18754642238177766,0.2556079998612404,1,900
SoA heuristic,4080,3121200,0.18754596714881097,4.4018751999828964,1,928
MMG,4080,3121200,0.18754596714881097,0.24118530005216599,1,928
SoA heuristic,4120,3182700,0.18754552075746542,3.9227809000294656,1,929
MMG,4120,3182700,0.18754552075746542,0.2468522998970002,1,929
SoA heuristic,4200,3307500,0.18754465348892593,2.2977469000034034,1,927
MMG,4200,3307500,0.18754465348892593,0.28237010003067553,1,927
SoA heuristic,4240,3370800,0.1875442321302194,3.1751629000063986,1,949
MMG,4240,3370800,0.1875442321302194,0.2786114001646638,1,949
SoA heuristic,4400,3630000,0.18754262332348262,1.8936007998418063,1,991
MMG,4400,3630000,0.18754262332348262,0.32591959997080266,1,991
SoA heuristic,4600,3967500,0.18754076973255054,2.7047620001249015,1,1035
MMG,4600,3967500,0.18754076973255054,0.33182029984891415,1,1035
SoA heuristic,4000,3000000,0.18754688672168043,3.7917507998645306,1,887
MMG,4000,3000000,0.18754688672168043,0.24624840007163584,1,887
SoA heuristic,4020,3030075,0.18754665339636725,4.185603100107983,1,915
MMG,4020,3030075,0.18754665339636725,0.23611370008438826,1,915
SoA heuristic,4040,3060300,0.18754642238177766,4.331977900117636,1,904
MMG,4040,3060300,0.18754642238177766,0.2381067001260817,1,904
SoA heuristic,4080,3121200,0.18754596714881097,3.353543700184673,1,909
MMG,4080,3121200,0.18754596714881097,0.22682309988886118,1,909
SoA heuristic,4120,3182700,0.18754552075746542,2.7866050000302494,1,908
MMG,4120,3182700,0.18754552075746542,0.23137940000742674,1,908
SoA heuristic,4200,3307500,0.18754465348892593,2.5509208999574184,1,949
