name,nodes,edges,density,time,result_set,result_w
SoA heuristic,20,75,0.19736842105263158,9.540002793073654e-05,1,1.3572431868942518
MMG,20,75,0.19736842105263158,7.160007953643799e-05,1,1.3572431868942518
SoA heuristic,40,300,0.19230769230769232,8.890009485185146e-05,1,4.023957593064749
MMG,40,300,0.19230769230769232,6.500002928078175e-05,1,4.023957593064749
SoA heuristic,100,1875,0.1893939393939394,0.0005083999130874872,1,2.418373831958479
MMG,100,1875,0.1893939393939394,0.00015529990196228027,1,2.418373831958479
SoA heuristic,200,7500,0.1884422110552764,0.002101799938827753,1,5.235654142678399
MMG,200,7500,0.1884422110552764,0.00041840015910565853,1,5.235654142678399
SoA heuristic,400,30000,0.18796992481203006,0.009887499967589974,1,3.398289752221347
MMG,400,30000,0.18796992481203006,0.0014690998941659927,1,3.398289752221347
SoA heuristic,600,67500,0.18781302170283806,0.020780199905857444,1,2.7701654755059217
MMG,600,67500,0.18781302170283806,0.0027318999636918306,1,2.7701654755059217
SoA heuristic,1000,187500,0.18768768768768768,0.10878979996778071,1,11.298298528834795
MMG,1000,187500,0.18768768768768768,0.009127199882641435,1,11.298298528834795
SoA heuristic,2000,750000,0.1875937968984492,0.5140834997873753,1,20.78188238955428
MMG,2000,750000,0.1875937968984492,0.026462199864909053,1,20.78188238955428
SoA heuristic,4000,3000000,0.18754688672168043,2.0327765000984073,1,20.2769828629584
MMG,4000,3000000,0.18754688672168043,0.16988199995830655,1,20.2769828629584
SoA heuristic,8000,12000000,0.18752344043005376,18.770720300031826,1,14.580523798589597
MMG,8000,12000000,0.18752344043005376,0.9928548000752926,1,14.580523798589597
SoA heuristic,20,75,0.19736842105263158,7.46001023799181e-05,1,2.056234656367576
MMG,20,75,0.19736842105263158,0.00015210011042654514,1,2.056234656367576
SoA heuristic,40,300,0.19230769230769232,0.00012820004485547543,1,2.7192058085927537
MMG,40,300,0.19230769230769232,9.449990466237068e-05,1,2.7192058085927537
SoA heuristic,100,1875,0.1893939393939394,0.0006438000127673149,1,2.2322429118090916
MMG,100,1875,0.1893939393939394,0.00018749991431832314,1,2.2322429118090916
SoA heuristic,200,7500,0.1884422110552764,0.0021285999100655317,1,2.8351648817276622
MMG,200,7500,0.1884422110552764,0.00046009989455342293,1,2.8351648817276622
SoA heuristic,400,30000,0.18796992481203006,0.009801500011235476,1,3.107856208637627
MMG,400,30000,0.18796992481203006,0.00132020004093647,1,3.107856208637627
SoA heuristic,600,67500,0.18781302170283806,0.021826700074598193,1,10.955291880384983
MMG,600,67500,0.18781302170283806,0.003083700081333518,1,10.955291880384983
SoA heuristic,1000,187500,0.18768768768768768,0.06350819999352098,1,16.724601254715264
MMG,1000,187500,0.18768768768768768,0.009326500119641423,1,16.724601254715264
SoA heuristic,2000,750000,0.1875937968984492,0.5207587000913918,1,13.147877007044112
MMG,2000,750000,0.1875937968984492,0.03241019998677075,1,13.147877007044112
SoA heuristic,4000,3000000,0.18754688672168043,2.9354944000951946,1,24.944942909014202
MMG,4000,3000000,0.18754688672168043,0.1623974998947233,1,24.944942909014202
SoA heuristic,8000,12000000,0.18752344043005376,8.475728600053117,1,21.418924214057746
MMG,8000,12000000,0.18752344043005376,1.027928400086239,1,21.418924214057746
SoA heuristic,20,75,0.19736842105263158,8.570007048547268e-05,1,2.346070907598532
MMG,20,75,0.19736842105263158,6.010010838508606e-05,1,2.346070907598532
SoA heuristic,40,300,0.19230769230769232,0.00012569990940392017,1,3.491644705932436
MMG,40,300,0.19230769230769232,9.50999092310667e-05,1,3.491644705932436
SoA heuristic,100,1875,0.1893939393939394,0.0006361000705510378,1,4.529415671647518
MMG,100,1875,0.1893939393939394,0.0001580000389367342,1,4.529415671647518
SoA heuristic,200,7500,0.1884422110552764,0.0023810998536646366,1,1.881412665393583
MMG,200,7500,0.1884422110552764,0.00042719999328255653,1,1.881412665393583
SoA heuristic,400,30000,0.18796992481203006,0.010801400057971478,1,5.312641652149265
MMG,400,30000,0.18796992481203006,0.0013419000897556543,1,5.312641652149265
SoA heuristic,600,67500,0.18781302170283806,0.05690529989078641,1,3.786631567477581
MMG,600,67500,0.18781302170283806,0.0028816000558435917,1,3.786631567477581
SoA heuristic,1000,187500,0.18768768768768768,0.06142509984783828,1,21.682700424968044
MMG,1000,187500,0.18768768768768768,0.009232999989762902,1,21.682700424968044
SoA heuristic,2000,750000,0.1875937968984492,0.5125112000387162,1,18.308638439452945
MMG,2000,750000,0.1875937968984492,0.029711900046095252,1,18.308638439452945
SoA heuristic,4000,3000000,0.18754688672168043,1.511596499942243,1,8.472754636979364
MMG,4000,3000000,0.18754688672168043,0.16610219981521368,1,8.472754636979364
SoA heuristic,8000,12000000,0.18752344043005376,37.49012239999138,1,40.57027238324319
MMG,8000,12000000,0.18752344043005376,1.0287790999282151,1,40.57027238324319
SoA heuristic,20,75,0.19736842105263158,7.499987259507179e-05,1,2.3272748257235776
MMG,20,75,0.19736842105263158,7.950002327561378e-05,1,2.3272748257235776
SoA heuristic,40,300,0.19230769230769232,0.0001775000710040331,1,3.169229101462891
MMG,40,300,0.19230769230769232,0.00012900005094707012,1,3.169229101462891
SoA heuristic,100,1875,0.1893939393939394,0.0011795000173151493,1,3.104946350210555
MMG,100,1875,0.1893939393939394,0.00032720016315579414,1,3.104946350210555
SoA heuristic,200,7500,0.1884422110552764,0.004628899972885847,1,5.455664375500185
MMG,200,7500,0.1884422110552764,0.0008119998965412378,1,5.455664375500185
SoA heuristic,400,30000,0.18796992481203006,0.018331100000068545,1,7.420158677758475
MMG,400,30000,0.18796992481203006,0.002658100100234151,1,7.420158677758475
SoA heuristic,600,67500,0.18781302170283806,0.02687889989465475,1,5.427561162320898
MMG,600,67500,0.18781302170283806,0.0037948000244796276,1,5.427561162320898
SoA heuristic,1000,187500,0.18768768768768768,0.13894620002247393,1,7.812596883599787
MMG,1000,187500,0.18768768768768768,0.011825299821794033,1,7.812596883599787
SoA heuristic,2000,750000,0.1875937968984492,0.6562702998053282,1,25.259602343029822
MMG,2000,750000,0.1875937968984492,0.04235679982230067,1,25.259602343029822
SoA heuristic,4000,3000000,0.18754688672168043,2.887097500031814,1,27.427007991432294
MMG,4000,3000000,0.18754688672168043,0.21955149993300438,1,27.427007991432294
SoA heuristic,8000,12000000,0.18752344043005376,29.0814129000064,1,31.64919829625178
MMG,8000,12000000,0.18752344043005376,1.2910107001662254,1,31.64919829625178
SoA heuristic,20,75,0.19736842105263158,7.00000673532486e-05,1,2.2023235459111827
MMG,20,75,0.19736842105263158,7.25998543202877e-05,1,2.2023235459111827
