name,nodes,edges,density,time,result_set,result_w
SoA heuristic,4000,3000000,0.18754688672168043,2.5955495999660343,1,48.706722959940954
MMG,4000,3000000,0.18754688672168043,0.2452451998833567,1,48.706722959940954
SoA heuristic,4020,3030075,0.18754665339636725,2.3588928000535816,1,30.817064470293918
MMG,4020,3030075,0.18754665339636725,0.23710429994389415,1,30.817064470293918
SoA heuristic,4040,3060300,0.18754642238177766,2.293777500046417,1,4.371013307261517
MMG,4040,3060300,0.18754642238177766,0.2365996001753956,1,4.371013307261517
SoA heuristic,4080,3121200,0.18754596714881097,4.533984099980444,1,48.05877614638894
MMG,4080,3121200,0.18754596714881097,0.22262299992144108,1,48.05877614638894
SoA heuristic,4120,3182700,0.18754552075746542,4.58622599998489,1,14.623056453719423
MMG,4120,3182700,0.18754552075746542,0.22873380011878908,1,14.623056453719423
SoA heuristic,4200,3307500,0.18754465348892593,3.8774364998098463,1,22.92474195461993
MMG,4200,3307500,0.18754465348892593,0.25002120016142726,1,22.92474195461993
SoA heuristic,4240,3370800,0.1875442321302194,1.76687189983204,1,17.264838644666206
MMG,4240,3370800,0.1875442321302194,0.2754355000797659,1,17.264838644666206
SoA heuristic,4400,3630000,0.18754262332348262,2.482183299958706,1,40.124529344313295
MMG,4400,3630000,0.18754262332348262,0.29596420004963875,1,40.124529344313295
SoA heuristic,4600,3967500,0.18754076973255054,5.281159600010142,1,31.31354169974485
MMG,4600,3967500,0.18754076973255054,0.31967390002682805,1,31.31354169974485
SoA heuristic,4000,3000000,0.18754688672168043,3.847831199876964,1,30.855549409161394
MMG,4000,3000000,0.18754688672168043,0.2405893998220563,1,30.855549409161394
SoA heuristic,4020,3030075,0.18754665339636725,4.239447599975392,1,14.47676280885729
MMG,4020,3030075,0.18754665339636725,0.2219861000776291,1,14.47676280885729
SoA heuristic,4040,3060300,0.18754642238177766,4.32982650003396,1,27.251684926870766
MMG,4040,3060300,0.18754642238177766,0.23283120011910796,1,27.251684926870766
SoA heuristic,4080,3121200,0.18754596714881097,3.4452613999601454,1,12.194402464367705
MMG,4080,3121200,0.18754596714881097,0.22535940003581345,1,12.194402464367705
SoA heuristic,4120,3182700,0.18754552075746542,2.8717912000138313,1,12.489077527166
MMG,4120,3182700,0.18754552075746542,0.23072119988501072,1,12.489077527166
SoA heuristic,4200,3307500,0.18754465348892593,3.1157381997909397,1,20.8430559893221
MMG,4200,3307500,0.18754465348892593,0.2617834999691695,1,20.8430559893221
SoA heuristic,4240,3370800,0.1875442321302194,2.93991840002127,1,37.69708506318277
MMG,4240,3370800,0.1875442321302194,0.28695790003985167,1,37.69708506318277
SoA heuristic,4400,3630000,0.18754262332348262,2.4180316999554634,1,33.60181265317331
MMG,4400,3630000,0.18754262332348262,0.2995035999920219,1,33.60181265317331
SoA heuristic,4600,3967500,0.18754076973255054,3.25161170004867,1,7.706936726758634
MMG,4600,3967500,0.18754076973255054,0.3114999998360872,1,7.706936726758634
SoA heuristic,4000,3000000,0.18754688672168043,4.247422500047833,1,18.998168394002544
MMG,4000,3000000,0.18754688672168043,0.24975820002146065,1,18.998168394002544
SoA heuristic,4020,3030075,0.18754665339636725,2.4105789000168443,1,12.350548728240252
MMG,4020,3030075,0.18754665339636725,0.23749649990350008,1,12.350548728240252
SoA heuristic,4040,3060300,0.18754642238177766,3.112750899977982,1,13.506157210419389
MMG,4040,3060300,0.18754642238177766,0.2370740999467671,1,13.506157210419389
SoA heuristic,4080,3121200,0.18754596714881097,2.4527418999932706,1,33.10845616983621
MMG,4080,3121200,0.18754596714881097,0.22600729996338487,1,33.10845616983621
SoA heuristic,4120,3182700,0.18754552075746542,4.659503299975768,1,15.028759636926958
MMG,4120,3182700,0.18754552075746542,0.2353179999627173,1,15.028759636926958
SoA heuristic,4200,3307500,0.18754465348892593,2.7032228000462055,1,35.86517024142014
MMG,4200,3307500,0.18754465348892593,0.2674004000145942,1,35.86517024142014
SoA heuristic,4240,3370800,0.1875442321302194,3.6572210998274386,1,26.128798320468114
MMG,4240,3370800,0.1875442321302194,0.2887913000304252,1,26.128798320468114
SoA heuristic,4400,3630000,0.18754262332348262,3.9328324000816792,1,20.267978475042977
MMG,4400,3630000,0.18754262332348262,0.30699359998106956,1,20.267978475042977
SoA heuristic,4600,3967500,0.18754076973255054,3.3651175000704825,1,30.751688467365565
MMG,4600,3967500,0.18754076973255054,0.3349019999150187,1,30.751688467365565
SoA heuristic,4000,3000000,0.18754688672168043,3.4882163999136537,1,34.575191875034776
MMG,4000,3000000,0.18754688672168043,0.4034078000113368,1,34.575191875034776
SoA heuristic,4020,3030075,0.18754665339636725,3.133529100101441,1,50.88628488066111
MMG,4020,3030075,0.18754665339636725,0.25291289994493127,1,50.88628488066111
SoA heuristic,4040,3060300,0.18754642238177766,4.6464379001408815,1,18.216824020792348
MMG,4040,3060300,0.18754642238177766,0.2636665999889374,1,18.216824020792348
SoA heuristic,4080,3121200,0.18754596714881097,3.612419300014153,1,31.884831478006827
MMG,4080,3121200,0.18754596714881097,0.2382368000689894,1,31.884831478006827
SoA heuristic,4120,3182700,0.18754552075746542,2.479729700135067,1,18.16738209207362
MMG,4120,3182700,0.18754552075746542,0.26955990004353225,1,18.16738209207362
SoA heuristic,4200,3307500,0.18754465348892593,2.8847845001146197,1,40.55922552044163
MMG,4200,3307500,0.18754465348892593,0.2884150000754744,1,40.55922552044163
SoA heuristic,4240,3370800,0.1875442321302194,4.88994160015136,1,20.763198578944333
MMG,4240,3370800,0.1875442321302194,0.5662567000836134,1,20.763198578944333
SoA heuristic,4400,3630000,0.18754262332348262,5.594854399794713,1,11.02530047879948
MMG,4400,3630000,0.18754262332348262,0.32838429999537766,1,11.02530047879948
SoA heuristic,4600,3967500,0.18754076973255054,5.793045099824667,1,26.601258600811015
MMG,4600,3967500,0.18754076973255054,0.3668949001003057,1,26.601258600811015
SoA heuristic,4000,3000000,0.18754688672168043,2.6797001999802887,1,7.881107008783553
MMG,4000,3000000,0.18754688672168043,0.2539623000193387,1,7.881107008783553
SoA heuristic,4020,3030075,0.18754665339636725,3.365203000139445,1,4.280558777634492
MMG,4020,3030075,0.18754665339636725,0.24041660013608634,1,4.280558777634492
SoA heuristic,4040,3060300,0.18754642238177766,3.644098499789834,1,34.53171449874729
MMG,4040,3060300,0.18754642238177766,0.23704800009727478,1,34.53171449874729
SoA heuristic,4080,3121200,0.18754596714881097,2.967304299818352,1,17.189648485667384
MMG,4080,3121200,0.18754596714881097,0.23101960006169975,1,17.189648485667384
SoA heuristic,4120,3182700,0.18754552075746542,2.3251885001081973,1,21.295719827029515
MMG,4120,3182700,0.18754552075746542,0.23189210006967187,1,21.295719827029515
SoA heuristic,4200,3307500,0.18754465348892593,3.5704483001027256,1,13.646052906418833
MMG,4200,3307500,0.18754465348892593,0.25300429994240403,1,13.646052906418833
SoA heuristic,4240,3370800,0.1875442321302194,2.359615500085056,1,25.7925112524823
MMG,4240,3370800,0.1875442321302194,0.283086100127548,1,25.7925112524823
SoA heuristic,4400,3630000,0.18754262332348262,4.443760799942538,1,9.689790478406335
MMG,4400,3630000,0.18754262332348262,0.30609810003079474,1,9.689790478406335
SoA heuristic,4600,3967500,0.18754076973255054,3.891442700056359,1,6.673442367651453
MMG,4600,3967500,0.18754076973255054,0.33564169984310865,1,6.673442367651453
SoA heuristic,4000,3000000,0.18754688672168043,3.9133526000659913,1,26.187370407844433
MMG,4000,3000000,0.18754688672168043,0.24758880003355443,1,26.187370407844433
SoA heuristic,4020,3030075,0.18754665339636725,4.304214400006458,1,18.345921572174067
