name,nodes,edges,density,time,results
Set Cover,8,12,0.21428571428571427,0.0,2
Greedy Approach,8,12,0.21428571428571427,0.0,2
Set Cover,16,24,0.1,0.0,4
Greedy Approach,16,24,0.1,0.0,4
Set Cover,24,36,0.06521739130434782,0.0,6
Greedy Approach,24,36,0.06521739130434782,0.0,6
Set Cover,32,48,0.04838709677419355,0.0,8
Greedy Approach,32,48,0.04838709677419355,0.0,8
Set Cover,40,60,0.038461538461538464,0.0,8
Greedy Approach,40,60,0.038461538461538464,0.0,8
Set Cover,48,72,0.031914893617021274,0.0010013580322265625,10
Greedy Approach,48,72,0.031914893617021274,0.0,10
Set Cover,56,84,0.02727272727272727,0.0019931793212890625,12
Greedy Approach,56,84,0.02727272727272727,0.0,12
Set Cover,64,96,0.023809523809523808,0.001991748809814453,15
Greedy Approach,64,96,0.023809523809523808,0.0,15
Set Cover,72,108,0.02112676056338028,0.007973194122314453,16
Greedy Approach,72,108,0.02112676056338028,0.0009965896606445312,16
Set Cover,80,120,0.0189873417721519,0.013953208923339844,17
Greedy Approach,80,120,0.0189873417721519,0.0,17
Set Cover,88,132,0.017241379310344827,0.0770108699798584,19
Greedy Approach,88,132,0.017241379310344827,0.0,19
Set Cover,96,144,0.015789473684210527,0.3968846797943115,22
Greedy Approach,96,144,0.015789473684210527,0.0,22
Set Cover,104,156,0.014563106796116505,0.7584559917449951,24
Greedy Approach,104,156,0.014563106796116505,0.0,24
Set Cover,112,168,0.013513513513513514,1.6421678066253662,24
Greedy Approach,112,168,0.013513513513513514,0.0,24
Set Cover,120,180,0.012605042016806723,41.6282742023468,29
Greedy Approach,120,180,0.012605042016806723,0.0,29
Set Cover,8,12,0.21428571428571427,0.0,2
Greedy Approach,8,12,0.21428571428571427,0.0,2
Set Cover,16,24,0.1,0.0,3
Greedy Approach,16,24,0.1,0.0,3
Set Cover,24,36,0.06521739130434782,0.0,6
Greedy Approach,24,36,0.06521739130434782,0.0,6
Set Cover,32,48,0.04838709677419355,0.0,7
Greedy Approach,32,48,0.04838709677419355,0.0,7
Set Cover,40,60,0.038461538461538464,0.0,8
Greedy Approach,40,60,0.038461538461538464,0.0,8
Set Cover,48,72,0.031914893617021274,0.0,10
Greedy Approach,48,72,0.031914893617021274,0.0010013580322265625,10
Set Cover,56,84,0.02727272727272727,0.0009965896606445312,12
Greedy Approach,56,84,0.02727272727272727,0.0,12
Set Cover,64,96,0.023809523809523808,0.0029947757720947266,14
Greedy Approach,64,96,0.023809523809523808,0.0,14
Set Cover,72,108,0.02112676056338028,0.026909828186035156,16
Greedy Approach,72,108,0.02112676056338028,0.0,16
Set Cover,80,120,0.0189873417721519,0.013952970504760742,18
Greedy Approach,80,120,0.0189873417721519,0.0,18
Set Cover,88,132,0.017241379310344827,0.1500844955444336,19
Greedy Approach,88,132,0.017241379310344827,0.0,19
Set Cover,96,144,0.015789473684210527,0.1861560344696045,21
Greedy Approach,96,144,0.015789473684210527,0.0,21
Set Cover,104,156,0.014563106796116505,0.5668652057647705,23
Greedy Approach,104,156,0.014563106796116505,0.0,23
Set Cover,112,168,0.013513513513513514,1.059295654296875,25
Greedy Approach,112,168,0.013513513513513514,0.0,25
Set Cover,120,180,0.012605042016806723,6.9639503955841064,27
Greedy Approach,120,180,0.012605042016806723,0.0,27
Set Cover,8,12,0.21428571428571427,0.0,2
Greedy Approach,8,12,0.21428571428571427,0.0,2
Set Cover,16,24,0.1,0.0,4
Greedy Approach,16,24,0.1,0.0,4
Set Cover,24,36,0.06521739130434782,0.0,6
Greedy Approach,24,36,0.06521739130434782,0.0,6
Set Cover,32,48,0.04838709677419355,0.0,6
Greedy Approach,32,48,0.04838709677419355,0.0,6
Set Cover,40,60,0.038461538461538464,0.0,8
Greedy Approach,40,60,0.038461538461538464,0.0,8
Set Cover,48,72,0.031914893617021274,0.0,12
Greedy Approach,48,72,0.031914893617021274,0.0,12
Set Cover,56,84,0.02727272727272727,0.0009951591491699219,13
Greedy Approach,56,84,0.02727272727272727,0.0,13
Set Cover,64,96,0.023809523809523808,0.0009968280792236328,14
Greedy Approach,64,96,0.023809523809523808,0.0,14
Set Cover,72,108,0.02112676056338028,0.0039920806884765625,15
Greedy Approach,72,108,0.02112676056338028,0.0,15
Set Cover,80,120,0.0189873417721519,0.008969783782958984,18
Greedy Approach,80,120,0.0189873417721519,0.0,18
Set Cover,88,132,0.017241379310344827,0.19851446151733398,20
Greedy Approach,88,132,0.017241379310344827,0.0,20
Set Cover,96,144,0.015789473684210527,0.3046383857727051,23
Greedy Approach,96,144,0.015789473684210527,0.0,23
Set Cover,104,156,0.014563106796116505,3.456240177154541,24
Greedy Approach,104,156,0.014563106796116505,0.0,24
Set Cover,112,168,0.013513513513513514,6.951761245727539,26
Greedy Approach,112,168,0.013513513513513514,0.0,26
Set Cover,120,180,0.012605042016806723,4.027702331542969,27
Greedy Approach,120,180,0.012605042016806723,0.0,27
Set Cover,8,12,0.21428571428571427,0.0,2
Greedy Approach,8,12,0.21428571428571427,0.0,2
Set Cover,16,24,0.1,0.0,4
Greedy Approach,16,24,0.1,0.0,4
Set Cover,24,36,0.06521739130434782,0.0,5
Greedy Approach,24,36,0.06521739130434782,0.0,5
Set Cover,32,48,0.04838709677419355,0.0009961128234863281,8
Greedy Approach,32,48,0.04838709677419355,0.0,8
Set Cover,40,60,0.038461538461538464,0.0009906291961669922,10
Greedy Approach,40,60,0.038461538461538464,0.0,10
Set Cover,48,72,0.031914893617021274,0.0010035037994384766,11
Greedy Approach,48,72,0.031914893617021274,0.0,11
Set Cover,56,84,0.02727272727272727,0.0009281635284423828,12
Greedy Approach,56,84,0.02727272727272727,0.0,12
Set Cover,64,96,0.023809523809523808,0.004982948303222656,15
Greedy Approach,64,96,0.023809523809523808,0.0,15
Set Cover,72,108,0.02112676056338028,0.028952836990356445,16
Greedy Approach,72,108,0.02112676056338028,0.0,16
Set Cover,80,120,0.0189873417721519,0.033950090408325195,17
Greedy Approach,80,120,0.0189873417721519,0.0,17
Set Cover,88,132,0.017241379310344827,0.12558245658874512,19
Greedy Approach,88,132,0.017241379310344827,0.0,19
Set Cover,96,144,0.015789473684210527,0.4338250160217285,21
Greedy Approach,96,144,0.015789473684210527,0.0,21
Set Cover,104,156,0.014563106796116505,0.9974465370178223,22
Greedy Approach,104,156,0.014563106796116505,0.0,22
Set Cover,112,168,0.013513513513513514,1.5527305603027344,26
Greedy Approach,112,168,0.013513513513513514,0.0,26
Set Cover,120,180,0.012605042016806723,7.225316047668457,26
Greedy Approach,120,180,0.012605042016806723,0.0,26
Set Cover,8,12,0.21428571428571427,0.0,2
Greedy Approach,8,12,0.21428571428571427,0.0,2
Set Cover,16,24,0.1,0.0,4
Greedy Approach,16,24,0.1,0.0,4
Set Cover,24,36,0.06521739130434782,0.0,5
Greedy Approach,24,36,0.06521739130434782,0.0,5
Set Cover,32,48,0.04838709677419355,0.0,7
Greedy Approach,32,48,0.04838709677419355,0.0,7
Set Cover,40,60,0.038461538461538464,0.0,9
Greedy Approach,40,60,0.038461538461538464,0.0,9
Set Cover,48,72,0.031914893617021274,0.0009832382202148438,10
Greedy Approach,48,72,0.031914893617021274,0.0,10
Set Cover,56,84,0.02727272727272727,0.0009968280792236328,12
Greedy Approach,56,84,0.02727272727272727,0.0,12
Set Cover,64,96,0.023809523809523808,0.0019805431365966797,14
Greedy Approach,64,96,0.023809523809523808,0.0,14
Set Cover,72,108,0.02112676056338028,0.016941308975219727,16
Greedy Approach,72,108,0.02112676056338028,0.0,16
Set Cover,80,120,0.0189873417721519,0.03188371658325195,19
Greedy Approach,80,120,0.0189873417721519,0.0,19
Set Cover,88,132,0.017241379310344827,0.06300616264343262,17
Greedy Approach,88,132,0.017241379310344827,0.0,17
Set Cover,96,144,0.015789473684210527,0.3528132438659668,21
Greedy Approach,96,144,0.015789473684210527,0.0,21
Set Cover,104,156,0.014563106796116505,1.7395117282867432,22
Greedy Approach,104,156,0.014563106796116505,0.0,22
Set Cover,112,168,0.013513513513513514,1.2590360641479492,25
Greedy Approach,112,168,0.013513513513513514,0.0,25
Set Cover,120,180,0.012605042016806723,9.382240772247314,25
Greedy Approach,120,180,0.012605042016806723,0.0,25
Set Cover,8,12,0.21428571428571427,0.0,2
Greedy Approach,8,12,0.21428571428571427,0.0,2
Set Cover,16,24,0.1,0.0,4
Greedy Approach,16,24,0.1,0.0,4
Set Cover,24,36,0.06521739130434782,0.0,6
Greedy Approach,24,36,0.06521739130434782,0.0,6
Set Cover,32,48,0.04838709677419355,0.0,8
Greedy Approach,32,48,0.04838709677419355,0.0,8
Set Cover,40,60,0.038461538461538464,0.0,9
Greedy Approach,40,60,0.038461538461538464,0.0,9
Set Cover,48,72,0.031914893617021274,0.0,10
Greedy Approach,48,72,0.031914893617021274,0.0,10
Set Cover,56,84,0.02727272727272727,0.0,13
Greedy Approach,56,84,0.02727272727272727,0.000988006591796875,13
Set Cover,64,96,0.023809523809523808,0.0019881725311279297,14
Greedy Approach,64,96,0.023809523809523808,0.0,14
Set Cover,72,108,0.02112676056338028,0.009965181350708008,15
Greedy Approach,72,108,0.02112676056338028,0.0,15
Set Cover,80,120,0.0189873417721519,0.020932435989379883,16
Greedy Approach,80,120,0.0189873417721519,0.0,16
Set Cover,88,132,0.017241379310344827,0.20877408981323242,21
Greedy Approach,88,132,0.017241379310344827,0.0,21
Set Cover,96,144,0.015789473684210527,0.6789443492889404,19
Greedy Approach,96,144,0.015789473684210527,0.0,19
Set Cover,104,156,0.014563106796116505,1.9939005374908447,23
Greedy Approach,104,156,0.014563106796116505,0.0,23
Set Cover,112,168,0.013513513513513514,9.162566423416138,26
Greedy Approach,112,168,0.013513513513513514,0.0,26
Set Cover,120,180,0.012605042016806723,8.668960094451904,27
Greedy Approach,120,180,0.012605042016806723,0.0,27
Set Cover,8,12,0.21428571428571427,0.0,2
Greedy Approach,8,12,0.21428571428571427,0.0,2
Set Cover,16,24,0.1,0.0,3
Greedy Approach,16,24,0.1,0.0,3
Set Cover,24,36,0.06521739130434782,0.0,6
Greedy Approach,24,36,0.06521739130434782,0.0,6
Set Cover,32,48,0.04838709677419355,0.0,7
Greedy Approach,32,48,0.04838709677419355,0.0,7
Set Cover,40,60,0.038461538461538464,0.0,9
Greedy Approach,40,60,0.038461538461538464,0.0,9
Set Cover,48,72,0.031914893617021274,0.0,11
Greedy Approach,48,72,0.031914893617021274,0.0,11
Set Cover,56,84,0.02727272727272727,0.001001596450805664,11
Greedy Approach,56,84,0.02727272727272727,0.0,11
Set Cover,64,96,0.023809523809523808,0.002989530563354492,14
Greedy Approach,64,96,0.023809523809523808,0.0,14
Set Cover,72,108,0.02112676056338028,0.015946388244628906,18
Greedy Approach,72,108,0.02112676056338028,0.0,18
Set Cover,80,120,0.0189873417721519,0.047838687896728516,20
Greedy Approach,80,120,0.0189873417721519,0.0,20
Set Cover,88,132,0.017241379310344827,0.01096343994140625,21
Greedy Approach,88,132,0.017241379310344827,0.0,21
Set Cover,96,144,0.015789473684210527,0.10863637924194336,21
Greedy Approach,96,144,0.015789473684210527,0.0,21
Set Cover,104,156,0.014563106796116505,1.184035301208496,22
Greedy Approach,104,156,0.014563106796116505,0.0,22
Set Cover,112,168,0.013513513513513514,0.3607919216156006,24
Greedy Approach,112,168,0.013513513513513514,0.0,24
Set Cover,120,180,0.012605042016806723,3.6048781871795654,28
Greedy Approach,120,180,0.012605042016806723,0.0,28
Set Cover,8,12,0.21428571428571427,0.0,2
Greedy Approach,8,12,0.21428571428571427,0.0,2
Set Cover,16,24,0.1,0.0,4
Greedy Approach,16,24,0.1,0.0,4
Set Cover,24,36,0.06521739130434782,0.0,6
Greedy Approach,24,36,0.06521739130434782,0.0,6
Set Cover,32,48,0.04838709677419355,0.0,7
Greedy Approach,32,48,0.04838709677419355,0.0,7
Set Cover,40,60,0.038461538461538464,0.0,10
Greedy Approach,40,60,0.038461538461538464,0.0,10
Set Cover,48,72,0.031914893617021274,0.0009965896606445312,10
Greedy Approach,48,72,0.031914893617021274,0.0,10
Set Cover,56,84,0.02727272727272727,0.0009963512420654297,13
Greedy Approach,56,84,0.02727272727272727,0.0,13
Set Cover,64,96,0.023809523809523808,0.0009965896606445312,15
Greedy Approach,64,96,0.023809523809523808,0.0,15
Set Cover,72,108,0.02112676056338028,0.00597381591796875,17
Greedy Approach,72,108,0.02112676056338028,0.0,17
Set Cover,80,120,0.0189873417721519,0.08371877670288086,18
Greedy Approach,80,120,0.0189873417721519,0.0,18
Set Cover,88,132,0.017241379310344827,0.14949846267700195,20
Greedy Approach,88,132,0.017241379310344827,0.0,20
Set Cover,96,144,0.015789473684210527,0.10265374183654785,20
Greedy Approach,96,144,0.015789473684210527,0.0,20
Set Cover,104,156,0.014563106796116505,1.2516374588012695,23
Greedy Approach,104,156,0.014563106796116505,0.0,23
Set Cover,112,168,0.013513513513513514,0.3069722652435303,25
Greedy Approach,112,168,0.013513513513513514,0.0,25
Set Cover,120,180,0.012605042016806723,5.6838219165802,28
Greedy Approach,120,180,0.012605042016806723,0.0,28
Set Cover,8,12,0.21428571428571427,0.0,2
Greedy Approach,8,12,0.21428571428571427,0.0,2
Set Cover,16,24,0.1,0.0,4
Greedy Approach,16,24,0.1,0.0,4
Set Cover,24,36,0.06521739130434782,0.0,6
Greedy Approach,24,36,0.06521739130434782,0.0,6
Set Cover,32,48,0.04838709677419355,0.0,8
Greedy Approach,32,48,0.04838709677419355,0.0,8
Set Cover,40,60,0.038461538461538464,0.0,10
Greedy Approach,40,60,0.038461538461538464,0.0,10
Set Cover,48,72,0.031914893617021274,0.0,10
Greedy Approach,48,72,0.031914893617021274,0.0,10
Set Cover,56,84,0.02727272727272727,0.0013065338134765625,13
Greedy Approach,56,84,0.02727272727272727,0.0,13
Set Cover,64,96,0.023809523809523808,0.0023458003997802734,13
Greedy Approach,64,96,0.023809523809523808,0.0,13
Set Cover,72,108,0.02112676056338028,0.014223575592041016,17
Greedy Approach,72,108,0.02112676056338028,0.0,17
Set Cover,80,120,0.0189873417721519,0.01834893226623535,18
Greedy Approach,80,120,0.0189873417721519,0.0009837150573730469,18
Set Cover,88,132,0.017241379310344827,0.12314486503601074,20
Greedy Approach,88,132,0.017241379310344827,0.0,20
Set Cover,96,144,0.015789473684210527,0.19097328186035156,20
Greedy Approach,96,144,0.015789473684210527,0.0,20
Set Cover,104,156,0.014563106796116505,0.13484454154968262,21
Greedy Approach,104,156,0.014563106796116505,0.0,21
Set Cover,112,168,0.013513513513513514,2.597494125366211,25
Greedy Approach,112,168,0.013513513513513514,0.0,25
Set Cover,120,180,0.012605042016806723,19.863831996917725,28
Greedy Approach,120,180,0.012605042016806723,0.0,28
Set Cover,8,12,0.21428571428571427,0.0,2
Greedy Approach,8,12,0.21428571428571427,0.0,2
Set Cover,16,24,0.1,0.0,3
Greedy Approach,16,24,0.1,0.0,3
Set Cover,24,36,0.06521739130434782,0.0,5
Greedy Approach,24,36,0.06521739130434782,0.0,5
Set Cover,32,48,0.04838709677419355,0.0,5
Greedy Approach,32,48,0.04838709677419355,0.0,5
Set Cover,40,60,0.038461538461538464,0.0010020732879638672,8
Greedy Approach,40,60,0.038461538461538464,0.0,8
Set Cover,48,72,0.031914893617021274,0.0009965896606445312,11
Greedy Approach,48,72,0.031914893617021274,0.0,11
Set Cover,56,84,0.02727272727272727,0.0,13
Greedy Approach,56,84,0.02727272727272727,0.0,13
Set Cover,64,96,0.023809523809523808,0.0029954910278320312,15
Greedy Approach,64,96,0.023809523809523808,0.0,15
Set Cover,72,108,0.02112676056338028,0.004987955093383789,14
Greedy Approach,72,108,0.02112676056338028,0.0,14
Set Cover,80,120,0.0189873417721519,0.02691340446472168,17
Greedy Approach,80,120,0.0189873417721519,0.0,17
Set Cover,88,132,0.017241379310344827,0.15547847747802734,20
Greedy Approach,88,132,0.017241379310344827,0.0,20
Set Cover,96,144,0.015789473684210527,0.04977869987487793,20
Greedy Approach,96,144,0.015789473684210527,0.0,20
Set Cover,104,156,0.014563106796116505,0.3916933536529541,23
Greedy Approach,104,156,0.014563106796116505,0.0,23
Set Cover,112,168,0.013513513513513514,2.856565237045288,23
Greedy Approach,112,168,0.013513513513513514,0.0,23
Set Cover,120,180,0.012605042016806723,4.274211883544922,27
Greedy Approach,120,180,0.012605042016806723,0.0,27
Set Cover,8,12,0.21428571428571427,0.0,2
Greedy Approach,8,12,0.21428571428571427,0.0,2
Set Cover,16,24,0.1,0.0,4
Greedy Approach,16,24,0.1,0.0,4
Set Cover,24,36,0.06521739130434782,0.0,6
Greedy Approach,24,36,0.06521739130434782,0.0,6
Set Cover,32,48,0.04838709677419355,0.0,5
Greedy Approach,32,48,0.04838709677419355,0.0,5
Set Cover,40,60,0.038461538461538464,0.0009965896606445312,9
Greedy Approach,40,60,0.038461538461538464,0.0,9
Set Cover,48,72,0.031914893617021274,0.0009968280792236328,10
Greedy Approach,48,72,0.031914893617021274,0.0,10
Set Cover,56,84,0.02727272727272727,0.0009963512420654297,13
