name,nodes,edges,density,time,result_set,result_w
SoA heuristic,20,30,0.07894736842105263,4.2499974370002747e-05,1,18
MMG,20,30,0.07894736842105263,3.520003519952297e-05,1,18
SoA heuristic,40,60,0.038461538461538464,4.7800131142139435e-05,6,320
MMG,40,60,0.038461538461538464,0.00016329996287822723,5,313
SoA heuristic,100,150,0.015151515151515152,7.750000804662704e-05,11,440
MMG,100,150,0.015151515151515152,0.000403400044888258,9,484
SoA heuristic,200,300,0.007537688442211055,0.00012829992920160294,24,1123
MMG,200,300,0.007537688442211055,0.0015083998441696167,20,1064
SoA heuristic,400,600,0.0037593984962406013,0.00023319991305470467,44,1996
MMG,400,600,0.0037593984962406013,0.005347900092601776,41,2029
SoA heuristic,600,900,0.0025041736227045075,0.0003537999000400305,61,3010
MMG,600,900,0.0025041736227045075,0.011351200053468347,56,3012
SoA heuristic,1000,1500,0.0015015015015015015,0.0005755000747740269,103,4226
MMG,1000,1500,0.0015015015015015015,0.028862199978902936,92,4168
SoA heuristic,2000,3000,0.0007503751875937969,0.0012360999826341867,202,8475
MMG,2000,3000,0.0007503751875937969,0.11692290008068085,189,8543
SoA heuristic,4000,6000,0.00037509377344336085,0.022081000031903386,428,19051
MMG,4000,6000,0.00037509377344336085,0.5053793999832124,389,18535
SoA heuristic,8000,12000,0.00018752344043005377,0.004910099785774946,823,34360
MMG,8000,12000,0.00018752344043005377,1.8108467001002282,733,33693
SoA heuristic,20,30,0.07894736842105263,4.6900007873773575e-05,3,41
MMG,20,30,0.07894736842105263,6.620003841817379e-05,2,35
SoA heuristic,40,60,0.038461538461538464,4.009995609521866e-05,4,204
MMG,40,60,0.038461538461538464,0.00015769992023706436,4,204
SoA heuristic,100,150,0.015151515151515152,7.659988477826118e-05,11,643
MMG,100,150,0.015151515151515152,0.0005141000729054213,10,618
SoA heuristic,200,300,0.007537688442211055,0.00011750007979571819,23,859
MMG,200,300,0.007537688442211055,0.0015799999237060547,21,850
SoA heuristic,400,600,0.0037593984962406013,0.00025349995121359825,43,1770
MMG,400,600,0.0037593984962406013,0.00521499989554286,38,1801
SoA heuristic,600,900,0.0025041736227045075,0.00041110021993517876,60,2433
MMG,600,900,0.0025041736227045075,0.011161500122398138,55,2433
SoA heuristic,1000,1500,0.0015015015015015015,0.0008799000643193722,101,3860
MMG,1000,1500,0.0015015015015015015,0.028622400015592575,91,3874
SoA heuristic,2000,3000,0.0007503751875937969,0.0016059998888522387,214,9171
MMG,2000,3000,0.0007503751875937969,0.1179577000439167,194,9008
SoA heuristic,4000,6000,0.00037509377344336085,0.0024880000855773687,393,16417
MMG,4000,6000,0.00037509377344336085,0.43914429983124137,353,16554
SoA heuristic,8000,12000,0.00018752344043005377,0.005800700047984719,801,34945
MMG,8000,12000,0.00018752344043005377,1.9664822998456657,730,34228
SoA heuristic,20,30,0.07894736842105263,4.639988765120506e-05,2,55
MMG,20,30,0.07894736842105263,7.46001023799181e-05,2,55
SoA heuristic,40,60,0.038461538461538464,4.109996370971203e-05,5,210
MMG,40,60,0.038461538461538464,0.00015489989891648293,5,210
SoA heuristic,100,150,0.015151515151515152,6.070011295378208e-05,9,283
MMG,100,150,0.015151515151515152,0.0003855000250041485,9,283
SoA heuristic,200,300,0.007537688442211055,0.00010879989713430405,24,900
MMG,200,300,0.007537688442211055,0.0014039999805390835,21,820
SoA heuristic,400,600,0.0037593984962406013,0.0002584001049399376,36,1422
MMG,400,600,0.0037593984962406013,0.005143099930137396,35,1437
SoA heuristic,600,900,0.0025041736227045075,0.0003092000260949135,62,2459
MMG,600,900,0.0025041736227045075,0.009546800050884485,52,2416
SoA heuristic,1000,1500,0.0015015015015015015,0.0006735001225024462,114,5282
MMG,1000,1500,0.0015015015015015015,0.03305179998278618,104,5379
SoA heuristic,2000,3000,0.0007503751875937969,0.0015555999707430601,205,8280
MMG,2000,3000,0.0007503751875937969,0.11060280003584921,184,8231
SoA heuristic,4000,6000,0.00037509377344336085,0.002471399959176779,409,17044
MMG,4000,6000,0.00037509377344336085,0.47867670003324747,372,16943
SoA heuristic,8000,12000,0.00018752344043005377,0.005260200006887317,794,34169
MMG,8000,12000,0.00018752344043005377,1.8980352999642491,735,34331
SoA heuristic,20,30,0.07894736842105263,3.8800062611699104e-05,1,91
MMG,20,30,0.07894736842105263,5.310005508363247e-05,1,91
SoA heuristic,40,60,0.038461538461538464,3.650016151368618e-05,5,219
MMG,40,60,0.038461538461538464,0.00010870001278817654,3,236
SoA heuristic,100,150,0.015151515151515152,7.08999577909708e-05,13,406
MMG,100,150,0.015151515151515152,0.000573999946936965,12,401
SoA heuristic,200,300,0.007537688442211055,0.00016529997810721397,19,681
MMG,200,300,0.007537688442211055,0.0015674000605940819,18,674
SoA heuristic,400,600,0.0037593984962406013,0.00022749998606741428,42,1603
MMG,400,600,0.0037593984962406013,0.004678500117734075,34,1560
SoA heuristic,600,900,0.0025041736227045075,0.00034859986044466496,61,2648
MMG,600,900,0.0025041736227045075,0.010589799843728542,56,2591
SoA heuristic,1000,1500,0.0015015015015015015,0.0008812998421490192,98,4355
MMG,1000,1500,0.0015015015015015015,0.02747209998778999,89,4433
SoA heuristic,2000,3000,0.0007503751875937969,0.001155500067397952,192,8069
MMG,2000,3000,0.0007503751875937969,0.10817830008454621,173,7865
SoA heuristic,4000,6000,0.00037509377344336085,0.002431000117212534,394,17714
MMG,4000,6000,0.00037509377344336085,0.44956040009856224,360,17744
SoA heuristic,8000,12000,0.00018752344043005377,0.005133399972692132,810,35856
MMG,8000,12000,0.00018752344043005377,1.942118200007826,740,35238
SoA heuristic,20,30,0.07894736842105263,5.13000413775444e-05,3,126
MMG,20,30,0.07894736842105263,0.00010099983774125576,3,126
SoA heuristic,40,60,0.038461538461538464,8.530006743967533e-05,4,46
MMG,40,60,0.038461538461538464,0.00015740003436803818,3,40
SoA heuristic,100,150,0.015151515151515152,8.379993960261345e-05,10,374
MMG,100,150,0.015151515151515152,0.0005047000013291836,7,320
SoA heuristic,200,300,0.007537688442211055,0.00019260006956756115,19,809
MMG,200,300,0.007537688442211055,0.0014651999808847904,18,807
SoA heuristic,400,600,0.0037593984962406013,0.0002501998096704483,43,2102
MMG,400,600,0.0037593984962406013,0.004978100070729852,36,2025
SoA heuristic,600,900,0.0025041736227045075,0.0003451998345553875,58,2585
MMG,600,900,0.0025041736227045075,0.01093539991416037,56,2583
SoA heuristic,1000,1500,0.0015015015015015015,0.0010685001034289598,104,4227
MMG,1000,1500,0.0015015015015015015,0.04086339985951781,93,4146
SoA heuristic,2000,3000,0.0007503751875937969,0.0013162000104784966,208,9390
MMG,2000,3000,0.0007503751875937969,0.1190432000439614,186,9070
SoA heuristic,4000,6000,0.00037509377344336085,0.0030656999442726374,395,17260
MMG,4000,6000,0.00037509377344336085,0.4956783999223262,359,17174
SoA heuristic,8000,12000,0.00018752344043005377,0.006085899891331792,813,34078
MMG,8000,12000,0.00018752344043005377,2.2086808001622558,741,33575
SoA heuristic,20,30,0.07894736842105263,4.309997893869877e-05,1,11
MMG,20,30,0.07894736842105263,5.779997445642948e-05,1,11
SoA heuristic,40,60,0.038461538461538464,5.030003376305103e-05,6,152
