name,nodes,edges,density,time,result_set,result_w
SoA heuristic,4000,6000,0.00037509377344336085,0.0034293001517653465,454,17160
MMG,4000,6000,0.00037509377344336085,0.6527485998813063,388,17074
SoA heuristic,4020,6030,0.0003732271709380443,0.004050299990922213,452,17699
MMG,4020,6030,0.0003732271709380443,0.6455145999789238,404,17875
SoA heuristic,4040,6060,0.0003713790542213419,0.0034221999812871218,458,18622
MMG,4040,6060,0.0003713790542213419,0.6633140000049025,406,18271
SoA heuristic,4080,6120,0.00036773719048786466,0.0036111001390963793,487,19865
MMG,4080,6120,0.00036773719048786466,0.6749094999395311,418,19383
SoA heuristic,4120,6180,0.0003641660597232338,0.0037490001413971186,458,19161
MMG,4120,6180,0.0003641660597232338,0.6825204999186099,412,18892
SoA heuristic,4200,6300,0.00035722791140747797,0.00355330016463995,474,18669
MMG,4200,6300,0.00035722791140747797,0.696670199977234,412,18848
SoA heuristic,4240,6360,0.00035385704175513094,0.00437219999730587,477,18897
MMG,4240,6360,0.00035385704175513094,0.7258482000324875,422,18675
SoA heuristic,4400,6600,0.0003409865878608775,0.0038858000189065933,517,21287
MMG,4400,6600,0.0003409865878608775,0.7913687999825925,445,21395
SoA heuristic,4600,6900,0.00032615786040443573,0.0062553000170737505,511,20050
MMG,4600,6900,0.00032615786040443573,0.8714529999997467,442,19738
SoA heuristic,4000,6000,0.00037509377344336085,0.0032918998040258884,470,18211
MMG,4000,6000,0.00037509377344336085,0.6380479999352247,400,18291
SoA heuristic,4020,6030,0.0003732271709380443,0.004036800004541874,465,18819
MMG,4020,6030,0.0003732271709380443,0.6482052002102137,404,18746
SoA heuristic,4040,6060,0.0003713790542213419,0.004209999926388264,447,18145
MMG,4040,6060,0.0003713790542213419,0.6630364002194256,409,18519
SoA heuristic,4080,6120,0.00036773719048786466,0.004157899878919125,471,18905
MMG,4080,6120,0.00036773719048786466,0.6733725001104176,411,19330
SoA heuristic,4120,6180,0.0003641660597232338,0.0037499999161809683,468,18000
MMG,4120,6180,0.0003641660597232338,0.6679618000052869,407,18003
SoA heuristic,4200,6300,0.00035722791140747797,0.0042317998595535755,482,19500
MMG,4200,6300,0.00035722791140747797,0.691725900163874,424,19453
SoA heuristic,4240,6360,0.00035385704175513094,0.0036259000189602375,501,20537
MMG,4240,6360,0.00035385704175513094,0.7650435999967158,442,20370
SoA heuristic,4400,6600,0.0003409865878608775,0.004478400107473135,505,19646
MMG,4400,6600,0.0003409865878608775,0.7652116999961436,438,19982
SoA heuristic,4600,6900,0.00032615786040443573,0.004571299999952316,526,19487
MMG,4600,6900,0.00032615786040443573,0.844194799894467,456,19990
SoA heuristic,4000,6000,0.00037509377344336085,0.004124700091779232,453,17849
MMG,4000,6000,0.00037509377344336085,0.6203439999371767,392,17465
SoA heuristic,4020,6030,0.0003732271709380443,0.00491579994559288,452,17195
MMG,4020,6030,0.0003732271709380443,0.6693394999019802,396,17111
SoA heuristic,4040,6060,0.0003713790542213419,0.0034115000162273645,468,19153
MMG,4040,6060,0.0003713790542213419,0.6475023000966758,404,19012
SoA heuristic,4080,6120,0.00036773719048786466,0.03315509995445609,467,20053
MMG,4080,6120,0.00036773719048786466,0.6768767000176013,419,19846
SoA heuristic,4120,6180,0.0003641660597232338,0.004197099944576621,449,18092
MMG,4120,6180,0.0003641660597232338,0.655326799955219,404,18144
SoA heuristic,4200,6300,0.00035722791140747797,0.0038194998633116484,465,18926
MMG,4200,6300,0.00035722791140747797,0.6861105000134557,409,18582
SoA heuristic,4240,6360,0.00035385704175513094,0.004425299819558859,474,18712
MMG,4240,6360,0.00035385704175513094,0.7178276001941413,425,18757
SoA heuristic,4400,6600,0.0003409865878608775,0.003738400060683489,513,20447
MMG,4400,6600,0.0003409865878608775,0.7383367998991162,443,20257
SoA heuristic,4600,6900,0.00032615786040443573,0.0038545001298189163,520,21551
MMG,4600,6900,0.00032615786040443573,0.8336344000417739,452,21776
SoA heuristic,4000,6000,0.00037509377344336085,0.0037707998417317867,444,18190
MMG,4000,6000,0.00037509377344336085,0.632062700111419,398,18829
SoA heuristic,4020,6030,0.0003732271709380443,0.004843499977141619,457,18010
MMG,4020,6030,0.0003732271709380443,0.6183521000202745,389,17810
SoA heuristic,4040,6060,0.0003713790542213419,0.0033244998194277287,460,17300
MMG,4040,6060,0.0003713790542213419,0.6697126000653952,414,17266
SoA heuristic,4080,6120,0.00036773719048786466,0.0033068000338971615,466,18059
MMG,4080,6120,0.00036773719048786466,0.6413571999873966,406,18199
SoA heuristic,4120,6180,0.0003641660597232338,0.0040831000078469515,465,19617
MMG,4120,6180,0.0003641660597232338,0.6706330000888556,421,19638
SoA heuristic,4200,6300,0.00035722791140747797,0.003457200014963746,475,17926
MMG,4200,6300,0.00035722791140747797,0.6630814000964165,409,18204
SoA heuristic,4240,6360,0.00035385704175513094,0.004124599974602461,487,18905
MMG,4240,6360,0.00035385704175513094,0.6992325000464916,430,18893
SoA heuristic,4400,6600,0.0003409865878608775,0.004013899946585298,487,19173
MMG,4400,6600,0.0003409865878608775,0.7527071998920292,429,19221
SoA heuristic,4600,6900,0.00032615786040443573,0.007126899901777506,489,18565
MMG,4600,6900,0.00032615786040443573,0.8198849998880178,430,18505
SoA heuristic,4000,6000,0.00037509377344336085,0.0038056999910622835,461,18586
MMG,4000,6000,0.00037509377344336085,0.6851596001069993,404,18343
SoA heuristic,4020,6030,0.0003732271709380443,0.0035719999577850103,469,19320
MMG,4020,6030,0.0003732271709380443,0.7223105998709798,412,19534
SoA heuristic,4040,6060,0.0003713790542213419,0.0036162000615149736,476,19880
MMG,4040,6060,0.0003713790542213419,0.7302764998748899,422,19640
SoA heuristic,4080,6120,0.00036773719048786466,0.004624000051990151,456,16906
MMG,4080,6120,0.00036773719048786466,0.7133420000318438,395,16997
SoA heuristic,4120,6180,0.0003641660597232338,0.004092999966815114,483,19778
MMG,4120,6180,0.0003641660597232338,0.7620272999629378,435,19704
SoA heuristic,4200,6300,0.00035722791140747797,0.005401299800723791,473,18378
MMG,4200,6300,0.00035722791140747797,0.9246225000824779,423,18402
SoA heuristic,4240,6360,0.00035385704175513094,0.0060223001055419445,474,18464
MMG,4240,6360,0.00035385704175513094,0.8373826998285949,425,19025
SoA heuristic,4400,6600,0.0003409865878608775,0.004023900022730231,506,21124
MMG,4400,6600,0.0003409865878608775,0.871640499914065,447,20925
SoA heuristic,4600,6900,0.00032615786040443573,0.03567020012997091,527,21377
MMG,4600,6900,0.00032615786040443573,0.9317373000085354,468,20839
SoA heuristic,4000,6000,0.00037509377344336085,0.004300700034946203,457,18929
MMG,4000,6000,0.00037509377344336085,0.6258758001495153,386,18354
SoA heuristic,4020,6030,0.0003732271709380443,0.003114699851721525,471,18668
MMG,4020,6030,0.0003732271709380443,0.6187919001094997,411,18514
SoA heuristic,4040,6060,0.0003713790542213419,0.0032597999088466167,463,19042
MMG,4040,6060,0.0003713790542213419,0.6458324000705034,393,18922
SoA heuristic,4080,6120,0.00036773719048786466,0.003405200084671378,448,18343
MMG,4080,6120,0.00036773719048786466,0.6531152999959886,395,18306
SoA heuristic,4120,6180,0.0003641660597232338,0.004164400044828653,480,20324
MMG,4120,6180,0.0003641660597232338,0.7037118000444025,423,20254
SoA heuristic,4200,6300,0.00035722791140747797,0.0037148999981582165,490,19231
MMG,4200,6300,0.00035722791140747797,0.7225027000531554,424,18905
SoA heuristic,4240,6360,0.00035385704175513094,0.03487109998241067,495,20618
MMG,4240,6360,0.00035385704175513094,0.7503551000263542,440,20540
SoA heuristic,4400,6600,0.0003409865878608775,0.005724400049075484,507,19394
MMG,4400,6600,0.0003409865878608775,0.8298677999991924,453,18919
SoA heuristic,4600,6900,0.00032615786040443573,0.0039172000251710415,528,22015
MMG,4600,6900,0.00032615786040443573,0.8577625001780689,458,21594
SoA heuristic,4000,6000,0.00037509377344336085,0.03263120003975928,436,17612
MMG,4000,6000,0.00037509377344336085,0.6106432001106441,385,17602
SoA heuristic,4020,6030,0.0003732271709380443,0.00333759980276227,467,18664
MMG,4020,6030,0.0003732271709380443,0.6425711000338197,402,18667
SoA heuristic,4040,6060,0.0003713790542213419,0.0032244999893009663,459,18722
MMG,4040,6060,0.0003713790542213419,0.6224815000314265,403,18933
SoA heuristic,4080,6120,0.00036773719048786466,0.003351300023496151,445,17831
MMG,4080,6120,0.00036773719048786466,0.6718659000471234,407,17923
SoA heuristic,4120,6180,0.0003641660597232338,0.004366700071841478,466,18946
MMG,4120,6180,0.0003641660597232338,0.6446091998368502,390,18702
SoA heuristic,4200,6300,0.00035722791140747797,0.0036025000736117363,484,19536
MMG,4200,6300,0.00035722791140747797,0.6993805000092834,420,19279
SoA heuristic,4240,6360,0.00035385704175513094,0.004144999897107482,493,19261
MMG,4240,6360,0.00035385704175513094,0.7206902001053095,430,19180
SoA heuristic,4400,6600,0.0003409865878608775,0.003794299904257059,501,20123
MMG,4400,6600,0.0003409865878608775,0.7765304001513869,438,19657
SoA heuristic,4600,6900,0.00032615786040443573,0.005043799988925457,548,21362
MMG,4600,6900,0.00032615786040443573,0.9166993999388069,481,21274
SoA heuristic,4000,6000,0.00037509377344336085,0.01085279998369515,460,18932
MMG,4000,6000,0.00037509377344336085,2.01839440013282,403,19337
SoA heuristic,4020,6030,0.0003732271709380443,0.01653729984536767,455,18771
MMG,4020,6030,0.0003732271709380443,2.155972999986261,403,18695
SoA heuristic,4040,6060,0.0003713790542213419,0.021824700059369206,478,19023
MMG,4040,6060,0.0003713790542213419,2.380913299974054,420,19167
SoA heuristic,4080,6120,0.00036773719048786466,0.010999999940395355,458,18939
MMG,4080,6120,0.00036773719048786466,2.372098400024697,401,18578
SoA heuristic,4120,6180,0.0003641660597232338,0.011394500033929944,463,18264
MMG,4120,6180,0.0003641660597232338,2.0918936000671238,402,17977
SoA heuristic,4200,6300,0.00035722791140747797,0.01298299990594387,487,18977
MMG,4200,6300,0.00035722791140747797,2.3038149001076818,416,18567
SoA heuristic,4240,6360,0.00035385704175513094,0.01156260003335774,492,20706
MMG,4240,6360,0.00035385704175513094,2.3886355999857187,432,20882
SoA heuristic,4400,6600,0.0003409865878608775,0.08352639991790056,517,20610
MMG,4400,6600,0.0003409865878608775,2.575764099834487,449,20502
SoA heuristic,4600,6900,0.00032615786040443573,0.016892699990421534,526,21833
MMG,4600,6900,0.00032615786040443573,2.8913835999555886,465,21715
SoA heuristic,4000,6000,0.00037509377344336085,0.003964700037613511,454,18041
MMG,4000,6000,0.00037509377344336085,0.6129064001142979,386,17903
SoA heuristic,4020,6030,0.0003732271709380443,0.0031272999476641417,458,18026
MMG,4020,6030,0.0003732271709380443,0.641835399903357,397,18223
SoA heuristic,4040,6060,0.0003713790542213419,0.003499200101941824,470,20432
MMG,4040,6060,0.0003713790542213419,0.6787970999721438,412,20364
SoA heuristic,4080,6120,0.00036773719048786466,0.0032023999374359846,467,17962
MMG,4080,6120,0.00036773719048786466,0.6663125001359731,404,17751
SoA heuristic,4120,6180,0.0003641660597232338,0.004679800011217594,464,19143
MMG,4120,6180,0.0003641660597232338,0.6788077000528574,412,18933
SoA heuristic,4200,6300,0.00035722791140747797,0.004709100117906928,469,20256
MMG,4200,6300,0.00035722791140747797,0.6907754000276327,406,19720
SoA heuristic,4240,6360,0.00035385704175513094,0.004509499995037913,502,20148
MMG,4240,6360,0.00035385704175513094,0.7439564000815153,431,19952
SoA heuristic,4400,6600,0.0003409865878608775,0.005573999835178256,482,19601
MMG,4400,6600,0.0003409865878608775,0.7792396999429911,428,19718
SoA heuristic,4600,6900,0.00032615786040443573,0.004892600001767278,541,21054
MMG,4600,6900,0.00032615786040443573,0.89985779998824,477,21476
SoA heuristic,4000,6000,0.00037509377344336085,0.006044500041753054,458,18007
MMG,4000,6000,0.00037509377344336085,0.9910273998975754,413,18197
SoA heuristic,4020,6030,0.0003732271709380443,0.0029949999880045652,441,17194
MMG,4020,6030,0.0003732271709380443,1.1358834998682141,392,17572
SoA heuristic,4040,6060,0.0003713790542213419,0.008946500020101666,469,18894
MMG,4040,6060,0.0003713790542213419,0.9153195000253618,399,18703
SoA heuristic,4080,6120,0.00036773719048786466,0.038805400021374226,467,18691
MMG,4080,6120,0.00036773719048786466,1.0522177999373525,409,18325
SoA heuristic,4120,6180,0.0003641660597232338,0.007062099874019623,492,19835
MMG,4120,6180,0.0003641660597232338,1.110254499828443,434,19774
SoA heuristic,4200,6300,0.00035722791140747797,0.004829200217500329,471,18985
MMG,4200,6300,0.00035722791140747797,1.0121826999820769,409,19145
SoA heuristic,4240,6360,0.00035385704175513094,0.005312700057402253,494,19481
MMG,4240,6360,0.00035385704175513094,1.021550500066951,434,19658
SoA heuristic,4400,6600,0.0003409865878608775,0.04543980001471937,482,18389
