name,nodes,edges,density,time,result_set,result_w
SoA heuristic,20,15,0.039473684210526314,2.2399937734007835e-05,5,14
MMG,20,15,0.039473684210526314,9.650015272200108e-05,5,14
SoA heuristic,40,30,0.019230769230769232,2.9100105166435242e-05,10,58
MMG,40,30,0.019230769230769232,0.000228899996727705,10,58
SoA heuristic,100,75,0.007575757575757576,5.979998968541622e-05,25,300
MMG,100,75,0.007575757575757576,0.0009501997847110033,25,300
SoA heuristic,200,150,0.0037688442211055275,0.00011159991845488548,50,1265
MMG,200,150,0.0037688442211055275,0.003349199891090393,50,1265
SoA heuristic,400,300,0.0018796992481203006,0.00019450020045042038,100,5083
MMG,400,300,0.0018796992481203006,0.011823700042441487,100,5083
SoA heuristic,600,450,0.0012520868113522537,0.0003198001068085432,150,11235
MMG,600,450,0.0012520868113522537,0.02807660005055368,150,11235
SoA heuristic,1000,750,0.0007507507507507507,0.0006171001587063074,250,31166
MMG,1000,750,0.0007507507507507507,0.07605199981480837,250,31166
SoA heuristic,2000,1500,0.00037518759379689845,0.0011285999789834023,500,125188
MMG,2000,1500,0.00037518759379689845,0.29732659994624555,500,125188
SoA heuristic,4000,3000,0.00018754688672168043,0.0021115001291036606,1000,499926
MMG,4000,3000,0.00018754688672168043,1.1941751001868397,1000,499926
SoA heuristic,8000,6000,9.376172021502688e-05,0.005781699903309345,2000,2000786
MMG,8000,6000,9.376172021502688e-05,4.772231699898839,2000,2000786
SoA heuristic,20,15,0.039473684210526314,1.9999919459223747e-05,5,8
MMG,20,15,0.039473684210526314,9.749992750585079e-05,5,8
SoA heuristic,40,30,0.019230769230769232,3.2499898225069046e-05,10,48
MMG,40,30,0.019230769230769232,0.0002438998781144619,10,48
SoA heuristic,100,75,0.007575757575757576,6.0300109907984734e-05,25,299
MMG,100,75,0.007575757575757576,0.0010348998475819826,25,299
SoA heuristic,200,150,0.0037688442211055275,0.00011540018022060394,50,1252
MMG,200,150,0.0037688442211055275,0.003463099943473935,50,1252
SoA heuristic,400,300,0.0018796992481203006,0.0002117999829351902,100,4978
MMG,400,300,0.0018796992481203006,0.01282500009983778,100,4978
SoA heuristic,600,450,0.0012520868113522537,0.0003182000946253538,150,11226
MMG,600,450,0.0012520868113522537,0.027964500011876225,150,11226
SoA heuristic,1000,750,0.0007507507507507507,0.0005721000488847494,250,31191
MMG,1000,750,0.0007507507507507507,0.07535870000720024,250,31191
SoA heuristic,2000,1500,0.00037518759379689845,0.0011323001235723495,500,125154
MMG,2000,1500,0.00037518759379689845,0.2957264999859035,500,125154
SoA heuristic,4000,3000,0.00018754688672168043,0.0026344999205321074,1000,499781
MMG,4000,3000,0.00018754688672168043,1.191397099988535,1000,499781
SoA heuristic,8000,6000,9.376172021502688e-05,0.005891900043934584,2000,2000463
MMG,8000,6000,9.376172021502688e-05,4.871289799921215,2000,2000463
SoA heuristic,20,15,0.039473684210526314,2.1700048819184303e-05,5,14
MMG,20,15,0.039473684210526314,0.0001004999503493309,5,14
SoA heuristic,40,30,0.019230769230769232,2.9999995604157448e-05,10,47
MMG,40,30,0.019230769230769232,0.00024249986745417118,10,47
