name,nodes,edges,density,time,result_set,result_w
SoA heuristic,4000,3000,0.00018754688672168043,0.0024323000106960535,1000,500060
MMG,4000,3000,0.00018754688672168043,1.9632740998640656,1000,500060
SoA heuristic,4020,3015,0.00018661358546902214,0.006140100071206689,1005,505062
MMG,4020,3015,0.00018661358546902214,1.8750095998402685,1005,505062
SoA heuristic,4040,3030,0.00018568952711067095,0.0035884000826627016,1010,509284
MMG,4040,3030,0.00018568952711067095,1.8896180000156164,1010,509284
SoA heuristic,4080,3060,0.00018386859524393233,0.03734249994158745,1020,520029
MMG,4080,3060,0.00018386859524393233,2.012445000000298,1020,520029
SoA heuristic,4120,3090,0.0001820830298616169,0.006974799791350961,1030,529789
MMG,4120,3090,0.0001820830298616169,2.2646459001116455,1030,529789
SoA heuristic,4200,3150,0.00017861395570373899,0.006170199951156974,1050,551047
MMG,4200,3150,0.00017861395570373899,1.9851699001155794,1050,551047
SoA heuristic,4240,3180,0.00017692852087756547,0.006474699825048447,1060,561463
MMG,4240,3180,0.00017692852087756547,2.0624951000791043,1060,561463
SoA heuristic,4400,3300,0.00017049329393043874,0.0024975999258458614,1100,606373
MMG,4400,3300,0.00017049329393043874,2.250723300036043,1100,606373
SoA heuristic,4600,3450,0.00016307893020221786,0.0041970000602304935,1150,662524
MMG,4600,3450,0.00016307893020221786,2.211093499790877,1150,662524
SoA heuristic,4000,3000,0.00018754688672168043,0.0066633999813348055,1000,500620
MMG,4000,3000,0.00018754688672168043,1.6252717999741435,1000,500620
SoA heuristic,4020,3015,0.00018661358546902214,0.005172800039872527,1005,505372
MMG,4020,3015,0.00018661358546902214,1.709604199975729,1005,505372
SoA heuristic,4040,3030,0.00018568952711067095,0.002211800077930093,1010,510074
MMG,4040,3030,0.00018568952711067095,1.798689200077206,1010,510074
SoA heuristic,4080,3060,0.00018386859524393233,0.007873599883168936,1020,520452
MMG,4080,3060,0.00018386859524393233,1.8276547999121249,1020,520452
