name,nodes,edges,density,time,result_set,result_w
SoA heuristic,20,15,0.039473684210526314,2.010003663599491e-05,5,13
MMG,20,15,0.039473684210526314,9.310012683272362e-05,5,13
SoA heuristic,40,30,0.019230769230769232,2.9799994081258774e-05,10,19
MMG,40,30,0.019230769230769232,0.00024030008353292942,10,19
SoA heuristic,100,75,0.007575757575757576,6.029987707734108e-05,25,48
MMG,100,75,0.007575757575757576,0.0009492000099271536,25,48
SoA heuristic,200,150,0.0037688442211055275,0.00011070002801716328,50,118
MMG,200,150,0.0037688442211055275,0.0034094001166522503,50,118
SoA heuristic,400,300,0.0018796992481203006,0.00020160013809800148,100,201
MMG,400,300,0.0018796992481203006,0.01246170001104474,100,201
SoA heuristic,600,450,0.0012520868113522537,0.00029479991644620895,150,276
MMG,600,450,0.0012520868113522537,0.028644099831581116,150,276
SoA heuristic,1000,750,0.0007507507507507507,0.0004926999099552631,250,540
MMG,1000,750,0.0007507507507507507,0.07415749994106591,250,540
SoA heuristic,2000,1500,0.00037518759379689845,0.0010683999862521887,500,1022
MMG,2000,1500,0.00037518759379689845,0.2839411001186818,500,1022
SoA heuristic,4000,3000,0.00018754688672168043,0.03192560002207756,1000,1960
MMG,4000,3000,0.00018754688672168043,1.1971193000208586,1000,1960
SoA heuristic,8000,6000,9.376172021502688e-05,0.033873300068080425,2000,3918
MMG,8000,6000,9.376172021502688e-05,4.838295300025493,2000,3918
SoA heuristic,20,15,0.039473684210526314,2.059992402791977e-05,5,11
MMG,20,15,0.039473684210526314,9.75998118519783e-05,5,11
SoA heuristic,40,30,0.019230769230769232,3.0800001695752144e-05,10,19
MMG,40,30,0.019230769230769232,0.00023790006525814533,10,19
SoA heuristic,100,75,0.007575757575757576,6.230012513697147e-05,25,46
MMG,100,75,0.007575757575757576,0.0009371000342071056,25,46
SoA heuristic,200,150,0.0037688442211055275,0.00010720011778175831,50,110
MMG,200,150,0.0037688442211055275,0.0034425000194460154,50,110
SoA heuristic,400,300,0.0018796992481203006,0.0002210000529885292,100,221
MMG,400,300,0.0018796992481203006,0.012739400146529078,100,221
SoA heuristic,600,450,0.0012520868113522537,0.0003241999074816704,150,305
MMG,600,450,0.0012520868113522537,0.027922699926421046,150,305
SoA heuristic,1000,750,0.0007507507507507507,0.0005129000637680292,250,510
MMG,1000,750,0.0007507507507507507,0.07476560003124177,250,510
SoA heuristic,2000,1500,0.00037518759379689845,0.0012351998593658209,500,1040
MMG,2000,1500,0.00037518759379689845,0.2922598000150174,500,1040
SoA heuristic,4000,3000,0.00018754688672168043,0.002769300015643239,1000,1992
MMG,4000,3000,0.00018754688672168043,1.1411778000183403,1000,1992
SoA heuristic,8000,6000,9.376172021502688e-05,0.0050230000633746386,2000,3988
MMG,8000,6000,9.376172021502688e-05,4.775435900082812,2000,3988
SoA heuristic,20,15,0.039473684210526314,1.910002902150154e-05,5,10
MMG,20,15,0.039473684210526314,9.369989857077599e-05,5,10
SoA heuristic,40,30,0.019230769230769232,3.400002606213093e-05,10,22
MMG,40,30,0.019230769230769232,0.00024710013531148434,10,22
SoA heuristic,100,75,0.007575757575757576,5.540018901228905e-05,25,54
MMG,100,75,0.007575757575757576,0.0009178000036627054,25,54
SoA heuristic,200,150,0.0037688442211055275,0.00010529998689889908,50,101
MMG,200,150,0.0037688442211055275,0.0033285999670624733,50,101
SoA heuristic,400,300,0.0018796992481203006,0.00020810007117688656,100,208
MMG,400,300,0.0018796992481203006,0.012635700171813369,100,208
SoA heuristic,600,450,0.0012520868113522537,0.0003106999211013317,150,319
MMG,600,450,0.0012520868113522537,0.027274300111457705,150,319
SoA heuristic,1000,750,0.0007507507507507507,0.0004980999510735273,250,438
MMG,1000,750,0.0007507507507507507,0.07385519985109568,250,438
SoA heuristic,2000,1500,0.00037518759379689845,0.0010777998249977827,500,1027
MMG,2000,1500,0.00037518759379689845,0.29272729996591806,500,1027
SoA heuristic,4000,3000,0.00018754688672168043,0.019224500050768256,1000,1999
MMG,4000,3000,0.00018754688672168043,1.1941762000788003,1000,1999
SoA heuristic,8000,6000,9.376172021502688e-05,0.006214699940755963,2000,4021
MMG,8000,6000,9.376172021502688e-05,6.533953499980271,2000,4021
SoA heuristic,20,15,0.039473684210526314,2.210005186498165e-05,5,13
MMG,20,15,0.039473684210526314,0.00010720011778175831,5,13
SoA heuristic,40,30,0.019230769230769232,2.9299873858690262e-05,10,16
MMG,40,30,0.019230769230769232,0.00022739986889064312,10,16
SoA heuristic,100,75,0.007575757575757576,0.00011990009807050228,25,39
MMG,100,75,0.007575757575757576,0.002160100033506751,25,39
SoA heuristic,200,150,0.0037688442211055275,9.749992750585079e-05,50,98
MMG,200,150,0.0037688442211055275,0.005894799949601293,50,98
SoA heuristic,400,300,0.0018796992481203006,0.000179600203409791,100,221
MMG,400,300,0.0018796992481203006,0.01680300012230873,100,221
SoA heuristic,600,450,0.0012520868113522537,0.0008006000425666571,150,292
MMG,600,450,0.0012520868113522537,0.06889820005744696,150,292
SoA heuristic,1000,750,0.0007507507507507507,0.0014504999853670597,250,490
MMG,1000,750,0.0007507507507507507,0.14034199994057417,250,490
SoA heuristic,2000,1500,0.00037518759379689845,0.0021100000012665987,500,976
MMG,2000,1500,0.00037518759379689845,0.4667763998731971,500,976
SoA heuristic,4000,3000,0.00018754688672168043,0.0024296999908983707,1000,2025
MMG,4000,3000,0.00018754688672168043,2.0489036000799388,1000,2025
SoA heuristic,8000,6000,9.376172021502688e-05,0.01493750000372529,2000,4026
MMG,8000,6000,9.376172021502688e-05,8.009696200024337,2000,4026
SoA heuristic,20,15,0.039473684210526314,2.019992098212242e-05,5,9
MMG,20,15,0.039473684210526314,9.540002793073654e-05,5,9
SoA heuristic,40,30,0.019230769230769232,3.96000687032938e-05,10,22
MMG,40,30,0.019230769230769232,0.00031889998354017735,10,22
SoA heuristic,100,75,0.007575757575757576,0.00015199999324977398,25,43
MMG,100,75,0.007575757575757576,0.002574299927800894,25,43
SoA heuristic,200,150,0.0037688442211055275,9.50000248849392e-05,50,95
MMG,200,150,0.0037688442211055275,0.0030405998695641756,50,95
SoA heuristic,400,300,0.0018796992481203006,0.00018030009232461452,100,211
MMG,400,300,0.0018796992481203006,0.012021900154650211,100,211
SoA heuristic,600,450,0.0012520868113522537,0.0008640999440103769,150,296
MMG,600,450,0.0012520868113522537,0.05920190014876425,150,296
SoA heuristic,1000,750,0.0007507507507507507,0.0011935001239180565,250,467
MMG,1000,750,0.0007507507507507507,0.109526899876073,250,467
SoA heuristic,2000,1500,0.00037518759379689845,0.001636300003156066,500,986
MMG,2000,1500,0.00037518759379689845,0.4113209000788629,500,986
SoA heuristic,4000,3000,0.00018754688672168043,0.03164809988811612,1000,1986
MMG,4000,3000,0.00018754688672168043,1.6548627000302076,1000,1986
SoA heuristic,8000,6000,9.376172021502688e-05,0.013174900086596608,2000,3982
MMG,8000,6000,9.376172021502688e-05,7.890499500092119,2000,3982
SoA heuristic,20,15,0.039473684210526314,1.910002902150154e-05,5,10
MMG,20,15,0.039473684210526314,8.979998528957367e-05,5,10
SoA heuristic,40,30,0.019230769230769232,2.869986928999424e-05,10,20
MMG,40,30,0.019230769230769232,0.00022419984452426434,10,20
SoA heuristic,100,75,0.007575757575757576,0.00016050017438828945,25,50
MMG,100,75,0.007575757575757576,0.0026633997913450003,25,50
SoA heuristic,200,150,0.0037688442211055275,0.0004383998457342386,50,91
MMG,200,150,0.0037688442211055275,0.009610099950805306,50,91
SoA heuristic,400,300,0.0018796992481203006,0.0005266000516712666,100,196
MMG,400,300,0.0018796992481203006,0.01979679986834526,100,196
SoA heuristic,600,450,0.0012520868113522537,0.00028200005181133747,150,277
MMG,600,450,0.0012520868113522537,0.035135499900206923,150,277
SoA heuristic,1000,750,0.0007507507507507507,0.0011964000295847654,250,508
MMG,1000,750,0.0007507507507507507,0.1650402001105249,250,508
SoA heuristic,2000,1500,0.00037518759379689845,0.001158999977633357,500,975
MMG,2000,1500,0.00037518759379689845,0.45094799995422363,500,975
SoA heuristic,4000,3000,0.00018754688672168043,0.004429400200024247,1000,2078
MMG,4000,3000,0.00018754688672168043,2.0026012000162154,1000,2078
SoA heuristic,8000,6000,9.376172021502688e-05,0.00894780014641583,2000,3923
MMG,8000,6000,9.376172021502688e-05,7.893770499853417,2000,3923
SoA heuristic,20,15,0.039473684210526314,2.5799963623285294e-05,5,5
MMG,20,15,0.039473684210526314,0.00012780004180967808,5,5
SoA heuristic,40,30,0.019230769230769232,2.7999980375170708e-05,10,20
MMG,40,30,0.019230769230769232,0.0002196000423282385,10,20
SoA heuristic,100,75,0.007575757575757576,9.569991379976273e-05,25,40
MMG,100,75,0.007575757575757576,0.0013751001097261906,25,40
SoA heuristic,200,150,0.0037688442211055275,0.0002921000123023987,50,93
MMG,200,150,0.0037688442211055275,0.007970700040459633,50,93
SoA heuristic,400,300,0.0018796992481203006,0.0002006001304835081,100,186
MMG,400,300,0.0018796992481203006,0.011268400121480227,100,186
SoA heuristic,600,450,0.0012520868113522537,0.0002666001673787832,150,279
MMG,600,450,0.0012520868113522537,0.0509470000397414,150,279
SoA heuristic,1000,750,0.0007507507507507507,0.0012932000681757927,250,495
MMG,1000,750,0.0007507507507507507,0.1286955000832677,250,495
SoA heuristic,2000,1500,0.00037518759379689845,0.0015815000515431166,500,995
MMG,2000,1500,0.00037518759379689845,0.4539990001358092,500,995
SoA heuristic,4000,3000,0.00018754688672168043,0.005610699998214841,1000,1866
MMG,4000,3000,0.00018754688672168043,2.013653399888426,1000,1866
SoA heuristic,8000,6000,9.376172021502688e-05,0.006799000082537532,2000,3995
MMG,8000,6000,9.376172021502688e-05,7.201544200070202,2000,3995
SoA heuristic,20,15,0.039473684210526314,1.8700025975704193e-05,5,12
MMG,20,15,0.039473684210526314,0.00010329997166991234,5,12
SoA heuristic,40,30,0.019230769230769232,8.369982242584229e-05,10,20
MMG,40,30,0.019230769230769232,0.0006936001591384411,10,20
SoA heuristic,100,75,0.007575757575757576,0.00014479993842542171,25,40
MMG,100,75,0.007575757575757576,0.0024323000106960535,25,40
SoA heuristic,200,150,0.0037688442211055275,0.00011339993216097355,50,93
MMG,200,150,0.0037688442211055275,0.0032687000930309296,50,93
SoA heuristic,400,300,0.0018796992481203006,0.00018710014410316944,100,186
MMG,400,300,0.0018796992481203006,0.017824700102210045,100,186
SoA heuristic,600,450,0.0012520868113522537,0.0009449999779462814,150,298
MMG,600,450,0.0012520868113522537,0.06033680005930364,150,298
SoA heuristic,1000,750,0.0007507507507507507,0.00044320011511445045,250,541
MMG,1000,750,0.0007507507507507507,0.09717740002088249,250,541
SoA heuristic,2000,1500,0.00037518759379689845,0.001198100158944726,500,1017
MMG,2000,1500,0.00037518759379689845,0.5069486999418586,500,1017
SoA heuristic,4000,3000,0.00018754688672168043,0.003235100070014596,1000,1945
MMG,4000,3000,0.00018754688672168043,1.7831184999085963,1000,1945
SoA heuristic,8000,6000,9.376172021502688e-05,0.008882800117135048,2000,4116
MMG,8000,6000,9.376172021502688e-05,7.874558300012723,2000,4116
SoA heuristic,20,15,0.039473684210526314,3.269989974796772e-05,5,10
MMG,20,15,0.039473684210526314,0.0001898000482469797,5,10
SoA heuristic,40,30,0.019230769230769232,4.42001037299633e-05,10,16
MMG,40,30,0.019230769230769232,0.0002862000837922096,10,16
SoA heuristic,100,75,0.007575757575757576,5.469983443617821e-05,25,50
MMG,100,75,0.007575757575757576,0.0009182000067085028,25,50
SoA heuristic,200,150,0.0037688442211055275,0.0002872999757528305,50,92
MMG,200,150,0.0037688442211055275,0.005752000026404858,50,92
SoA heuristic,400,300,0.0018796992481203006,0.0005636999849230051,100,185
MMG,400,300,0.0018796992481203006,0.01807969994843006,100,185
SoA heuristic,600,450,0.0012520868113522537,0.0002652001567184925,150,289
MMG,600,450,0.0012520868113522537,0.025477400049567223,150,289
SoA heuristic,1000,750,0.0007507507507507507,0.000488300109282136,250,462
MMG,1000,750,0.0007507507507507507,0.08265180001035333,250,462
SoA heuristic,2000,1500,0.00037518759379689845,0.001516199903562665,500,1042
MMG,2000,1500,0.00037518759379689845,0.48367780004628,500,1042
SoA heuristic,4000,3000,0.00018754688672168043,0.020312299951910973,1000,2019
MMG,4000,3000,0.00018754688672168043,1.7635794000234455,1000,2019
SoA heuristic,8000,6000,9.376172021502688e-05,0.05811399989761412,2000,4169
MMG,8000,6000,9.376172021502688e-05,7.807891300180927,2000,4169
SoA heuristic,20,15,0.039473684210526314,5.859998054802418e-05,5,9
MMG,20,15,0.039473684210526314,0.00031509995460510254,5,9
SoA heuristic,40,30,0.019230769230769232,4.520011134445667e-05,10,25
MMG,40,30,0.019230769230769232,0.00026800017803907394,10,25
SoA heuristic,100,75,0.007575757575757576,5.5900076404213905e-05,25,51
MMG,100,75,0.007575757575757576,0.0009151999838650227,25,51
SoA heuristic,200,150,0.0037688442211055275,0.0003659999929368496,50,83
MMG,200,150,0.0037688442211055275,0.0130559999961406,50,83
SoA heuristic,400,300,0.0018796992481203006,0.0001821001060307026,100,174
MMG,400,300,0.0018796992481203006,0.014308700105175376,100,174
SoA heuristic,600,450,0.0012520868113522537,0.0002882999833673239,150,258
MMG,600,450,0.0012520868113522537,0.028739199973642826,150,258
SoA heuristic,1000,750,0.0007507507507507507,0.0013218000531196594,250,483
MMG,1000,750,0.0007507507507507507,0.12141330004669726,250,483
SoA heuristic,2000,1500,0.00037518759379689845,0.0015281999949365854,500,1023
MMG,2000,1500,0.00037518759379689845,0.48156649991869926,500,1023
SoA heuristic,4000,3000,0.00018754688672168043,0.045095899840816855,1000,1945
MMG,4000,3000,0.00018754688672168043,1.8828498998191208,1000,1945
SoA heuristic,8000,6000,9.376172021502688e-05,0.05831829993985593,2000,3904
MMG,8000,6000,9.376172021502688e-05,7.925212000031024,2000,3904
SoA heuristic,20,15,0.039473684210526314,5.439994856715202e-05,5,14
MMG,20,15,0.039473684210526314,0.0002710998523980379,5,14
SoA heuristic,40,30,0.019230769230769232,3.6400044336915016e-05,10,16
MMG,40,30,0.019230769230769232,0.00030259997583925724,10,16
SoA heuristic,100,75,0.007575757575757576,5.600019358098507e-05,25,47
MMG,100,75,0.007575757575757576,0.0009188000112771988,25,47
SoA heuristic,200,150,0.0037688442211055275,9.789993055164814e-05,50,105
MMG,200,150,0.0037688442211055275,0.007274300092831254,50,105
SoA heuristic,400,300,0.0018796992481203006,0.0005395999178290367,100,210
MMG,400,300,0.0018796992481203006,0.020518400007858872,100,210
SoA heuristic,600,450,0.0012520868113522537,0.0002661999315023422,150,319
MMG,600,450,0.0012520868113522537,0.028680399991571903,150,319
SoA heuristic,1000,750,0.0007507507507507507,0.0005032001063227654,250,520
MMG,1000,750,0.0007507507507507507,0.16037100018002093,250,520
SoA heuristic,2000,1500,0.00037518759379689845,0.0029682000167667866,500,1040
MMG,2000,1500,0.00037518759379689845,0.5011964999139309,500,1040
SoA heuristic,4000,3000,0.00018754688672168043,0.002022000029683113,1000,2124
MMG,4000,3000,0.00018754688672168043,1.7694969999138266,1000,2124
SoA heuristic,8000,6000,9.376172021502688e-05,0.0058991999831050634,2000,3981
MMG,8000,6000,9.376172021502688e-05,7.6565521999727935,2000,3981
SoA heuristic,20,15,0.039473684210526314,2.2999942302703857e-05,5,13
MMG,20,15,0.039473684210526314,0.00011090002954006195,5,13
SoA heuristic,40,30,0.019230769230769232,2.6499852538108826e-05,10,31
MMG,40,30,0.019230769230769232,0.00021869991905987263,10,31
SoA heuristic,100,75,0.007575757575757576,5.410006269812584e-05,25,39
MMG,100,75,0.007575757575757576,0.0009278999641537666,25,39
SoA heuristic,200,150,0.0037688442211055275,0.00017650006338953972,50,111
MMG,200,150,0.0037688442211055275,0.0039057000540196896,50,111
SoA heuristic,400,300,0.0018796992481203006,0.0003714000340551138,100,215
MMG,400,300,0.0018796992481203006,0.03253530012443662,100,215
SoA heuristic,600,450,0.0012520868113522537,0.0007786999922245741,150,296
MMG,600,450,0.0012520868113522537,0.0480895999353379,150,296
SoA heuristic,1000,750,0.0007507507507507507,0.0011662999168038368,250,504
MMG,1000,750,0.0007507507507507507,0.12498979992233217,250,504
SoA heuristic,2000,1500,0.00037518759379689845,0.017065400024876,500,994
MMG,2000,1500,0.00037518759379689845,0.4378611999563873,500,994
SoA heuristic,4000,3000,0.00018754688672168043,0.04851380013860762,1000,1991
MMG,4000,3000,0.00018754688672168043,1.8662779999431223,1000,1991
SoA heuristic,8000,6000,9.376172021502688e-05,0.00856459978967905,2000,3896
MMG,8000,6000,9.376172021502688e-05,7.881189200095832,2000,3896
SoA heuristic,20,15,0.039473684210526314,5.270005203783512e-05,5,8
MMG,20,15,0.039473684210526314,0.0002758000046014786,5,8
SoA heuristic,40,30,0.019230769230769232,3.6499928683042526e-05,10,17
MMG,40,30,0.019230769230769232,0.00030429987236857414,10,17
SoA heuristic,100,75,0.007575757575757576,5.440018139779568e-05,25,53
MMG,100,75,0.007575757575757576,0.0009247998241335154,25,53
SoA heuristic,200,150,0.0037688442211055275,0.00029690004885196686,50,97
MMG,200,150,0.0037688442211055275,0.009300899924710393,50,97
