name,nodes,edges,density,time,result_set,result_w
SoA heuristic,4000,3000,0.00018754688672168043,0.0051679001189768314,1000,1985
MMG,4000,3000,0.00018754688672168043,1.902526100166142,1000,1985
SoA heuristic,4020,3015,0.00018661358546902214,0.007159399800002575,1005,2040
MMG,4020,3015,0.00018661358546902214,1.7919411000330001,1005,2040
SoA heuristic,4040,3030,0.00018568952711067095,0.0026656000409275293,1010,1999
MMG,4040,3030,0.00018568952711067095,2.038051800103858,1010,1999
SoA heuristic,4080,3060,0.00018386859524393233,0.006634399993345141,1020,2022
MMG,4080,3060,0.00018386859524393233,1.840775600168854,1020,2022
SoA heuristic,4120,3090,0.0001820830298616169,0.005996400024741888,1030,2021
MMG,4120,3090,0.0001820830298616169,2.095576199935749,1030,2021
SoA heuristic,4200,3150,0.00017861395570373899,0.0026171000208705664,1050,2103
MMG,4200,3150,0.00017861395570373899,2.0839811000041664,1050,2103
SoA heuristic,4240,3180,0.00017692852087756547,0.0022141002118587494,1060,2099
MMG,4240,3180,0.00017692852087756547,2.2789602000266314,1060,2099
SoA heuristic,4400,3300,0.00017049329393043874,0.0027905998285859823,1100,2252
MMG,4400,3300,0.00017049329393043874,2.188392800046131,1100,2252
SoA heuristic,4600,3450,0.00016307893020221786,0.005199099890887737,1150,2276
MMG,4600,3450,0.00016307893020221786,2.2994723001029342,1150,2276
SoA heuristic,4000,3000,0.00018754688672168043,0.002311999909579754,1000,1991
MMG,4000,3000,0.00018754688672168043,1.1985160999465734,1000,1991
SoA heuristic,4020,3015,0.00018661358546902214,0.002303000073879957,1005,1991
MMG,4020,3015,0.00018661358546902214,1.2166875000111759,1005,1991
SoA heuristic,4040,3030,0.00018568952711067095,0.002448400016874075,1010,1924
MMG,4040,3030,0.00018568952711067095,1.2025103000923991,1010,1924
SoA heuristic,4080,3060,0.00018386859524393233,0.002714300062507391,1020,1922
MMG,4080,3060,0.00018386859524393233,1.3471566000953317,1020,1922
SoA heuristic,4120,3090,0.0001820830298616169,0.0021957000717520714,1030,2024
MMG,4120,3090,0.0001820830298616169,1.9076876998879015,1030,2024
SoA heuristic,4200,3150,0.00017861395570373899,0.00500490004196763,1050,2045
MMG,4200,3150,0.00017861395570373899,2.185491600073874,1050,2045
SoA heuristic,4240,3180,0.00017692852087756547,0.006833500228822231,1060,2087
MMG,4240,3180,0.00017692852087756547,2.061881799949333,1060,2087
SoA heuristic,4400,3300,0.00017049329393043874,0.0023113000206649303,1100,2162
MMG,4400,3300,0.00017049329393043874,2.225219300016761,1100,2162
SoA heuristic,4600,3450,0.00016307893020221786,0.007896200055256486,1150,2236
MMG,4600,3450,0.00016307893020221786,2.565312100108713,1150,2236
SoA heuristic,4000,3000,0.00018754688672168043,0.005264900159090757,1000,2065
MMG,4000,3000,0.00018754688672168043,1.6065454999916255,1000,2065
SoA heuristic,4020,3015,0.00018661358546902214,0.003644700162112713,1005,2037
MMG,4020,3015,0.00018661358546902214,1.6697380000259727,1005,2037
SoA heuristic,4040,3030,0.00018568952711067095,0.0024212999269366264,1010,1957
MMG,4040,3030,0.00018568952711067095,1.831716899992898,1010,1957
SoA heuristic,4080,3060,0.00018386859524393233,0.007509500021114945,1020,2017
MMG,4080,3060,0.00018386859524393233,2.100184899987653,1020,2017
SoA heuristic,4120,3090,0.0001820830298616169,0.0021297999192029238,1030,1982
MMG,4120,3090,0.0001820830298616169,1.895382900023833,1030,1982
SoA heuristic,4200,3150,0.00017861395570373899,0.0049056001007556915,1050,2169
MMG,4200,3150,0.00017861395570373899,2.046646799892187,1050,2169
SoA heuristic,4240,3180,0.00017692852087756547,0.002715999959036708,1060,2150
MMG,4240,3180,0.00017692852087756547,2.0626586999278516,1060,2150
SoA heuristic,4400,3300,0.00017049329393043874,0.006879799999296665,1100,2132
MMG,4400,3300,0.00017049329393043874,2.2469504999462515,1100,2132
SoA heuristic,4600,3450,0.00016307893020221786,0.004803200019523501,1150,2293
MMG,4600,3450,0.00016307893020221786,2.254537999862805,1150,2293
SoA heuristic,4000,3000,0.00018754688672168043,0.0023773000575602055,1000,1899
MMG,4000,3000,0.00018754688672168043,2.0755927998106927,1000,1899
