name,nodes,edges,density,time,result_set,result_w
SoA heuristic,20,15,0.039473684210526314,3.639981150627136e-05,5,11.69087288801844
MMG,20,15,0.039473684210526314,9.729992598295212e-05,5,11.69087288801844
SoA heuristic,40,30,0.019230769230769232,3.50000336766243e-05,10,8.061280320447871
MMG,40,30,0.019230769230769232,0.00022629997693002224,10,8.061280320447871
SoA heuristic,100,75,0.007575757575757576,6.200000643730164e-05,25,37.540882104080545
MMG,100,75,0.007575757575757576,0.000928299967199564,25,37.540882104080545
SoA heuristic,200,150,0.0037688442211055275,0.00010719988495111465,50,52.01011112702619
MMG,200,150,0.0037688442211055275,0.0032918998040258884,50,52.01011112702619
SoA heuristic,400,300,0.0018796992481203006,0.0002095999661833048,100,156.77438995242542
MMG,400,300,0.0018796992481203006,0.01207659998908639,100,156.77438995242542
SoA heuristic,600,450,0.0012520868113522537,0.00031160004436969757,150,266.5762235988425
MMG,600,450,0.0012520868113522537,0.026783999986946583,150,266.5762235988425
SoA heuristic,1000,750,0.0007507507507507507,0.0005433999467641115,250,397.49934671348257
MMG,1000,750,0.0007507507507507507,0.0718338000588119,250,397.49934671348257
SoA heuristic,2000,1500,0.00037518759379689845,0.0011505000293254852,500,811.4402462692615
MMG,2000,1500,0.00037518759379689845,0.28911130013875663,500,811.4402462692615
SoA heuristic,4000,3000,0.00018754688672168043,0.0026428999844938517,1000,1717.3183978029147
MMG,4000,3000,0.00018754688672168043,1.1533333000261337,1000,1717.3183978029147
SoA heuristic,8000,6000,9.376172021502688e-05,0.005968399811536074,2000,3324.0495686510358
MMG,8000,6000,9.376172021502688e-05,4.4764649998396635,2000,3324.0495686510358
SoA heuristic,20,15,0.039473684210526314,5.2099814638495445e-05,5,7.486325597554373
MMG,20,15,0.039473684210526314,0.00015139998868107796,5,7.486325597554373
SoA heuristic,40,30,0.019230769230769232,0.0001105000264942646,10,23.91140320746445
MMG,40,30,0.019230769230769232,0.0006959999445825815,10,23.91140320746445
