name,nodes,edges,density,time,result_set,result_w
SoA heuristic,4000,3000,0.00018754688672168043,0.0026982000563293695,1000,1639.5137249943307
MMG,4000,3000,0.00018754688672168043,1.137287300080061,1000,1639.5137249943307
SoA heuristic,4020,3015,0.00018661358546902214,0.002423600060865283,1005,1727.3781638405562
MMG,4020,3015,0.00018661358546902214,1.1648407999891788,1005,1727.3781638405562
SoA heuristic,4040,3030,0.00018568952711067095,0.002526399912312627,1010,1655.0656479465904
MMG,4040,3030,0.00018568952711067095,1.164779300102964,1010,1655.0656479465904
SoA heuristic,4080,3060,0.00018386859524393233,0.002377500059083104,1020,1721.5852325263006
MMG,4080,3060,0.00018386859524393233,1.2022412000223994,1020,1721.5852325263006
SoA heuristic,4120,3090,0.0001820830298616169,0.0022531000431627035,1030,1767.0494795992026
MMG,4120,3090,0.0001820830298616169,1.2198910000734031,1030,1767.0494795992026
SoA heuristic,4200,3150,0.00017861395570373899,0.003532199887558818,1050,1762.8691778257735
MMG,4200,3150,0.00017861395570373899,1.318166800076142,1050,1762.8691778257735
SoA heuristic,4240,3180,0.00017692852087756547,0.0024425999727100134,1060,1840.7780106950443
MMG,4240,3180,0.00017692852087756547,1.4769461997784674,1060,1840.7780106950443
SoA heuristic,4400,3300,0.00017049329393043874,0.0026887001004070044,1100,1853.8491945202245
MMG,4400,3300,0.00017049329393043874,1.5354677999857813,1100,1853.8491945202245
SoA heuristic,4600,3450,0.00016307893020221786,0.002479099901393056,1150,1884.5843787391393
MMG,4600,3450,0.00016307893020221786,1.8634941999334842,1150,1884.5843787391393
SoA heuristic,4000,3000,0.00018754688672168043,0.002397000091150403,1000,1640.485905974489
MMG,4000,3000,0.00018754688672168043,1.7491065000649542,1000,1640.485905974489
SoA heuristic,4020,3015,0.00018661358546902214,0.0022193999029695988,1005,1594.2574607493377
MMG,4020,3015,0.00018661358546902214,1.633568000048399,1005,1594.2574607493377
SoA heuristic,4040,3030,0.00018568952711067095,0.002493700012564659,1010,1655.403711871849
MMG,4040,3030,0.00018568952711067095,1.8844662001356483,1010,1655.403711871849
SoA heuristic,4080,3060,0.00018386859524393233,0.006915099918842316,1020,1781.5222924484808
MMG,4080,3060,0.00018386859524393233,1.9543318999931216,1020,1781.5222924484808
SoA heuristic,4120,3090,0.0001820830298616169,0.0025345999747514725,1030,1766.1038294504383
MMG,4120,3090,0.0001820830298616169,2.015798799926415,1030,1766.1038294504383
SoA heuristic,4200,3150,0.00017861395570373899,0.0025901999324560165,1050,1793.2206817829913
MMG,4200,3150,0.00017861395570373899,2.0163637998048216,1050,1793.2206817829913
SoA heuristic,4240,3180,0.00017692852087756547,0.002331000054255128,1060,1693.9804955453724
MMG,4240,3180,0.00017692852087756547,2.019140599993989,1060,1693.9804955453724
SoA heuristic,4400,3300,0.00017049329393043874,0.00862729991786182,1100,1768.6646668630578
MMG,4400,3300,0.00017049329393043874,2.0987535000313073,1100,1768.6646668630578
SoA heuristic,4600,3450,0.00016307893020221786,0.002411800203844905,1150,1774.6739761213169
MMG,4600,3450,0.00016307893020221786,2.0934562999755144,1150,1774.6739761213169
SoA heuristic,4000,3000,0.00018754688672168043,0.0026759998872876167,1000,1635.4916819489958
MMG,4000,3000,0.00018754688672168043,2.0988140001427382,1000,1635.4916819489958
SoA heuristic,4020,3015,0.00018661358546902214,0.0020990001503378153,1005,1686.0058502633854
MMG,4020,3015,0.00018661358546902214,1.9326144999358803,1005,1686.0058502633854
SoA heuristic,4040,3030,0.00018568952711067095,0.0024164000060409307,1010,1635.9520780636074
MMG,4040,3030,0.00018568952711067095,1.8812356998678297,1010,1635.9520780636074
SoA heuristic,4080,3060,0.00018386859524393233,0.0021073000971227884,1020,1679.6470155717188
MMG,4080,3060,0.00018386859524393233,2.009855099953711,1020,1679.6470155717188
SoA heuristic,4120,3090,0.0001820830298616169,0.005953100044280291,1030,1676.3562878705923
MMG,4120,3090,0.0001820830298616169,2.2191717999521643,1030,1676.3562878705923
SoA heuristic,4200,3150,0.00017861395570373899,0.0021687999833375216,1050,1849.1492002940859
MMG,4200,3150,0.00017861395570373899,2.2621464000549167,1050,1849.1492002940859
SoA heuristic,4240,3180,0.00017692852087756547,0.007548700086772442,1060,1772.228405148844
