name,nodes,edges,density,time,result_set,result_w
SoA heuristic,20,15,0.039473684210526314,2.0200153812766075e-05,5,14.784352933956484
MMG,20,15,0.039473684210526314,9.849993512034416e-05,5,14.784352933956484
SoA heuristic,40,30,0.019230769230769232,2.9100105166435242e-05,10,50.81375295028316
MMG,40,30,0.019230769230769232,0.00022879987955093384,10,50.81375295028316
SoA heuristic,100,75,0.007575757575757576,7.500010542571545e-05,25,371.00738223756764
MMG,100,75,0.007575757575757576,0.0009556000586599112,25,371.00738223756764
SoA heuristic,200,150,0.0037688442211055275,0.00010870001278817654,50,1127.7147444606478
MMG,200,150,0.0037688442211055275,0.0034403998870402575,50,1127.7147444606478
SoA heuristic,400,300,0.0018796992481203006,0.00021739979274570942,100,4758.710353230867
MMG,400,300,0.0018796992481203006,0.011430899845436215,100,4758.710353230867
SoA heuristic,600,450,0.0012520868113522537,0.0003013999667018652,150,11374.716583126548
MMG,600,450,0.0012520868113522537,0.02806040016002953,150,11374.716583126548
SoA heuristic,1000,750,0.0007507507507507507,0.0005210000090301037,250,31630.849883965446
MMG,1000,750,0.0007507507507507507,0.07566739991307259,250,31630.849883965446
SoA heuristic,2000,1500,0.00037518759379689845,0.0011025001294910908,500,124196.87000668426
MMG,2000,1500,0.00037518759379689845,0.29880889994092286,500,124196.87000668426
SoA heuristic,4000,3000,0.00018754688672168043,0.002529700053855777,1000,495423.052977417
MMG,4000,3000,0.00018754688672168043,1.229212700156495,1000,495423.052977417
SoA heuristic,8000,6000,9.376172021502688e-05,0.005389500176534057,2000,1958442.4527719936
MMG,8000,6000,9.376172021502688e-05,4.915897099999711,2000,1958442.4527719936
SoA heuristic,20,15,0.039473684210526314,2.150004729628563e-05,5,13.921526167875161
MMG,20,15,0.039473684210526314,9.480002336204052e-05,5,13.921526167875161
SoA heuristic,40,30,0.019230769230769232,3.1899893656373024e-05,10,46.08486140715128
MMG,40,30,0.019230769230769232,0.00024359999224543571,10,46.08486140715128
SoA heuristic,100,75,0.007575757575757576,6.140000186860561e-05,25,296.40153855169405
