name,nodes,edges,density,time,result_set,result_w
SoA heuristic,20,15,0.039473684210526314,1.8999911844730377e-05,5,30
MMG,20,15,0.039473684210526314,9.039998985826969e-05,5,30
SoA heuristic,40,30,0.019230769230769232,2.8300099074840546e-05,10,108
MMG,40,30,0.019230769230769232,0.00021949992515146732,10,108
SoA heuristic,100,75,0.007575757575757576,5.510007031261921e-05,25,646
MMG,100,75,0.007575757575757576,0.0009262000676244497,25,646
SoA heuristic,200,150,0.0037688442211055275,0.00011099991388618946,50,2608
MMG,200,150,0.0037688442211055275,0.003423399990424514,50,2608
SoA heuristic,400,300,0.0018796992481203006,0.00019689998589456081,100,9941
MMG,400,300,0.0018796992481203006,0.012287599965929985,100,9941
SoA heuristic,600,450,0.0012520868113522537,0.0002842999529093504,150,22673
MMG,600,450,0.0012520868113522537,0.0277623999863863,150,22673
SoA heuristic,1000,750,0.0007507507507507507,0.0005435000639408827,250,62396
MMG,1000,750,0.0007507507507507507,0.07604179996997118,250,62396
SoA heuristic,2000,1500,0.00037518759379689845,0.0011264001950621605,500,249444
MMG,2000,1500,0.00037518759379689845,0.2986940999981016,500,249444
SoA heuristic,4000,3000,0.00018754688672168043,0.0025239000096917152,1000,998706
MMG,4000,3000,0.00018754688672168043,1.205949299968779,1000,998706
SoA heuristic,8000,6000,9.376172021502688e-05,0.005090200109407306,2000,4001795
MMG,8000,6000,9.376172021502688e-05,4.828436800045893,2000,4001795
SoA heuristic,20,15,0.039473684210526314,1.950003206729889e-05,5,23
MMG,20,15,0.039473684210526314,9.320001117885113e-05,5,23
SoA heuristic,40,30,0.019230769230769232,3.160000778734684e-05,10,105
MMG,40,30,0.019230769230769232,0.0002454000059515238,10,105
SoA heuristic,100,75,0.007575757575757576,5.519995465874672e-05,25,600
MMG,100,75,0.007575757575757576,0.0009472998790442944,25,600
SoA heuristic,200,150,0.0037688442211055275,0.00011099991388618946,50,2451
MMG,200,150,0.0037688442211055275,0.0034078999888151884,50,2451
SoA heuristic,400,300,0.0018796992481203006,0.00020999996922910213,100,9828
MMG,400,300,0.0018796992481203006,0.012819899944588542,100,9828
SoA heuristic,600,450,0.0012520868113522537,0.00030239997431635857,150,22471
MMG,600,450,0.0012520868113522537,0.02776059997268021,150,22471
SoA heuristic,1000,750,0.0007507507507507507,0.0004909001290798187,250,63253
MMG,1000,750,0.0007507507507507507,0.06789219984784722,250,63253
SoA heuristic,2000,1500,0.00037518759379689845,0.0010989001020789146,500,250139
MMG,2000,1500,0.00037518759379689845,0.2958854001481086,500,250139
SoA heuristic,4000,3000,0.00018754688672168043,0.0021742000244557858,1000,1001076
MMG,4000,3000,0.00018754688672168043,1.1708750000689179,1000,1001076
SoA heuristic,8000,6000,9.376172021502688e-05,0.00523460004478693,2000,3999775
MMG,8000,6000,9.376172021502688e-05,4.754685000050813,2000,3999775
SoA heuristic,20,15,0.039473684210526314,2.2500054910779e-05,5,28
MMG,20,15,0.039473684210526314,0.00012609991244971752,5,28
SoA heuristic,40,30,0.019230769230769232,3.369990736246109e-05,10,94
MMG,40,30,0.019230769230769232,0.00023000012151896954,10,94
SoA heuristic,100,75,0.007575757575757576,5.6499848142266273e-05,25,650
MMG,100,75,0.007575757575757576,0.0009314001072198153,25,650
SoA heuristic,200,150,0.0037688442211055275,0.00010939990170300007,50,2495
MMG,200,150,0.0037688442211055275,0.003421999979764223,50,2495
SoA heuristic,400,300,0.0018796992481203006,0.00020749983377754688,100,9952
MMG,400,300,0.0018796992481203006,0.012590300058946013,100,9952
SoA heuristic,600,450,0.0012520868113522537,0.0003054998815059662,150,22236
MMG,600,450,0.0012520868113522537,0.027921699918806553,150,22236
SoA heuristic,1000,750,0.0007507507507507507,0.0005181999877095222,250,62784
MMG,1000,750,0.0007507507507507507,0.07494399999268353,250,62784
SoA heuristic,2000,1500,0.00037518759379689845,0.0011187999043613672,500,249091
MMG,2000,1500,0.00037518759379689845,0.29565300000831485,500,249091
SoA heuristic,4000,3000,0.00018754688672168043,0.00258089997805655,1000,1001322
MMG,4000,3000,0.00018754688672168043,1.2103412998840213,1000,1001322
SoA heuristic,8000,6000,9.376172021502688e-05,0.005144499940797687,2000,3997395
MMG,8000,6000,9.376172021502688e-05,4.786435700021684,2000,3997395
SoA heuristic,20,15,0.039473684210526314,2.0799925550818443e-05,5,31
MMG,20,15,0.039473684210526314,9.569991379976273e-05,5,31
SoA heuristic,40,30,0.019230769230769232,3.0199997127056122e-05,10,107
MMG,40,30,0.019230769230769232,0.00023079989477992058,10,107
SoA heuristic,100,75,0.007575757575757576,5.8300094678997993e-05,25,625
MMG,100,75,0.007575757575757576,0.0009755000937730074,25,625
SoA heuristic,200,150,0.0037688442211055275,0.00010740011930465698,50,2599
MMG,200,150,0.0037688442211055275,0.003189900191500783,50,2599
SoA heuristic,400,300,0.0018796992481203006,0.00020759995095431805,100,9846
MMG,400,300,0.0018796992481203006,0.013200900051742792,100,9846
SoA heuristic,600,450,0.0012520868113522537,0.00029719993472099304,150,22589
MMG,600,450,0.0012520868113522537,0.02798129990696907,150,22589
SoA heuristic,1000,750,0.0007507507507507507,0.0005125999450683594,250,62380
MMG,1000,750,0.0007507507507507507,0.07569670001976192,250,62380
SoA heuristic,2000,1500,0.00037518759379689845,0.0011036999057978392,500,250373
MMG,2000,1500,0.00037518759379689845,0.29912229999899864,500,250373
SoA heuristic,4000,3000,0.00018754688672168043,0.0021806000731885433,1000,1000001
MMG,4000,3000,0.00018754688672168043,1.1860245999414474,1000,1000001
SoA heuristic,8000,6000,9.376172021502688e-05,0.04334570001810789,2000,3996507
MMG,8000,6000,9.376172021502688e-05,7.443118500057608,2000,3996507
SoA heuristic,20,15,0.039473684210526314,2.650008536875248e-05,5,23
MMG,20,15,0.039473684210526314,0.00012700003571808338,5,23
SoA heuristic,40,30,0.019230769230769232,2.7700094506144524e-05,10,92
MMG,40,30,0.019230769230769232,0.00022210017777979374,10,92
SoA heuristic,100,75,0.007575757575757576,5.560019053518772e-05,25,624
MMG,100,75,0.007575757575757576,0.0009525001514703035,25,624
SoA heuristic,200,150,0.0037688442211055275,9.75998118519783e-05,50,2520
MMG,200,150,0.0037688442211055275,0.003215199802070856,50,2520
SoA heuristic,400,300,0.0018796992481203006,0.00018189987167716026,100,10089
MMG,400,300,0.0018796992481203006,0.01792869996279478,100,10089
SoA heuristic,600,450,0.0012520868113522537,0.0003128999378532171,150,22554
MMG,600,450,0.0012520868113522537,0.038382899947464466,150,22554
SoA heuristic,1000,750,0.0007507507507507507,0.0008135999087244272,250,62391
MMG,1000,750,0.0007507507507507507,0.08736130013130605,250,62391
SoA heuristic,2000,1500,0.00037518759379689845,0.003098800079897046,500,249663
MMG,2000,1500,0.00037518759379689845,0.47341959993354976,500,249663
SoA heuristic,4000,3000,0.00018754688672168043,0.003406000090762973,1000,999152
MMG,4000,3000,0.00018754688672168043,1.7506107999943197,1000,999152
SoA heuristic,8000,6000,9.376172021502688e-05,0.007363300072029233,2000,3998157
MMG,8000,6000,9.376172021502688e-05,6.673507699975744,2000,3998157
SoA heuristic,20,15,0.039473684210526314,2.4099834263324738e-05,5,26
MMG,20,15,0.039473684210526314,0.00010660011321306229,5,26
SoA heuristic,40,30,0.019230769230769232,3.0499882996082306e-05,10,99
MMG,40,30,0.019230769230769232,0.00023539992980659008,10,99
SoA heuristic,100,75,0.007575757575757576,5.460018292069435e-05,25,638
MMG,100,75,0.007575757575757576,0.000946700107306242,25,638
SoA heuristic,200,150,0.0037688442211055275,0.00010240008123219013,50,2486
MMG,200,150,0.0037688442211055275,0.0032812999561429024,50,2486
SoA heuristic,400,300,0.0018796992481203006,0.0001976999919861555,100,10077
MMG,400,300,0.0018796992481203006,0.012438199948519468,100,10077
SoA heuristic,600,450,0.0012520868113522537,0.0002949000336229801,150,22570
MMG,600,450,0.0012520868113522537,0.02743660006672144,150,22570
SoA heuristic,1000,750,0.0007507507507507507,0.000501799862831831,250,62681
MMG,1000,750,0.0007507507507507507,0.07415200001560152,250,62681
SoA heuristic,2000,1500,0.00037518759379689845,0.0010939999483525753,500,249140
MMG,2000,1500,0.00037518759379689845,0.2952322999481112,500,249140
SoA heuristic,4000,3000,0.00018754688672168043,0.002267699921503663,1000,1001029
MMG,4000,3000,0.00018754688672168043,1.1656669001094997,1000,1001029
SoA heuristic,8000,6000,9.376172021502688e-05,0.004316800041124225,2000,4003484
MMG,8000,6000,9.376172021502688e-05,4.725017599994317,2000,4003484
SoA heuristic,20,15,0.039473684210526314,2.1999934688210487e-05,5,25
MMG,20,15,0.039473684210526314,9.75998118519783e-05,5,25
SoA heuristic,40,30,0.019230769230769232,3.2400013878941536e-05,10,91
MMG,40,30,0.019230769230769232,0.0002546999603509903,10,91
SoA heuristic,100,75,0.007575757575757576,6.24998938292265e-05,25,618
MMG,100,75,0.007575757575757576,0.000994799891486764,25,618
SoA heuristic,200,150,0.0037688442211055275,0.00010120007209479809,50,2478
MMG,200,150,0.0037688442211055275,0.003051299834623933,50,2478
SoA heuristic,400,300,0.0018796992481203006,0.000201700022444129,100,9861
MMG,400,300,0.0018796992481203006,0.012661700136959553,100,9861
SoA heuristic,600,450,0.0012520868113522537,0.0002983000595122576,150,22798
MMG,600,450,0.0012520868113522537,0.02716649998910725,150,22798
SoA heuristic,1000,750,0.0007507507507507507,0.0005040999967604876,250,62439
MMG,1000,750,0.0007507507507507507,0.07550540007650852,250,62439
SoA heuristic,2000,1500,0.00037518759379689845,0.0011153998784720898,500,250477
MMG,2000,1500,0.00037518759379689845,0.2968784000258893,500,250477
SoA heuristic,4000,3000,0.00018754688672168043,0.0026436999905854464,1000,999778
MMG,4000,3000,0.00018754688672168043,1.193554300116375,1000,999778
SoA heuristic,8000,6000,9.376172021502688e-05,0.005082699935883284,2000,3999720
MMG,8000,6000,9.376172021502688e-05,4.878826999804005,2000,3999720
SoA heuristic,20,15,0.039473684210526314,2.6999972760677338e-05,5,24
MMG,20,15,0.039473684210526314,8.970010094344616e-05,5,24
SoA heuristic,40,30,0.019230769230769232,2.8799986466765404e-05,10,94
MMG,40,30,0.019230769230769232,0.0002256000880151987,10,94
SoA heuristic,100,75,0.007575757575757576,5.759997293353081e-05,25,596
MMG,100,75,0.007575757575757576,0.0009375999215990305,25,596
SoA heuristic,200,150,0.0037688442211055275,0.00010469998233020306,50,2502
MMG,200,150,0.0037688442211055275,0.0033585999626666307,50,2502
SoA heuristic,400,300,0.0018796992481203006,0.00020050001330673695,100,10138
MMG,400,300,0.0018796992481203006,0.01253549987450242,100,10138
SoA heuristic,600,450,0.0012520868113522537,0.0002988001797348261,150,22517
MMG,600,450,0.0012520868113522537,0.027708500158041716,150,22517
SoA heuristic,1000,750,0.0007507507507507507,0.0004994000773876905,250,62251
MMG,1000,750,0.0007507507507507507,0.07481690007261932,250,62251
SoA heuristic,2000,1500,0.00037518759379689845,0.001142699969932437,500,250190
MMG,2000,1500,0.00037518759379689845,0.2964590999763459,500,250190
SoA heuristic,4000,3000,0.00018754688672168043,0.0021938998252153397,1000,1000357
MMG,4000,3000,0.00018754688672168043,1.1966514000669122,1000,1000357
SoA heuristic,8000,6000,9.376172021502688e-05,0.03296049986965954,2000,3995077
MMG,8000,6000,9.376172021502688e-05,4.84459610003978,2000,3995077
SoA heuristic,20,15,0.039473684210526314,2.9799994081258774e-05,5,24
MMG,20,15,0.039473684210526314,9.660003706812859e-05,5,24
SoA heuristic,40,30,0.019230769230769232,2.8999987989664078e-05,10,104
MMG,40,30,0.019230769230769232,0.0002351999282836914,10,104
SoA heuristic,100,75,0.007575757575757576,5.8499863371253014e-05,25,588
MMG,100,75,0.007575757575757576,0.0009689999278634787,25,588
SoA heuristic,200,150,0.0037688442211055275,0.0001042000949382782,50,2431
MMG,200,150,0.0037688442211055275,0.003239499870687723,50,2431
SoA heuristic,400,300,0.0018796992481203006,0.00020510004833340645,100,10033
MMG,400,300,0.0018796992481203006,0.011724299984052777,100,10033
SoA heuristic,600,450,0.0012520868113522537,0.00030550011433660984,150,22497
