name,nodes,edges,density,time,result_set,result_w
SoA heuristic,4000,3000,0.00018754688672168043,0.006720499834045768,1000,998140
MMG,4000,3000,0.00018754688672168043,1.8742946998681873,1000,998140
SoA heuristic,4020,3015,0.00018661358546902214,0.0022499000187963247,1005,1009459
MMG,4020,3015,0.00018661358546902214,2.0165268999990076,1005,1009459
SoA heuristic,4040,3030,0.00018568952711067095,0.004074099939316511,1010,1020597
MMG,4040,3030,0.00018568952711067095,1.9761912000831217,1010,1020597
SoA heuristic,4080,3060,0.00018386859524393233,0.0024170000106096268,1020,1040204
MMG,4080,3060,0.00018386859524393233,2.15815949998796,1020,1040204
SoA heuristic,4120,3090,0.0001820830298616169,0.00679180002771318,1030,1060532
MMG,4120,3090,0.0001820830298616169,1.9906783001497388,1030,1060532
SoA heuristic,4200,3150,0.00017861395570373899,0.0022555000614374876,1050,1102585
MMG,4200,3150,0.00017861395570373899,2.069188900059089,1050,1102585
SoA heuristic,4240,3180,0.00017692852087756547,0.003131899982690811,1060,1121650
MMG,4240,3180,0.00017692852087756547,2.098499499959871,1060,1121650
SoA heuristic,4400,3300,0.00017049329393043874,0.002636399818584323,1100,1211126
MMG,4400,3300,0.00017049329393043874,2.0466114999726415,1100,1211126
SoA heuristic,4600,3450,0.00016307893020221786,0.002912800060585141,1150,1322159
MMG,4600,3450,0.00016307893020221786,2.2254810999147594,1150,1322159
SoA heuristic,4000,3000,0.00018754688672168043,0.00978569989092648,1000,1000919
MMG,4000,3000,0.00018754688672168043,1.9600740000605583,1000,1000919
SoA heuristic,4020,3015,0.00018661358546902214,0.007246499881148338,1005,1010141
MMG,4020,3015,0.00018661358546902214,1.9723023001570255,1005,1010141
SoA heuristic,4040,3030,0.00018568952711067095,0.004476500209420919,1010,1020635
MMG,4040,3030,0.00018568952711067095,1.9382702000439167,1010,1020635
SoA heuristic,4080,3060,0.00018386859524393233,0.002203600015491247,1020,1039556
MMG,4080,3060,0.00018386859524393233,2.018141800072044,1020,1039556
SoA heuristic,4120,3090,0.0001820830298616169,0.003386600175872445,1030,1062197
MMG,4120,3090,0.0001820830298616169,2.046492400113493,1030,1062197
SoA heuristic,4200,3150,0.00017861395570373899,0.0027002000715583563,1050,1101861
MMG,4200,3150,0.00017861395570373899,2.118143199943006,1050,1101861
