name,nodes,edges,density,time,result_set,result_w
SoA heuristic,20,15,0.039473684210526314,2.9799994081258774e-05,5,9.390588147395185
MMG,20,15,0.039473684210526314,0.000246299896389246,5,9.390588147395185
SoA heuristic,40,30,0.019230769230769232,5.21000474691391e-05,10,47.35583562547756
MMG,40,30,0.019230769230769232,0.0002164999023079872,10,47.35583562547756
SoA heuristic,100,75,0.007575757575757576,0.00016850000247359276,25,296.11719225764926
MMG,100,75,0.007575757575757576,0.0010092000011354685,25,296.11719225764926
SoA heuristic,200,150,0.0037688442211055275,0.00010689999908208847,50,1222.1411867357403
MMG,200,150,0.0037688442211055275,0.003098800079897046,50,1222.1411867357403
SoA heuristic,400,300,0.0018796992481203006,0.00019400008022785187,100,4897.922874887981
MMG,400,300,0.0018796992481203006,0.015499700093641877,100,4897.922874887981
SoA heuristic,600,450,0.0012520868113522537,0.0002810000441968441,150,11364.199375280235
MMG,600,450,0.0012520868113522537,0.029130700044333935,150,11364.199375280235
SoA heuristic,1000,750,0.0007507507507507507,0.0005347998812794685,250,31372.309638515355
MMG,1000,750,0.0007507507507507507,0.1437800999265164,250,31372.309638515355
SoA heuristic,2000,1500,0.00037518759379689845,0.0033704000525176525,500,125201.47893064773
MMG,2000,1500,0.00037518759379689845,0.49339810013771057,500,125201.47893064773
SoA heuristic,4000,3000,0.00018754688672168043,0.005500399973243475,1000,498147.05640151654
MMG,4000,3000,0.00018754688672168043,1.8324336998630315,1000,498147.05640151654
SoA heuristic,8000,6000,9.376172021502688e-05,0.041085500037297606,2000,2000930.7605191702
MMG,8000,6000,9.376172021502688e-05,7.694958199979737,2000,2000930.7605191702
SoA heuristic,20,15,0.039473684210526314,7.500010542571545e-05,5,9.399485895769908
MMG,20,15,0.039473684210526314,0.0002584001049399376,5,9.399485895769908
SoA heuristic,40,30,0.019230769230769232,9.300000965595245e-05,10,60.059436786133524
MMG,40,30,0.019230769230769232,0.0006524000782519579,10,60.059436786133524
SoA heuristic,100,75,0.007575757575757576,0.0001993000041693449,25,304.9335456040054
MMG,100,75,0.007575757575757576,0.002777499845251441,25,304.9335456040054
SoA heuristic,200,150,0.0037688442211055275,0.0003082999028265476,50,1313.8272487402915
MMG,200,150,0.0037688442211055275,0.007674199994653463,50,1313.8272487402915
SoA heuristic,400,300,0.0018796992481203006,0.0005477000959217548,100,5072.466936406742
MMG,400,300,0.0018796992481203006,0.025127100059762597,100,5072.466936406742
SoA heuristic,600,450,0.0012520868113522537,0.00046989996917545795,150,11392.106444925517
MMG,600,450,0.0012520868113522537,0.03762539988383651,150,11392.106444925517
SoA heuristic,1000,750,0.0007507507507507507,0.0009797001257538795,250,31265.34572095571
MMG,1000,750,0.0007507507507507507,0.08652080013416708,250,31265.34572095571
SoA heuristic,2000,1500,0.00037518759379689845,0.0012301001697778702,500,125090.77821997783
MMG,2000,1500,0.00037518759379689845,0.46081860014237463,500,125090.77821997783
SoA heuristic,4000,3000,0.00018754688672168043,0.005688000004738569,1000,498304.22416116216
MMG,4000,3000,0.00018754688672168043,1.97925140010193,1000,498304.22416116216
