name,nodes,edges,density,time,result_set,result_w
SoA heuristic,4000,3000,0.00018754688672168043,0.0025206999853253365,1000,500101.3832148542
MMG,4000,3000,0.00018754688672168043,1.9849620999302715,1000,500101.3832148542
SoA heuristic,4020,3015,0.00018661358546902214,0.002184599870815873,1005,504279.6968544285
MMG,4020,3015,0.00018661358546902214,1.8422710001468658,1005,504279.6968544285
SoA heuristic,4040,3030,0.00018568952711067095,0.005541299935430288,1010,510610.8914684574
MMG,4040,3030,0.00018568952711067095,1.8970248999539763,1010,510610.8914684574
SoA heuristic,4080,3060,0.00018386859524393233,0.0021742000244557858,1020,520304.93986140366
MMG,4080,3060,0.00018386859524393233,1.9981164999771863,1020,520304.93986140366
SoA heuristic,4120,3090,0.0001820830298616169,0.002499300055205822,1030,530312.2006818175
MMG,4120,3090,0.0001820830298616169,1.9928842999506742,1030,530312.2006818175
SoA heuristic,4200,3150,0.00017861395570373899,0.004247299861162901,1050,550571.6521632763
MMG,4200,3150,0.00017861395570373899,2.1823911000974476,1050,550571.6521632763
SoA heuristic,4240,3180,0.00017692852087756547,0.0025865999050438404,1060,562422.3440028224
MMG,4240,3180,0.00017692852087756547,2.117938600014895,1060,562422.3440028224
SoA heuristic,4400,3300,0.00017049329393043874,0.0023059998638927937,1100,606623.5195046216
MMG,4400,3300,0.00017049329393043874,2.4453739000018686,1100,606623.5195046216
SoA heuristic,4600,3450,0.00016307893020221786,0.005320199998095632,1150,661896.3080322255
MMG,4600,3450,0.00016307893020221786,2.468730399850756,1150,661896.3080322255
SoA heuristic,4000,3000,0.00018754688672168043,0.0024661000352352858,1000,499200.6849404283
MMG,4000,3000,0.00018754688672168043,1.9498408001381904,1000,499200.6849404283
SoA heuristic,4020,3015,0.00018661358546902214,0.005800100043416023,1005,505060.4486946801
MMG,4020,3015,0.00018661358546902214,2.0008674999698997,1005,505060.4486946801
SoA heuristic,4040,3030,0.00018568952711067095,0.006208299892023206,1010,509964.69339116046
MMG,4040,3030,0.00018568952711067095,1.790066899964586,1010,509964.69339116046
SoA heuristic,4080,3060,0.00018386859524393233,0.006906099850311875,1020,520373.52022121067
MMG,4080,3060,0.00018386859524393233,1.7813905000220984,1020,520373.52022121067
SoA heuristic,4120,3090,0.0001820830298616169,0.007055399939417839,1030,531857.4003662642
MMG,4120,3090,0.0001820830298616169,2.1050315001048148,1030,531857.4003662642
SoA heuristic,4200,3150,0.00017861395570373899,0.0022253000643104315,1050,551006.8077631325
MMG,4200,3150,0.00017861395570373899,2.2175062999594957,1050,551006.8077631325
SoA heuristic,4240,3180,0.00017692852087756547,0.0077379001304507256,1060,561737.1241788663
MMG,4240,3180,0.00017692852087756547,2.0339824000839144,1060,561737.1241788663
SoA heuristic,4400,3300,0.00017049329393043874,0.003276200033724308,1100,605776.5894667604
MMG,4400,3300,0.00017049329393043874,2.36320300004445,1100,605776.5894667604
SoA heuristic,4600,3450,0.00016307893020221786,0.006879099877551198,1150,660135.4991165814
MMG,4600,3450,0.00016307893020221786,2.5104340000543743,1150,660135.4991165814
SoA heuristic,4000,3000,0.00018754688672168043,0.0022195999044924974,1000,500663.8257093344
MMG,4000,3000,0.00018754688672168043,1.615812199888751,1000,500663.8257093344
SoA heuristic,4020,3015,0.00018661358546902214,0.003610899904742837,1005,505645.43232344626
MMG,4020,3015,0.00018661358546902214,2.0668410998769104,1005,505645.43232344626
SoA heuristic,4040,3030,0.00018568952711067095,0.004668800160288811,1010,510062.7683908875
MMG,4040,3030,0.00018568952711067095,1.9809691000264138,1010,510062.7683908875
SoA heuristic,4080,3060,0.00018386859524393233,0.006285400129854679,1020,521111.46040647954
MMG,4080,3060,0.00018386859524393233,2.0120258999522775,1020,521111.46040647954
SoA heuristic,4120,3090,0.0001820830298616169,0.003936500055715442,1030,530806.7751587103
MMG,4120,3090,0.0001820830298616169,1.9809008999727666,1030,530806.7751587103
SoA heuristic,4200,3150,0.00017861395570373899,0.0026580002158880234,1050,551150.700220062
MMG,4200,3150,0.00017861395570373899,1.9581714998930693,1050,551150.700220062
SoA heuristic,4240,3180,0.00017692852087756547,0.002254800172522664,1060,562144.4016115393
MMG,4240,3180,0.00017692852087756547,2.2073039999231696,1060,562144.4016115393
SoA heuristic,4400,3300,0.00017049329393043874,0.002344300039112568,1100,604956.12139796
MMG,4400,3300,0.00017049329393043874,2.466084900079295,1100,604956.12139796
SoA heuristic,4600,3450,0.00016307893020221786,0.0024034001398831606,1150,661743.0060428893
MMG,4600,3450,0.00016307893020221786,2.580242299940437,1150,661743.0060428893
SoA heuristic,4000,3000,0.00018754688672168043,0.00261080008931458,1000,499158.6473709367
MMG,4000,3000,0.00018754688672168043,2.0431186000350863,1000,499158.6473709367
SoA heuristic,4020,3015,0.00018661358546902214,0.003930599894374609,1005,504972.4542376114
MMG,4020,3015,0.00018661358546902214,1.9552634002175182,1005,504972.4542376114
SoA heuristic,4040,3030,0.00018568952711067095,0.0047623999416828156,1010,509877.75162504544
MMG,4040,3030,0.00018568952711067095,1.8457148000597954,1010,509877.75162504544
SoA heuristic,4080,3060,0.00018386859524393233,0.002347799949347973,1020,520154.4120007666
MMG,4080,3060,0.00018386859524393233,2.0566763998940587,1020,520154.4120007666
SoA heuristic,4120,3090,0.0001820830298616169,0.003886600024998188,1030,529761.2441211262
MMG,4120,3090,0.0001820830298616169,2.1514101000502706,1030,529761.2441211262
SoA heuristic,4200,3150,0.00017861395570373899,0.004701199941337109,1050,550019.4292988996
MMG,4200,3150,0.00017861395570373899,2.413525100098923,1050,550019.4292988996
SoA heuristic,4240,3180,0.00017692852087756547,0.04237939999438822,1060,561704.035745403
MMG,4240,3180,0.00017692852087756547,2.3245079000480473,1060,561704.035745403
SoA heuristic,4400,3300,0.00017049329393043874,0.0059582998510450125,1100,605655.5276254808
MMG,4400,3300,0.00017049329393043874,2.4936391999945045,1100,605655.5276254808
SoA heuristic,4600,3450,0.00016307893020221786,0.007065099896863103,1150,661291.5029956412
MMG,4600,3450,0.00016307893020221786,2.7264845001045614,1150,661291.5029956412
SoA heuristic,4000,3000,0.00018754688672168043,0.0026408000849187374,1000,500152.4196130723
MMG,4000,3000,0.00018754688672168043,1.3863007000181824,1000,500152.4196130723
SoA heuristic,4020,3015,0.00018661358546902214,0.003648300189524889,1005,504766.4387145811
MMG,4020,3015,0.00018661358546902214,1.4273094998206943,1005,504766.4387145811
SoA heuristic,4040,3030,0.00018568952711067095,0.0027170998509973288,1010,510129.016519237
MMG,4040,3030,0.00018568952711067095,1.4257912999019027,1010,510129.016519237
SoA heuristic,4080,3060,0.00018386859524393233,0.0027637998573482037,1020,519139.87753783684
MMG,4080,3060,0.00018386859524393233,1.4440878999885172,1020,519139.87753783684
SoA heuristic,4120,3090,0.0001820830298616169,0.00270990002900362,1030,530662.1988423626
MMG,4120,3090,0.0001820830298616169,1.5100339001510292,1030,530662.1988423626
SoA heuristic,4200,3150,0.00017861395570373899,0.0029189998749643564,1050,552222.4687048092
MMG,4200,3150,0.00017861395570373899,1.531753099989146,1050,552222.4687048092
SoA heuristic,4240,3180,0.00017692852087756547,0.0028868999797850847,1060,562764.0139963467
MMG,4240,3180,0.00017692852087756547,1.7269627000205219,1060,562764.0139963467
SoA heuristic,4400,3300,0.00017049329393043874,0.0029547999147325754,1100,603658.3874268291
MMG,4400,3300,0.00017049329393043874,1.6999850000720471,1100,603658.3874268291
SoA heuristic,4600,3450,0.00016307893020221786,0.0030210998374968767,1150,661103.7226456114
MMG,4600,3450,0.00016307893020221786,1.8159473999403417,1150,661103.7226456114
SoA heuristic,4000,3000,0.00018754688672168043,0.002670600078999996,1000,499806.26601529826
MMG,4000,3000,0.00018754688672168043,1.3775933999568224,1000,499806.26601529826
SoA heuristic,4020,3015,0.00018661358546902214,0.003387999953702092,1005,505499.78552665305
MMG,4020,3015,0.00018661358546902214,1.4138825999107212,1005,505499.78552665305
SoA heuristic,4040,3030,0.00018568952711067095,0.0025957999750971794,1010,509190.91100585833
MMG,4040,3030,0.00018568952711067095,1.4798552999272943,1010,509190.91100585833
SoA heuristic,4080,3060,0.00018386859524393233,0.0033851999323815107,1020,519827.7314020241
MMG,4080,3060,0.00018386859524393233,1.4799083000980318,1020,519827.7314020241
SoA heuristic,4120,3090,0.0001820830298616169,0.003946099895983934,1030,530607.9312867043
MMG,4120,3090,0.0001820830298616169,1.4615872998256236,1030,530607.9312867043
SoA heuristic,4200,3150,0.00017861395570373899,0.03143389988690615,1050,550412.3641688648
MMG,4200,3150,0.00017861395570373899,1.5525849000550807,1050,550412.3641688648
SoA heuristic,4240,3180,0.00017692852087756547,0.003832499962300062,1060,561918.2569498637
MMG,4240,3180,0.00017692852087756547,1.5970030000898987,1060,561918.2569498637
SoA heuristic,4400,3300,0.00017049329393043874,0.0029166999738663435,1100,604145.061076355
MMG,4400,3300,0.00017049329393043874,1.6863892001565546,1100,604145.061076355
SoA heuristic,4600,3450,0.00016307893020221786,0.0030114001128822565,1150,661306.4504227858
MMG,4600,3450,0.00016307893020221786,2.6353871999308467,1150,661306.4504227858
SoA heuristic,4000,3000,0.00018754688672168043,0.0023274000268429518,1000,499463.68192859774
MMG,4000,3000,0.00018754688672168043,1.1829818999394774,1000,499463.68192859774
SoA heuristic,4020,3015,0.00018661358546902214,0.0026886998675763607,1005,505298.0407517299
MMG,4020,3015,0.00018661358546902214,1.1921216000337154,1005,505298.0407517299
SoA heuristic,4040,3030,0.00018568952711067095,0.0023804998490959406,1010,509739.38265755284
MMG,4040,3030,0.00018568952711067095,1.2126498001161963,1010,509739.38265755284
SoA heuristic,4080,3060,0.00018386859524393233,0.0028744000010192394,1020,520448.8055166391
MMG,4080,3060,0.00018386859524393233,1.2269940001424402,1020,520448.8055166391
SoA heuristic,4120,3090,0.0001820830298616169,0.0023502002004534006,1030,529966.8266218842
MMG,4120,3090,0.0001820830298616169,1.2665359999518842,1030,529966.8266218842
SoA heuristic,4200,3150,0.00017861395570373899,0.027023800183087587,1050,549832.6857243343
MMG,4200,3150,0.00017861395570373899,1.2945986001286656,1050,549832.6857243343
SoA heuristic,4240,3180,0.00017692852087756547,0.0025233000051230192,1060,561935.3766013221
MMG,4240,3180,0.00017692852087756547,1.3255421000067145,1060,561935.3766013221
SoA heuristic,4400,3300,0.00017049329393043874,0.002616100013256073,1100,604785.8559457267
MMG,4400,3300,0.00017049329393043874,1.433605199912563,1100,604785.8559457267
SoA heuristic,4600,3450,0.00016307893020221786,0.002631200011819601,1150,660510.326223803
MMG,4600,3450,0.00016307893020221786,1.5711361998692155,1150,660510.326223803
