name,nodes,edges,density,time,result_set,result_w
SoA heuristic,20,15,0.039473684210526314,3.179977647960186e-05,5,14.646715493383077
MMG,20,15,0.039473684210526314,9.640003554522991e-05,5,14.646715493383077
SoA heuristic,40,30,0.019230769230769232,3.490014933049679e-05,10,52.69954151959514
MMG,40,30,0.019230769230769232,0.00021700002253055573,10,52.69954151959514
SoA heuristic,100,75,0.007575757575757576,6.760004907846451e-05,25,309.48773852563085
MMG,100,75,0.007575757575757576,0.0009105000644922256,25,309.48773852563085
SoA heuristic,200,150,0.0037688442211055275,0.00015159999020397663,50,1170.8848756001012
MMG,200,150,0.0037688442211055275,0.003753699827939272,50,1170.8848756001012
SoA heuristic,400,300,0.0018796992481203006,0.00020260014571249485,100,5277.437829426875
MMG,400,300,0.0018796992481203006,0.012983100023120642,100,5277.437829426875
SoA heuristic,600,450,0.0012520868113522537,0.0003483998589217663,150,11044.152993439933
MMG,600,450,0.0012520868113522537,0.04315179982222617,150,11044.152993439933
SoA heuristic,1000,750,0.0007507507507507507,0.001156599959358573,250,31003.903957946328
MMG,1000,750,0.0007507507507507507,0.12057260004803538,250,31003.903957946328
SoA heuristic,2000,1500,0.00037518759379689845,0.001190100098028779,500,121077.42281287661
MMG,2000,1500,0.00037518759379689845,0.3676997998263687,500,121077.42281287661
SoA heuristic,4000,3000,0.00018754688672168043,0.002795600099489093,1000,487862.238413953
MMG,4000,3000,0.00018754688672168043,1.738710899837315,1000,487862.238413953
SoA heuristic,8000,6000,9.376172021502688e-05,0.008595299907028675,2000,2006445.3664599124
MMG,8000,6000,9.376172021502688e-05,6.538177100010216,2000,2006445.3664599124
SoA heuristic,20,15,0.039473684210526314,6.320001557469368e-05,5,11.717862127259933
MMG,20,15,0.039473684210526314,0.0002563998568803072,5,11.717862127259933
SoA heuristic,40,30,0.019230769230769232,8.559995330870152e-05,10,61.174248873884125
MMG,40,30,0.019230769230769232,0.0006633000448346138,10,61.174248873884125
SoA heuristic,100,75,0.007575757575757576,0.0001542000100016594,25,316.43683617666494
MMG,100,75,0.007575757575757576,0.0023799999617040157,25,316.43683617666494
SoA heuristic,200,150,0.0037688442211055275,0.00017250003293156624,50,1165.071324683799
MMG,200,150,0.0037688442211055275,0.005474500125274062,50,1165.071324683799
SoA heuristic,400,300,0.0018796992481203006,0.0005799001082777977,100,5163.815666461732
MMG,400,300,0.0018796992481203006,0.014268100028857589,100,5163.815666461732
SoA heuristic,600,450,0.0012520868113522537,0.0007670000195503235,150,10970.315717660902
MMG,600,450,0.0012520868113522537,0.05121810012497008,150,10970.315717660902
SoA heuristic,1000,750,0.0007507507507507507,0.0006808999460190535,250,30837.40396846504
MMG,1000,750,0.0007507507507507507,0.1303693000227213,250,30837.40396846504
SoA heuristic,2000,1500,0.00037518759379689845,0.001066399971023202,500,129826.46901065245
MMG,2000,1500,0.00037518759379689845,0.4727921998128295,500,129826.46901065245
SoA heuristic,4000,3000,0.00018754688672168043,0.004150099819526076,1000,503164.5012923878
MMG,4000,3000,0.00018754688672168043,1.997674899874255,1000,503164.5012923878
SoA heuristic,8000,6000,9.376172021502688e-05,0.005714999977499247,2000,2000494.7080092446
MMG,8000,6000,9.376172021502688e-05,7.640144100179896,2000,2000494.7080092446
SoA heuristic,20,15,0.039473684210526314,7.529999129474163e-05,5,15.347002086941684
MMG,20,15,0.039473684210526314,0.00027219997718930244,5,15.347002086941684
SoA heuristic,40,30,0.019230769230769232,3.42000275850296e-05,10,60.23582364301985
MMG,40,30,0.019230769230769232,0.00037329993210732937,10,60.23582364301985
SoA heuristic,100,75,0.007575757575757576,7.54999928176403e-05,25,288.3483209741136
MMG,100,75,0.007575757575757576,0.0011020998936146498,25,288.3483209741136
SoA heuristic,200,150,0.0037688442211055275,0.00010810000821948051,50,1351.936238296635
MMG,200,150,0.0037688442211055275,0.0030644999351352453,50,1351.936238296635
SoA heuristic,400,300,0.0018796992481203006,0.0002014001365751028,100,5095.794810199078
MMG,400,300,0.0018796992481203006,0.01770500000566244,100,5095.794810199078
SoA heuristic,600,450,0.0012520868113522537,0.0002866999711841345,150,11461.962956925767
MMG,600,450,0.0012520868113522537,0.03380640014074743,150,11461.962956925767
SoA heuristic,1000,750,0.0007507507507507507,0.0005624000914394855,250,30514.45052125977
MMG,1000,750,0.0007507507507507507,0.1050879000686109,250,30514.45052125977
SoA heuristic,2000,1500,0.00037518759379689845,0.003269399981945753,500,124688.97149637282
MMG,2000,1500,0.00037518759379689845,0.4820522000081837,500,124688.97149637282
SoA heuristic,4000,3000,0.00018754688672168043,0.041806000052019954,1000,494851.6875948109
MMG,4000,3000,0.00018754688672168043,1.8635237999260426,1000,494851.6875948109
SoA heuristic,8000,6000,9.376172021502688e-05,0.006021600216627121,2000,1994156.83940382
MMG,8000,6000,9.376172021502688e-05,6.846496499842033,2000,1994156.83940382
SoA heuristic,20,15,0.039473684210526314,5.419994704425335e-05,5,12.537920327619727
MMG,20,15,0.039473684210526314,0.0001905001699924469,5,12.537920327619727
SoA heuristic,40,30,0.019230769230769232,5.91999851167202e-05,10,52.32642461870872
MMG,40,30,0.019230769230769232,0.0004400999750941992,10,52.32642461870872
SoA heuristic,100,75,0.007575757575757576,0.00012329989112913609,25,292.3167472405219
MMG,100,75,0.007575757575757576,0.0020294999703764915,25,292.3167472405219
SoA heuristic,200,150,0.0037688442211055275,0.00021780002862215042,50,1302.9964953446672
MMG,200,150,0.0037688442211055275,0.007104299962520599,50,1302.9964953446672
SoA heuristic,400,300,0.0018796992481203006,0.00044810003601014614,100,4917.008704575219
MMG,400,300,0.0018796992481203006,0.027637700084596872,100,4917.008704575219
SoA heuristic,600,450,0.0012520868113522537,0.0006808999460190535,150,10630.01883542532
MMG,600,450,0.0012520868113522537,0.05746000004000962,150,10630.01883542532
SoA heuristic,1000,750,0.0007507507507507507,0.0010710000060498714,250,32450.85237801984
MMG,1000,750,0.0007507507507507507,0.14039840013720095,250,32450.85237801984
SoA heuristic,2000,1500,0.00037518759379689845,0.001701100030913949,500,126540.90147362309
MMG,2000,1500,0.00037518759379689845,0.595089899841696,500,126540.90147362309
SoA heuristic,4000,3000,0.00018754688672168043,0.004783399868756533,1000,492516.1565022722
MMG,4000,3000,0.00018754688672168043,2.251745600020513,1000,492516.1565022722
SoA heuristic,8000,6000,9.376172021502688e-05,0.009571400005370378,2000,1991647.4890967149
MMG,8000,6000,9.376172021502688e-05,7.457248700084165,2000,1991647.4890967149
SoA heuristic,20,15,0.039473684210526314,4.5999884605407715e-05,5,13.460329295083934
MMG,20,15,0.039473684210526314,0.00011119991540908813,5,13.460329295083934
SoA heuristic,40,30,0.019230769230769232,3.9499951526522636e-05,10,57.53487668146711
MMG,40,30,0.019230769230769232,0.00027830014005303383,10,57.53487668146711
SoA heuristic,100,75,0.007575757575757576,7.979990914463997e-05,25,323.69321858638597
MMG,100,75,0.007575757575757576,0.0010897000320255756,25,323.69321858638597
SoA heuristic,200,150,0.0037688442211055275,0.00013209995813667774,50,1247.2505721924724
MMG,200,150,0.0037688442211055275,0.003776799887418747,50,1247.2505721924724
SoA heuristic,400,300,0.0018796992481203006,0.00025180005468428135,100,4970.835058838852
MMG,400,300,0.0018796992481203006,0.014215399976819754,100,4970.835058838852
SoA heuristic,600,450,0.0012520868113522537,0.00035179988481104374,150,11505.133130957956
MMG,600,450,0.0012520868113522537,0.03092700010165572,150,11505.133130957956
SoA heuristic,1000,750,0.0007507507507507507,0.0006532999686896801,250,32204.74535219642
MMG,1000,750,0.0007507507507507507,0.08507590019144118,250,32204.74535219642
SoA heuristic,2000,1500,0.00037518759379689845,0.0015169999096542597,500,123912.4547642445
MMG,2000,1500,0.00037518759379689845,0.36024129996076226,500,123912.4547642445
