name,nodes,edges,density,time,results
cdl,20,30,0.07894736842105263,0.0,1
g41,20,30,0.07894736842105263,0.0009965896606445312,1
lgl,20,30,0.07894736842105263,0.0009963512420654297,1
m22,20,30,0.07894736842105263,0.0,1
maple,20,30,0.07894736842105263,0.0,1
MMG,20,30,0.07894736842105263,0.0,1
cdl,40,60,0.038461538461538464,0.0,1
g41,40,60,0.038461538461538464,0.0010025501251220703,1
lgl,40,60,0.038461538461538464,0.000993967056274414,1
m22,40,60,0.038461538461538464,0.0,1
maple,40,60,0.038461538461538464,0.0,1
MMG,40,60,0.038461538461538464,0.0,1
cdl,100,150,0.015151515151515152,0.0009965896606445312,1
g41,100,150,0.015151515151515152,0.0009920597076416016,1
lgl,100,150,0.015151515151515152,0.001001596450805664,1
m22,100,150,0.015151515151515152,0.0009961128234863281,1
maple,100,150,0.015151515151515152,0.0009925365447998047,1
MMG,100,150,0.015151515151515152,0.0,1
cdl,200,300,0.007537688442211055,0.0019931793212890625,1
g41,200,300,0.007537688442211055,0.001993417739868164,1
lgl,200,300,0.007537688442211055,0.001989126205444336,1
m22,200,300,0.007537688442211055,0.001997709274291992,1
maple,200,300,0.007537688442211055,0.001994609832763672,1
MMG,200,300,0.007537688442211055,0.0009908676147460938,1
cdl,400,600,0.0037593984962406013,0.003986358642578125,1
g41,400,600,0.0037593984962406013,0.003986358642578125,1
lgl,400,600,0.0037593984962406013,0.0039865970611572266,1
m22,400,600,0.0037593984962406013,0.0039865970611572266,1
maple,400,600,0.0037593984962406013,0.0039865970611572266,1
MMG,400,600,0.0037593984962406013,0.0,1
cdl,600,900,0.0025041736227045075,0.005980014801025391,1
g41,600,900,0.0025041736227045075,0.004983186721801758,1
lgl,600,900,0.0025041736227045075,0.005980014801025391,1
m22,600,900,0.0025041736227045075,0.004983186721801758,1
maple,600,900,0.0025041736227045075,0.004983425140380859,1
MMG,600,900,0.0025041736227045075,0.0009965896606445312,1
cdl,1000,1500,0.0015015015015015015,0.00897073745727539,1
g41,1000,1500,0.0015015015015015015,0.008968830108642578,1
lgl,1000,1500,0.0015015015015015015,0.008971691131591797,1
m22,1000,1500,0.0015015015015015015,0.007971525192260742,1
maple,1000,1500,0.0015015015015015015,0.009962081909179688,1
MMG,1000,1500,0.0015015015015015015,0.0,1
cdl,2000,3000,0.0007503751875937969,0.018937110900878906,1
g41,2000,3000,0.0007503751875937969,0.015946388244628906,1
lgl,2000,3000,0.0007503751875937969,0.01693892478942871,1
m22,2000,3000,0.0007503751875937969,0.013953685760498047,1
maple,2000,3000,0.0007503751875937969,0.015946388244628906,1
MMG,2000,3000,0.0007503751875937969,0.0009968280792236328,1
cdl,4000,6000,0.00037509377344336085,0.0378725528717041,1
g41,4000,6000,0.00037509377344336085,0.031893014907836914,1
lgl,4000,6000,0.00037509377344336085,0.03189277648925781,1
m22,4000,6000,0.00037509377344336085,0.032889604568481445,1
maple,4000,6000,0.00037509377344336085,0.03687620162963867,1
MMG,4000,6000,0.00037509377344336085,0.0029900074005126953,1
cdl,8000,12000,0.00018752344043005377,0.07973194122314453,1
g41,8000,12000,0.00018752344043005377,0.06777191162109375,1
lgl,8000,12000,0.00018752344043005377,0.06378579139709473,1
m22,8000,12000,0.00018752344043005377,0.06392168998718262,1
maple,8000,12000,0.00018752344043005377,0.07474851608276367,1
MMG,8000,12000,0.00018752344043005377,0.005980014801025391,1
cdl,20,30,0.07894736842105263,0.001026153564453125,1
g41,20,30,0.07894736842105263,0.0,1
lgl,20,30,0.07894736842105263,0.0009560585021972656,1
m22,20,30,0.07894736842105263,0.0,1
maple,20,30,0.07894736842105263,0.0,1
MMG,20,30,0.07894736842105263,0.0010221004486083984,0
cdl,40,60,0.038461538461538464,0.0009968280792236328,1
g41,40,60,0.038461538461538464,0.0009965896606445312,1
lgl,40,60,0.038461538461538464,0.0009963512420654297,1
m22,40,60,0.038461538461538464,0.0,1
maple,40,60,0.038461538461538464,0.0,1
MMG,40,60,0.038461538461538464,0.0,1
cdl,100,150,0.015151515151515152,0.001992940902709961,1
g41,100,150,0.015151515151515152,0.0,1
lgl,100,150,0.015151515151515152,0.001992940902709961,1
m22,100,150,0.015151515151515152,0.0009970664978027344,1
maple,100,150,0.015151515151515152,0.0,1
MMG,100,150,0.015151515151515152,0.0009961128234863281,1
cdl,200,300,0.007537688442211055,0.001992940902709961,1
g41,200,300,0.007537688442211055,0.001992940902709961,1
lgl,200,300,0.007537688442211055,0.0019931793212890625,1
m22,200,300,0.007537688442211055,0.0009968280792236328,1
maple,200,300,0.007537688442211055,0.0029897689819335938,1
MMG,200,300,0.007537688442211055,0.0,1
cdl,400,600,0.0037593984962406013,0.0049877166748046875,1
g41,400,600,0.0037593984962406013,0.002985715866088867,1
lgl,400,600,0.0037593984962406013,0.003990888595581055,1
m22,400,600,0.0037593984962406013,0.0029900074005126953,1
maple,400,600,0.0037593984962406013,0.003981351852416992,1
MMG,400,600,0.0037593984962406013,0.0009968280792236328,1
cdl,600,900,0.0025041736227045075,0.006970643997192383,1
g41,600,900,0.0025041736227045075,0.004983186721801758,1
lgl,600,900,0.0025041736227045075,0.005049467086791992,1
m22,600,900,0.0025041736227045075,0.0050487518310546875,1
maple,600,900,0.0025041736227045075,0.005975484848022461,1
MMG,600,900,0.0025041736227045075,0.0,1
cdl,1000,1500,0.0015015015015015015,0.010962724685668945,1
g41,1000,1500,0.0015015015015015015,0.007972955703735352,1
lgl,1000,1500,0.0015015015015015015,0.007973432540893555,1
m22,1000,1500,0.0015015015015015015,0.008966922760009766,1
maple,1000,1500,0.0015015015015015015,0.009969472885131836,1
MMG,1000,1500,0.0015015015015015015,0.000997781753540039,1
cdl,2000,3000,0.0007503751875937969,0.020931243896484375,1
g41,2000,3000,0.0007503751875937969,0.017188310623168945,1
lgl,2000,3000,0.0007503751875937969,0.01395273208618164,1
m22,2000,3000,0.0007503751875937969,0.013952970504760742,1
maple,2000,3000,0.0007503751875937969,0.01694321632385254,1
MMG,2000,3000,0.0007503751875937969,0.000997304916381836,1
cdl,4000,6000,0.00037509377344336085,0.0378727912902832,1
g41,4000,6000,0.00037509377344336085,0.03388643264770508,1
lgl,4000,6000,0.00037509377344336085,0.04185938835144043,1
m22,4000,6000,0.00037509377344336085,0.031893014907836914,1
maple,4000,6000,0.00037509377344336085,0.03587937355041504,1
MMG,4000,6000,0.00037509377344336085,0.0029897689819335938,1
cdl,8000,12000,0.00018752344043005377,0.07773876190185547,1
g41,8000,12000,0.00018752344043005377,0.06677579879760742,1
lgl,8000,12000,0.00018752344043005377,0.06478238105773926,1
m22,8000,12000,0.00018752344043005377,0.0627892017364502,1
maple,8000,12000,0.00018752344043005377,0.07375216484069824,1
MMG,8000,12000,0.00018752344043005377,0.005980491638183594,1
cdl,20,30,0.07894736842105263,0.000993967056274414,1
g41,20,30,0.07894736842105263,0.0,1
lgl,20,30,0.07894736842105263,0.0009968280792236328,1
m22,20,30,0.07894736842105263,0.0,1
maple,20,30,0.07894736842105263,0.000997304916381836,1
MMG,20,30,0.07894736842105263,0.0,1
cdl,40,60,0.038461538461538464,0.0009953975677490234,1
g41,40,60,0.038461538461538464,0.0009968280792236328,1
lgl,40,60,0.038461538461538464,0.0009965896606445312,1
m22,40,60,0.038461538461538464,0.0,1
maple,40,60,0.038461538461538464,0.0,1
MMG,40,60,0.038461538461538464,0.0,1
cdl,100,150,0.015151515151515152,0.001985311508178711,1
g41,100,150,0.015151515151515152,0.0009965896606445312,1
lgl,100,150,0.015151515151515152,0.0010006427764892578,1
m22,100,150,0.015151515151515152,0.0009961128234863281,1
maple,100,150,0.015151515151515152,0.0009965896606445312,1
MMG,100,150,0.015151515151515152,0.0,1
cdl,200,300,0.007537688442211055,0.002990245819091797,1
g41,200,300,0.007537688442211055,0.001993417739868164,1
lgl,200,300,0.007537688442211055,0.0019927024841308594,1
