name,nodes,edges,density,time,result_set,result_w
SoA heuristic,20,30,0.07894736842105263,3.6800047382712364e-05,2,80
MMG,20,30,0.07894736842105263,7.559987716376781e-05,2,80
SoA heuristic,40,60,0.038461538461538464,3.2499898225069046e-05,4,224
MMG,40,60,0.038461538461538464,0.00011139991693198681,4,224
SoA heuristic,100,150,0.015151515151515152,5.9399986639618874e-05,10,542
MMG,100,150,0.015151515151515152,0.0003388999029994011,7,499
SoA heuristic,200,300,0.007537688442211055,0.00011719996109604836,23,997
MMG,200,300,0.007537688442211055,0.001487199915573001,20,1052
SoA heuristic,400,600,0.0037593984962406013,0.0003043001051992178,45,1998
MMG,400,600,0.0037593984962406013,0.005861399928107858,39,1963
SoA heuristic,600,900,0.0025041736227045075,0.0003494999837130308,67,3328
MMG,600,900,0.0025041736227045075,0.01086259982548654,60,3227
SoA heuristic,1000,1500,0.0015015015015015015,0.0006262999959290028,101,4825
MMG,1000,1500,0.0015015015015015015,0.028651800006628036,94,4868
SoA heuristic,2000,3000,0.0007503751875937969,0.001280799973756075,207,8830
MMG,2000,3000,0.0007503751875937969,0.10431979992426932,182,8853
SoA heuristic,4000,6000,0.00037509377344336085,0.002259500091895461,400,16589
MMG,4000,6000,0.00037509377344336085,0.386895100120455,356,16374
SoA heuristic,8000,12000,0.00018752344043005377,0.004893200006335974,842,36438
MMG,8000,12000,0.00018752344043005377,1.7585183999035507,748,35900
SoA heuristic,20,30,0.07894736842105263,4.620011895895004e-05,2,73
MMG,20,30,0.07894736842105263,7.950002327561378e-05,2,73
SoA heuristic,40,60,0.038461538461538464,4.009995609521866e-05,5,291
MMG,40,60,0.038461538461538464,0.00014490005560219288,5,291
SoA heuristic,100,150,0.015151515151515152,0.00023359991610050201,13,535
MMG,100,150,0.015151515151515152,0.0009795001242309809,9,520
SoA heuristic,200,300,0.007537688442211055,0.00011400016956031322,22,771
MMG,200,300,0.007537688442211055,0.0015263999812304974,21,769
SoA heuristic,400,600,0.0037593984962406013,0.000664199935272336,43,2124
MMG,400,600,0.0037593984962406013,0.011318499920889735,40,2119
