name,nodes,edges,density,time,result_set,result_w
SoA heuristic,4000,6000,0.00037509377344336085,0.0032805001828819513,453,18121
MMG,4000,6000,0.00037509377344336085,0.6053863000124693,403,18194
SoA heuristic,4020,6030,0.0003732271709380443,0.0044392000418156385,460,18372
MMG,4020,6030,0.0003732271709380443,0.6177277001552284,414,18323
SoA heuristic,4040,6060,0.0003713790542213419,0.0036304001696407795,464,18204
MMG,4040,6060,0.0003713790542213419,0.6207055000122637,402,17979
SoA heuristic,4080,6120,0.00036773719048786466,0.0038421000353991985,458,18057
MMG,4080,6120,0.00036773719048786466,0.5931128000374883,403,18019
SoA heuristic,4120,6180,0.0003641660597232338,0.0033372000325471163,470,18068
MMG,4120,6180,0.0003641660597232338,0.631638300139457,415,18119
SoA heuristic,4200,6300,0.00035722791140747797,0.0034713000059127808,485,20119
MMG,4200,6300,0.00035722791140747797,0.6567098998930305,418,19663
SoA heuristic,4240,6360,0.00035385704175513094,0.0035798000171780586,475,19769
MMG,4240,6360,0.00035385704175513094,0.6807944998145103,410,19569
SoA heuristic,4400,6600,0.0003409865878608775,0.0036694000009447336,480,19158
MMG,4400,6600,0.0003409865878608775,0.7234298998955637,427,19136
SoA heuristic,4600,6900,0.00032615786040443573,0.05030500004068017,519,21584
MMG,4600,6900,0.00032615786040443573,0.791563400067389,451,21237
SoA heuristic,4000,6000,0.00037509377344336085,0.005435300059616566,474,19313
MMG,4000,6000,0.00037509377344336085,0.774168600095436,411,19225
SoA heuristic,4020,6030,0.0003732271709380443,0.003152900142595172,458,18854
MMG,4020,6030,0.0003732271709380443,0.8539206001441926,399,18879
SoA heuristic,4040,6060,0.0003713790542213419,0.0031361000146716833,461,18804
MMG,4040,6060,0.0003713790542213419,0.9021732001565397,399,18416
SoA heuristic,4080,6120,0.00036773719048786466,0.008867199998348951,476,19503
MMG,4080,6120,0.00036773719048786466,1.0063786001410335,427,19479
SoA heuristic,4120,6180,0.0003641660597232338,0.003370600054040551,480,18624
MMG,4120,6180,0.0003641660597232338,0.981817799853161,421,18364
SoA heuristic,4200,6300,0.00035722791140747797,0.0032625000458210707,462,18977
MMG,4200,6300,0.00035722791140747797,0.813269600039348,408,19087
SoA heuristic,4240,6360,0.00035385704175513094,0.004693299997597933,457,18645
MMG,4240,6360,0.00035385704175513094,0.8947332999669015,421,18837
SoA heuristic,4400,6600,0.0003409865878608775,0.004086799919605255,490,18254
MMG,4400,6600,0.0003409865878608775,0.982312300009653,433,18431
SoA heuristic,4600,6900,0.00032615786040443573,0.004236399894580245,514,20149
MMG,4600,6900,0.00032615786040443573,1.2457399000413716,456,20016
SoA heuristic,4000,6000,0.00037509377344336085,0.005968800047412515,459,17572
MMG,4000,6000,0.00037509377344336085,0.9397752999793738,400,17561
SoA heuristic,4020,6030,0.0003732271709380443,0.004098499892279506,461,19147
MMG,4020,6030,0.0003732271709380443,0.9960823999717832,403,19112
SoA heuristic,4040,6060,0.0003713790542213419,0.0037174001336097717,461,17384
MMG,4040,6060,0.0003713790542213419,1.015384600032121,409,17571
SoA heuristic,4080,6120,0.00036773719048786466,0.0034207000862807035,468,17923
MMG,4080,6120,0.00036773719048786466,1.0706521000247449,409,18001
SoA heuristic,4120,6180,0.0003641660597232338,0.003728700103238225,469,18122
MMG,4120,6180,0.0003641660597232338,1.2223328999243677,409,17992
SoA heuristic,4200,6300,0.00035722791140747797,0.0044079001527279615,478,19217
MMG,4200,6300,0.00035722791140747797,1.2069097999483347,422,19048
SoA heuristic,4240,6360,0.00035385704175513094,0.0033537999261170626,484,18875
MMG,4240,6360,0.00035385704175513094,1.1149778000544757,421,18989
SoA heuristic,4400,6600,0.0003409865878608775,0.046477199997752905,502,19416
MMG,4400,6600,0.0003409865878608775,1.1812825000379235,447,19449
SoA heuristic,4600,6900,0.00032615786040443573,0.004339999984949827,538,21213
MMG,4600,6900,0.00032615786040443573,1.4110051000025123,449,20794
SoA heuristic,4000,6000,0.00037509377344336085,0.010937399929389358,450,17926
MMG,4000,6000,0.00037509377344336085,0.871127099962905,390,18073
SoA heuristic,4020,6030,0.0003732271709380443,0.003500699996948242,449,17685
MMG,4020,6030,0.0003732271709380443,0.7385171998757869,397,17489
SoA heuristic,4040,6060,0.0003713790542213419,0.00444899988360703,452,18525
MMG,4040,6060,0.0003713790542213419,0.9175426000729203,411,18580
SoA heuristic,4080,6120,0.00036773719048786466,0.011544800130650401,469,19189
MMG,4080,6120,0.00036773719048786466,0.8971737001556903,397,18635
SoA heuristic,4120,6180,0.0003641660597232338,0.0037750001065433025,445,17135
MMG,4120,6180,0.0003641660597232338,0.9299381000455469,391,17572
