name,nodes,edges,density,time,result_set,result_w
SoA heuristic,20,30,0.07894736842105263,3.5400036722421646e-05,2,3
MMG,20,30,0.07894736842105263,5.910010077059269e-05,2,7
SoA heuristic,40,60,0.038461538461538464,4.060007631778717e-05,5,19
MMG,40,60,0.038461538461538464,0.00012250011786818504,4,17
SoA heuristic,100,150,0.015151515151515152,7.690000347793102e-05,8,99
MMG,100,150,0.015151515151515152,0.00043169991113245487,8,99
SoA heuristic,200,300,0.007537688442211055,0.0001392001286149025,18,422
MMG,200,300,0.007537688442211055,0.001474900171160698,18,422
SoA heuristic,400,600,0.0037593984962406013,0.0002747001126408577,39,1952
MMG,400,600,0.0037593984962406013,0.005561399972066283,39,1952
SoA heuristic,600,900,0.0025041736227045075,0.000399900134652853,57,4115
MMG,600,900,0.0025041736227045075,0.023449799977242947,57,4115
SoA heuristic,1000,1500,0.0015015015015015015,0.0007561999373137951,101,12431
MMG,1000,1500,0.0015015015015015015,0.06268319999799132,101,12431
SoA heuristic,2000,3000,0.0007503751875937969,0.0017089999746531248,197,48876
MMG,2000,3000,0.0007503751875937969,0.1745879000518471,197,48876
SoA heuristic,4000,6000,0.00037509377344336085,0.0037454001139849424,403,200322
MMG,4000,6000,0.00037509377344336085,0.7362502999603748,402,199831
SoA heuristic,8000,12000,0.00018752344043005377,0.05258350004442036,803,800661
MMG,8000,12000,0.00018752344043005377,3.0757898001465946,804,801610
SoA heuristic,20,30,0.07894736842105263,8.33999365568161e-05,2,2
MMG,20,30,0.07894736842105263,0.00017310003750026226,2,2
SoA heuristic,40,60,0.038461538461538464,4.010018892586231e-05,5,27
MMG,40,60,0.038461538461538464,0.00012820004485547543,4,22
SoA heuristic,100,150,0.015151515151515152,9.149988181889057e-05,9,113
MMG,100,150,0.015151515151515152,0.00046110013499855995,9,113
SoA heuristic,200,300,0.007537688442211055,0.0001463999506086111,22,554
MMG,200,300,0.007537688442211055,0.0017816000618040562,22,554
SoA heuristic,400,600,0.0037593984962406013,0.00027190009132027626,40,1937
MMG,400,600,0.0037593984962406013,0.005979900015518069,40,1937
SoA heuristic,600,900,0.0025041736227045075,0.00041719991713762283,58,4282
MMG,600,900,0.0025041736227045075,0.012409899849444628,58,4282
SoA heuristic,1000,1500,0.0015015015015015015,0.0017629999201744795,100,12366
MMG,1000,1500,0.0015015015015015015,0.03486909996718168,100,12366
SoA heuristic,2000,3000,0.0007503751875937969,0.002388899913057685,199,49282
MMG,2000,3000,0.0007503751875937969,0.18617330002598464,199,49282
SoA heuristic,4000,6000,0.00037509377344336085,0.0032059999648481607,395,196393
MMG,4000,6000,0.00037509377344336085,0.7718175000045449,395,196393
SoA heuristic,8000,12000,0.00018752344043005377,0.013372099958360195,785,783263
MMG,8000,12000,0.00018752344043005377,3.0023707000073045,785,783263
SoA heuristic,20,30,0.07894736842105263,8.340016938745975e-05,2,4
MMG,20,30,0.07894736842105263,0.00016359984874725342,2,4
SoA heuristic,40,60,0.038461538461538464,0.00012159999459981918,6,27
MMG,40,60,0.038461538461538464,0.0001278999261558056,4,24
SoA heuristic,100,150,0.015151515151515152,0.0001379000023007393,11,126
MMG,100,150,0.015151515151515152,0.0009051000233739614,10,122
SoA heuristic,200,300,0.007537688442211055,0.0002313000150024891,18,418
MMG,200,300,0.007537688442211055,0.0024794000200927258,18,418
SoA heuristic,400,600,0.0037593984962406013,0.0002741999924182892,40,1962
MMG,400,600,0.0037593984962406013,0.005700600100681186,40,1962
SoA heuristic,600,900,0.0025041736227045075,0.000713299959897995,63,4641
MMG,600,900,0.0025041736227045075,0.01786029990762472,63,4641
SoA heuristic,1000,1500,0.0015015015015015015,0.002083699917420745,99,12233
MMG,1000,1500,0.0015015015015015015,0.06033409992232919,99,12233
SoA heuristic,2000,3000,0.0007503751875937969,0.0015872998628765345,197,49136
MMG,2000,3000,0.0007503751875937969,0.17325290013104677,197,49135
SoA heuristic,4000,6000,0.00037509377344336085,0.0037181999068707228,402,200244
MMG,4000,6000,0.00037509377344336085,0.7769559000153095,402,200244
SoA heuristic,8000,12000,0.00018752344043005377,0.009252300020307302,819,815936
MMG,8000,12000,0.00018752344043005377,3.1950065998826176,819,815936
SoA heuristic,20,30,0.07894736842105263,4.120008088648319e-05,1,3
MMG,20,30,0.07894736842105263,5.719996988773346e-05,1,3
SoA heuristic,40,60,0.038461538461538464,8.370005525648594e-05,6,27
MMG,40,60,0.038461538461538464,0.0003128999378532171,5,24
SoA heuristic,100,150,0.015151515151515152,0.00011070002801716328,10,130
MMG,100,150,0.015151515151515152,0.0006955000571906567,10,130
SoA heuristic,200,300,0.007537688442211055,0.0003627999685704708,22,518
MMG,200,300,0.007537688442211055,0.004976499825716019,22,518
SoA heuristic,400,600,0.0037593984962406013,0.0002772000152617693,41,1988
MMG,400,600,0.0037593984962406013,0.008906800067052245,41,1988
SoA heuristic,600,900,0.0025041736227045075,0.0003947000950574875,59,4285
MMG,600,900,0.0025041736227045075,0.012413900112733245,59,4285
SoA heuristic,1000,1500,0.0015015015015015015,0.000731299864128232,97,12032
MMG,1000,1500,0.0015015015015015015,0.03717299993149936,97,12032
SoA heuristic,2000,3000,0.0007503751875937969,0.003726599970832467,190,47175
MMG,2000,3000,0.0007503751875937969,0.19066209997981787,190,47175
SoA heuristic,4000,6000,0.00037509377344336085,0.007154399994760752,392,194575
MMG,4000,6000,0.00037509377344336085,0.7859400999732316,392,194575
SoA heuristic,8000,12000,0.00018752344043005377,0.00741089996881783,826,823699
MMG,8000,12000,0.00018752344043005377,3.1045575998723507,826,823699
SoA heuristic,20,30,0.07894736842105263,0.00010479986667633057,2,5
MMG,20,30,0.07894736842105263,0.00017579994164407253,2,5
SoA heuristic,40,60,0.038461538461538464,9.889993816614151e-05,4,17
MMG,40,60,0.038461538461538464,0.0003223998937755823,4,22
SoA heuristic,100,150,0.015151515151515152,0.00013970001600682735,12,141
MMG,100,150,0.015151515151515152,0.0010303999297320843,12,141
SoA heuristic,200,300,0.007537688442211055,0.00015529990196228027,21,517
MMG,200,300,0.007537688442211055,0.001793599920347333,21,517
SoA heuristic,400,600,0.0037593984962406013,0.0002707999665290117,37,1828
MMG,400,600,0.0037593984962406013,0.005297200055792928,37,1828
SoA heuristic,600,900,0.0025041736227045075,0.0012073998805135489,55,4070
