name,nodes,edges,density,time,result_set,result_w
SoA heuristic,4000,6000,0.00037509377344336085,0.0031206998974084854,408,202652
MMG,4000,6000,0.00037509377344336085,0.7747090000193566,408,202652
SoA heuristic,4020,6030,0.0003732271709380443,0.005123999901115894,406,203156
MMG,4020,6030,0.0003732271709380443,0.7744350000284612,406,203156
SoA heuristic,4040,6060,0.0003713790542213419,0.003695199964568019,401,200954
MMG,4040,6060,0.0003713790542213419,0.7715727998875082,401,200954
SoA heuristic,4080,6120,0.00036773719048786466,0.004050099989399314,427,216781
MMG,4080,6120,0.00036773719048786466,0.8336478001438081,427,216781
SoA heuristic,4120,6180,0.0003641660597232338,0.026832500007003546,419,214877
MMG,4120,6180,0.0003641660597232338,0.8106519998982549,420,215318
SoA heuristic,4200,6300,0.00035722791140747797,0.004785099998116493,410,213973
MMG,4200,6300,0.00035722791140747797,0.781904400093481,410,213973
SoA heuristic,4240,6360,0.00035385704175513094,0.00573690002784133,410,216319
MMG,4240,6360,0.00035385704175513094,0.8123091000597924,410,216319
SoA heuristic,4400,6600,0.0003409865878608775,0.004143599886447191,440,240929
MMG,4400,6600,0.0003409865878608775,0.9549050000496209,440,240929
SoA heuristic,4600,6900,0.00032615786040443573,0.04101349995471537,461,264058
MMG,4600,6900,0.00032615786040443573,1.0257367000449449,461,264029
SoA heuristic,4000,6000,0.00037509377344336085,0.0032584001310169697,387,192128
MMG,4000,6000,0.00037509377344336085,0.7804835001006722,387,192128
SoA heuristic,4020,6030,0.0003732271709380443,0.005652400199323893,396,197836
MMG,4020,6030,0.0003732271709380443,0.8239555000327528,396,197836
SoA heuristic,4040,6060,0.0003713790542213419,0.00905430014245212,413,207729
MMG,4040,6060,0.0003713790542213419,0.8049415999557823,414,208225
SoA heuristic,4080,6120,0.00036773719048786466,0.003235700074583292,404,205392
MMG,4080,6120,0.00036773719048786466,0.8356268000788987,404,205392
SoA heuristic,4120,6180,0.0003641660597232338,0.0031429999507963657,414,212510
MMG,4120,6180,0.0003641660597232338,0.8710044999606907,413,211995
SoA heuristic,4200,6300,0.00035722791140747797,0.008875699946656823,415,217202
MMG,4200,6300,0.00035722791140747797,0.8219507001340389,414,216689
SoA heuristic,4240,6360,0.00035385704175513094,0.005115500185638666,418,220667
MMG,4240,6360,0.00035385704175513094,0.8676695001777261,419,221159
SoA heuristic,4400,6600,0.0003409865878608775,0.0034669998567551374,444,243228
MMG,4400,6600,0.0003409865878608775,0.9515806001145393,444,243228
SoA heuristic,4600,6900,0.00032615786040443573,0.006601499859243631,444,254016
MMG,4600,6900,0.00032615786040443573,0.9765063999220729,444,254016
SoA heuristic,4000,6000,0.00037509377344336085,0.005546399857848883,391,194560
MMG,4000,6000,0.00037509377344336085,0.7151529998518527,392,195027
SoA heuristic,4020,6030,0.0003732271709380443,0.010024899849668145,392,195864
MMG,4020,6030,0.0003732271709380443,0.7831439999863505,392,195864
SoA heuristic,4040,6060,0.0003713790542213419,0.009915700182318687,409,204985
MMG,4040,6060,0.0003713790542213419,0.8145240999292582,409,204985
SoA heuristic,4080,6120,0.00036773719048786466,0.003131299978122115,407,207197
MMG,4080,6120,0.00036773719048786466,0.7322460999712348,407,207197
SoA heuristic,4120,6180,0.0003641660597232338,0.006157000083476305,405,207946
MMG,4120,6180,0.0003641660597232338,0.7402794000227004,405,207930
SoA heuristic,4200,6300,0.00035722791140747797,0.003948700148612261,412,215036
MMG,4200,6300,0.00035722791140747797,0.873514800099656,412,215039
SoA heuristic,4240,6360,0.00035385704175513094,0.005179499974474311,418,221107
MMG,4240,6360,0.00035385704175513094,0.8293837001547217,418,221107
SoA heuristic,4400,6600,0.0003409865878608775,0.008511899970471859,421,230321
MMG,4400,6600,0.0003409865878608775,0.8758361998479813,421,230321
SoA heuristic,4600,6900,0.00032615786040443573,0.0036786999553442,447,255587
