name,nodes,edges,density,time,result_set,result_w
SoA heuristic,20,30,0.07894736842105263,2.2900057956576347e-05,2,2
MMG,20,30,0.07894736842105263,6.200000643730164e-05,2,2
SoA heuristic,40,60,0.038461538461538464,3.820005804300308e-05,5,8
MMG,40,60,0.038461538461538464,0.0001588000450283289,5,8
SoA heuristic,100,150,0.015151515151515152,7.790001109242439e-05,8,15
MMG,100,150,0.015151515151515152,0.0004330000374466181,8,15
SoA heuristic,200,300,0.007537688442211055,0.00015089986845850945,23,44
MMG,200,300,0.007537688442211055,0.0015360000543296337,18,38
SoA heuristic,400,600,0.0037593984962406013,0.00029220012947916985,44,80
MMG,400,600,0.0037593984962406013,0.0061108998488634825,40,81
SoA heuristic,600,900,0.0025041736227045075,0.0004350000526756048,63,108
MMG,600,900,0.0025041736227045075,0.013438900001347065,60,104
SoA heuristic,1000,1500,0.0015015015015015015,0.0007794999983161688,111,189
MMG,1000,1500,0.0015015015015015015,0.036556300008669496,99,192
SoA heuristic,2000,3000,0.0007503751875937969,0.001595200039446354,212,369
MMG,2000,3000,0.0007503751875937969,0.13681320007890463,186,366
SoA heuristic,4000,6000,0.00037509377344336085,0.0031859001610428095,450,756
MMG,4000,6000,0.00037509377344336085,0.6100466998759657,415,766
SoA heuristic,8000,12000,0.00018752344043005377,0.007407299941405654,866,1436
MMG,8000,12000,0.00018752344043005377,2.428941800026223,788,1440
SoA heuristic,20,30,0.07894736842105263,2.5399960577487946e-05,3,5
MMG,20,30,0.07894736842105263,8.749985136091709e-05,2,4
SoA heuristic,40,60,0.038461538461538464,3.600004129111767e-05,4,5
MMG,40,60,0.038461538461538464,0.00012899981811642647,4,5
SoA heuristic,100,150,0.015151515151515152,7.940013892948627e-05,13,18
MMG,100,150,0.015151515151515152,0.0005679999012500048,10,18
SoA heuristic,200,300,0.007537688442211055,0.0001580999232828617,21,34
MMG,200,300,0.007537688442211055,0.0016743000596761703,18,41
SoA heuristic,400,600,0.0037593984962406013,0.0002840999513864517,44,62
MMG,400,600,0.0037593984962406013,0.006081600207835436,38,63
SoA heuristic,600,900,0.0025041736227045075,0.0004336000420153141,62,101
MMG,600,900,0.0025041736227045075,0.013748100027441978,58,98
SoA heuristic,1000,1500,0.0015015015015015015,0.0008735000155866146,112,170
MMG,1000,1500,0.0015015015015015015,0.037865100195631385,100,169
SoA heuristic,2000,3000,0.0007503751875937969,0.0015716999769210815,226,364
MMG,2000,3000,0.0007503751875937969,0.1554934000596404,205,362
SoA heuristic,4000,6000,0.00037509377344336085,0.003262599930167198,446,719
MMG,4000,6000,0.00037509377344336085,0.5873775000218302,398,692
SoA heuristic,8000,12000,0.00018752344043005377,0.0077640998642891645,865,1469
MMG,8000,12000,0.00018752344043005377,2.4945984999649227,796,1454
SoA heuristic,20,30,0.07894736842105263,3.200001083314419e-05,3,6
MMG,20,30,0.07894736842105263,7.309997454285622e-05,3,6
SoA heuristic,40,60,0.038461538461538464,4.970002919435501e-05,6,12
MMG,40,60,0.038461538461538464,0.00017230003140866756,5,11
SoA heuristic,100,150,0.015151515151515152,9.020022116601467e-05,11,19
MMG,100,150,0.015151515151515152,0.0006182000506669283,10,18
SoA heuristic,200,300,0.007537688442211055,0.00017729983665049076,23,33
MMG,200,300,0.007537688442211055,0.0018637001048773527,21,30
SoA heuristic,400,600,0.0037593984962406013,0.00033810012973845005,46,73
MMG,400,600,0.0037593984962406013,0.006308700190857053,39,71
SoA heuristic,600,900,0.0025041736227045075,0.0004547000862658024,71,119
MMG,600,900,0.0025041736227045075,0.01828569988720119,60,115
SoA heuristic,1000,1500,0.0015015015015015015,0.0013805001508444548,110,183
MMG,1000,1500,0.0015015015015015015,0.05021120002493262,97,173
SoA heuristic,2000,3000,0.0007503751875937969,0.00151969981379807,213,370
MMG,2000,3000,0.0007503751875937969,0.1523060998879373,203,380
SoA heuristic,4000,6000,0.00037509377344336085,0.004509099991992116,441,777
MMG,4000,6000,0.00037509377344336085,0.6896989999804646,408,765
SoA heuristic,8000,12000,0.00018752344043005377,0.007793099852278829,874,1486
MMG,8000,12000,0.00018752344043005377,2.448173600016162,787,1473
SoA heuristic,20,30,0.07894736842105263,2.4999957531690598e-05,2,2
MMG,20,30,0.07894736842105263,6.220000796020031e-05,2,2
SoA heuristic,40,60,0.038461538461538464,4.100007936358452e-05,4,4
MMG,40,60,0.038461538461538464,0.00011249980889260769,3,4
SoA heuristic,100,150,0.015151515151515152,7.92001374065876e-05,11,17
MMG,100,150,0.015151515151515152,0.0004990999586880207,9,19
SoA heuristic,200,300,0.007537688442211055,0.0001539001241326332,23,40
MMG,200,300,0.007537688442211055,0.0018130999524146318,21,40
SoA heuristic,400,600,0.0037593984962406013,0.0002945999149233103,38,72
MMG,400,600,0.0037593984962406013,0.005980900023132563,36,75
SoA heuristic,600,900,0.0025041736227045075,0.0004383998457342386,63,96
MMG,600,900,0.0025041736227045075,0.014231400098651648,60,98
SoA heuristic,1000,1500,0.0015015015015015015,0.000825399998575449,118,191
MMG,1000,1500,0.0015015015015015015,0.03944250009953976,102,191
SoA heuristic,2000,3000,0.0007503751875937969,0.001643899828195572,216,336
MMG,2000,3000,0.0007503751875937969,0.15558300004340708,201,331
SoA heuristic,4000,6000,0.00037509377344336085,0.0033476001117378473,446,728
MMG,4000,6000,0.00037509377344336085,0.6040128001477569,406,717
SoA heuristic,8000,12000,0.00018752344043005377,0.007561800070106983,901,1538
MMG,8000,12000,0.00018752344043005377,2.4458530000410974,811,1520
SoA heuristic,20,30,0.07894736842105263,2.6900088414549828e-05,2,6
MMG,20,30,0.07894736842105263,6.389990448951721e-05,2,6
SoA heuristic,40,60,0.038461538461538464,3.329990431666374e-05,1,2
MMG,40,60,0.038461538461538464,6.230012513697147e-05,1,2
SoA heuristic,100,150,0.015151515151515152,8.470006287097931e-05,10,22
MMG,100,150,0.015151515151515152,0.0005319998599588871,10,22
SoA heuristic,200,300,0.007537688442211055,0.00014949985779821873,20,33
MMG,200,300,0.007537688442211055,0.0016482998616993427,18,32
SoA heuristic,400,600,0.0037593984962406013,0.0003019999712705612,45,75
MMG,400,600,0.0037593984962406013,0.006862100213766098,42,75
SoA heuristic,600,900,0.0025041736227045075,0.00044189998880028725,68,121
MMG,600,900,0.0025041736227045075,0.014368899865075946,60,118
SoA heuristic,1000,1500,0.0015015015015015015,0.0008390001021325588,110,180
MMG,1000,1500,0.0015015015015015015,0.0399268998298794,105,179
SoA heuristic,2000,3000,0.0007503751875937969,0.0016682001296430826,218,387
MMG,2000,3000,0.0007503751875937969,0.1522013999056071,198,379
SoA heuristic,4000,6000,0.00037509377344336085,0.0031832000240683556,461,794
MMG,4000,6000,0.00037509377344336085,0.6107674001250416,417,773
SoA heuristic,8000,12000,0.00018752344043005377,0.007910599932074547,889,1502
MMG,8000,12000,0.00018752344043005377,2.5261037000454962,808,1468
SoA heuristic,20,30,0.07894736842105263,2.2799940779805183e-05,2,3
MMG,20,30,0.07894736842105263,5.5900076404213905e-05,2,3
SoA heuristic,40,60,0.038461538461538464,6.390013732016087e-05,7,13
MMG,40,60,0.038461538461538464,0.00023739994503557682,4,10
SoA heuristic,100,150,0.015151515151515152,7.580011151731014e-05,10,24
MMG,100,150,0.015151515151515152,0.0004916000179946423,9,23
SoA heuristic,200,300,0.007537688442211055,0.0001501000951975584,17,34
MMG,200,300,0.007537688442211055,0.0013068998232483864,14,30
SoA heuristic,400,600,0.0037593984962406013,0.00029770005494356155,45,68
MMG,400,600,0.0037593984962406013,0.006791000021621585,42,68
SoA heuristic,600,900,0.0025041736227045075,0.0004513000603765249,64,94
MMG,600,900,0.0025041736227045075,0.014057799940928817,58,96
SoA heuristic,1000,1500,0.0015015015015015015,0.0009916999842971563,107,174
MMG,1000,1500,0.0015015015015015015,0.03836470004171133,100,174
SoA heuristic,2000,3000,0.0007503751875937969,0.00160910002887249,225,382
MMG,2000,3000,0.0007503751875937969,0.1562731999438256,204,366
SoA heuristic,4000,6000,0.00037509377344336085,0.0034586999099701643,418,710
MMG,4000,6000,0.00037509377344336085,0.6098976000212133,388,697
SoA heuristic,8000,12000,0.00018752344043005377,0.007794099859893322,891,1470
MMG,8000,12000,0.00018752344043005377,2.526003699982539,800,1461
SoA heuristic,20,30,0.07894736842105263,2.4399952962994576e-05,3,5
MMG,20,30,0.07894736842105263,5.6399963796138763e-05,2,4
SoA heuristic,40,60,0.038461538461538464,3.909994848072529e-05,4,4
MMG,40,60,0.038461538461538464,0.00013660010881721973,4,4
SoA heuristic,100,150,0.015151515151515152,7.529999129474163e-05,12,18
MMG,100,150,0.015151515151515152,0.0005411999300122261,11,17
SoA heuristic,200,300,0.007537688442211055,0.0001517999917268753,23,35
MMG,200,300,0.007537688442211055,0.0016467999666929245,19,34
SoA heuristic,400,600,0.0037593984962406013,0.00028419983573257923,46,71
MMG,400,600,0.0037593984962406013,0.007020700024440885,46,75
SoA heuristic,600,900,0.0025041736227045075,0.0004471999127417803,62,103
MMG,600,900,0.0025041736227045075,0.014600700000301003,59,102
SoA heuristic,1000,1500,0.0015015015015015015,0.0008210998494178057,111,190
MMG,1000,1500,0.0015015015015015015,0.04026250005699694,105,188
SoA heuristic,2000,3000,0.0007503751875937969,0.0016144001856446266,231,394
MMG,2000,3000,0.0007503751875937969,0.1605450001079589,210,386
SoA heuristic,4000,6000,0.00037509377344336085,0.003355500055477023,449,787
MMG,4000,6000,0.00037509377344336085,0.6445331999566406,415,810
SoA heuristic,8000,12000,0.00018752344043005377,0.007792500080540776,896,1509
MMG,8000,12000,0.00018752344043005377,2.5333738001063466,809,1485
SoA heuristic,20,30,0.07894736842105263,2.750009298324585e-05,2,5
MMG,20,30,0.07894736842105263,6.280001252889633e-05,2,5
SoA heuristic,40,60,0.038461538461538464,3.96000687032938e-05,4,6
MMG,40,60,0.038461538461538464,0.00011080014519393444,3,5
SoA heuristic,100,150,0.015151515151515152,7.529999129474163e-05,9,16
MMG,100,150,0.015151515151515152,0.00047600013203918934,9,16
SoA heuristic,200,300,0.007537688442211055,0.00015469989739358425,24,36
MMG,200,300,0.007537688442211055,0.0016052999999374151,18,31
SoA heuristic,400,600,0.0037593984962406013,0.0003003999590873718,40,56
MMG,400,600,0.0037593984962406013,0.005917000118643045,35,52
SoA heuristic,600,900,0.0025041736227045075,0.00046500004827976227,72,121
MMG,600,900,0.0025041736227045075,0.015629000030457973,66,123
SoA heuristic,1000,1500,0.0015015015015015015,0.0008427000138908625,108,187
MMG,1000,1500,0.0015015015015015015,0.038711100118234754,99,181
SoA heuristic,2000,3000,0.0007503751875937969,0.001644900068640709,211,349
MMG,2000,3000,0.0007503751875937969,0.14868410001508892,195,343
SoA heuristic,4000,6000,0.00037509377344336085,0.023758299881592393,449,760
MMG,4000,6000,0.00037509377344336085,0.6465509999543428,408,735
SoA heuristic,8000,12000,0.00018752344043005377,0.0077615000773221254,886,1488
MMG,8000,12000,0.00018752344043005377,2.5987835999112576,819,1483
SoA heuristic,20,30,0.07894736842105263,2.010003663599491e-05,1,1
MMG,20,30,0.07894736842105263,3.909994848072529e-05,1,1
SoA heuristic,40,60,0.038461538461538464,3.519980236887932e-05,3,6
MMG,40,60,0.038461538461538464,0.00010830000974237919,3,6
SoA heuristic,100,150,0.015151515151515152,8.33999365568161e-05,11,25
MMG,100,150,0.015151515151515152,0.0004960999358445406,9,23
SoA heuristic,200,300,0.007537688442211055,0.00015150010585784912,20,38
MMG,200,300,0.007537688442211055,0.0016395000275224447,18,38
SoA heuristic,400,600,0.0037593984962406013,0.0003067001234740019,44,62
MMG,400,600,0.0037593984962406013,0.006830000085756183,42,63
SoA heuristic,600,900,0.0025041736227045075,0.0004533999599516392,70,118
MMG,600,900,0.0025041736227045075,0.015105099882930517,64,117
SoA heuristic,1000,1500,0.0015015015015015015,0.0007937999907881021,110,189
MMG,1000,1500,0.0015015015015015015,0.03920440003275871,103,186
SoA heuristic,2000,3000,0.0007503751875937969,0.0016783000901341438,221,385
MMG,2000,3000,0.0007503751875937969,0.15288620023056865,199,383
SoA heuristic,4000,6000,0.00037509377344336085,0.003817299846559763,438,782
MMG,4000,6000,0.00037509377344336085,0.5945252000819892,388,772
SoA heuristic,8000,12000,0.00018752344043005377,0.006807900033891201,877,1509
MMG,8000,12000,0.00018752344043005377,2.4101889000739902,806,1473
SoA heuristic,20,30,0.07894736842105263,2.7900096029043198e-05,3,5
MMG,20,30,0.07894736842105263,7.870001718401909e-05,3,5
SoA heuristic,40,60,0.038461538461538464,3.700004890561104e-05,5,8
MMG,40,60,0.038461538461538464,0.00013069994747638702,4,7
SoA heuristic,100,150,0.015151515151515152,8.489983156323433e-05,12,15
MMG,100,150,0.015151515151515152,0.0004396000877022743,8,14
SoA heuristic,200,300,0.007537688442211055,0.0001503999810665846,18,26
MMG,200,300,0.007537688442211055,0.0015240998473018408,18,27
SoA heuristic,400,600,0.0037593984962406013,0.00031979987397789955,50,80
MMG,400,600,0.0037593984962406013,0.0074442001059651375,46,80
SoA heuristic,600,900,0.0025041736227045075,0.00045419996604323387,65,111
MMG,600,900,0.0025041736227045075,0.014678299892693758,62,108
SoA heuristic,1000,1500,0.0015015015015015015,0.0008388999849557877,108,184
MMG,1000,1500,0.0015015015015015015,0.03805640013888478,98,176
SoA heuristic,2000,3000,0.0007503751875937969,0.0016919001936912537,215,373
MMG,2000,3000,0.0007503751875937969,0.1553767998702824,200,362
SoA heuristic,4000,6000,0.00037509377344336085,0.00312480004504323,430,708
MMG,4000,6000,0.00037509377344336085,0.5838063000701368,392,692
SoA heuristic,8000,12000,0.00018752344043005377,0.007648200029507279,884,1545
MMG,8000,12000,0.00018752344043005377,2.5112982001155615,799,1513
SoA heuristic,20,30,0.07894736842105263,2.2500054910779e-05,2,4
MMG,20,30,0.07894736842105263,5.6999968364834785e-05,2,4
SoA heuristic,40,60,0.038461538461538464,3.909994848072529e-05,4,9
MMG,40,60,0.038461538461538464,0.00010710000060498714,3,7
SoA heuristic,100,150,0.015151515151515152,8.190004155039787e-05,12,20
MMG,100,150,0.015151515151515152,0.0006331999320536852,11,19
SoA heuristic,200,300,0.007537688442211055,0.00015380000695586205,19,31
MMG,200,300,0.007537688442211055,0.0013990001752972603,15,32
SoA heuristic,400,600,0.0037593984962406013,0.00030339998193085194,50,94
MMG,400,600,0.0037593984962406013,0.0066934998612850904,41,84
SoA heuristic,600,900,0.0025041736227045075,0.0004602998960763216,68,110
MMG,600,900,0.0025041736227045075,0.014146799920126796,59,108
SoA heuristic,1000,1500,0.0015015015015015015,0.0008193999528884888,105,166
MMG,1000,1500,0.0015015015015015015,0.03766230004839599,95,164
SoA heuristic,2000,3000,0.0007503751875937969,0.001958400011062622,207,335
MMG,2000,3000,0.0007503751875937969,0.14818469993770123,188,322
SoA heuristic,4000,6000,0.00037509377344336085,0.02401369996368885,437,743
MMG,4000,6000,0.00037509377344336085,0.5940571001265198,392,719
SoA heuristic,8000,12000,0.00018752344043005377,0.007457399973645806,893,1520
MMG,8000,12000,0.00018752344043005377,2.424031499773264,802,1510
SoA heuristic,20,30,0.07894736842105263,2.6099849492311478e-05,3,5
MMG,20,30,0.07894736842105263,6.189988926053047e-05,2,4
SoA heuristic,40,60,0.038461538461538464,3.929995000362396e-05,5,5
MMG,40,60,0.038461538461538464,0.0001534000039100647,5,5
SoA heuristic,100,150,0.015151515151515152,8.699996396899223e-05,11,13
MMG,100,150,0.015151515151515152,0.0005375000182539225,10,13
SoA heuristic,200,300,0.007537688442211055,0.00015089986845850945,23,35
MMG,200,300,0.007537688442211055,0.0018302998505532742,21,36
SoA heuristic,400,600,0.0037593984962406013,0.00029550003819167614,40,53
