name,nodes,edges,density,time,result_set,result_w
SoA heuristic,4000,6000,0.00037509377344336085,0.0032206999603658915,444,734
MMG,4000,6000,0.00037509377344336085,0.7357192998751998,411,740
SoA heuristic,4020,6030,0.0003732271709380443,0.003239499870687723,467,794
MMG,4020,6030,0.0003732271709380443,0.8658611001446843,425,783
SoA heuristic,4040,6060,0.0003713790542213419,0.007799600018188357,435,684
MMG,4040,6060,0.0003713790542213419,0.7144293999299407,403,685
SoA heuristic,4080,6120,0.00036773719048786466,0.008617099840193987,444,748
MMG,4080,6120,0.00036773719048786466,0.7698397999629378,409,735
SoA heuristic,4120,6180,0.0003641660597232338,0.0032937999349087477,452,755
MMG,4120,6180,0.0003641660597232338,0.7848480001557618,408,745
SoA heuristic,4200,6300,0.00035722791140747797,0.010338399792090058,467,777
MMG,4200,6300,0.00035722791140747797,0.9265221999958158,424,767
SoA heuristic,4240,6360,0.00035385704175513094,0.003954400075599551,458,826
MMG,4240,6360,0.00035385704175513094,0.8650137998629361,421,802
SoA heuristic,4400,6600,0.0003409865878608775,0.0035248000640422106,494,855
MMG,4400,6600,0.0003409865878608775,1.054501699982211,452,828
SoA heuristic,4600,6900,0.00032615786040443573,0.011834800010547042,500,884
MMG,4600,6900,0.00032615786040443573,1.0614976999349892,448,867
SoA heuristic,4000,6000,0.00037509377344336085,0.0034866000059992075,438,746
MMG,4000,6000,0.00037509377344336085,0.7379395999014378,407,752
SoA heuristic,4020,6030,0.0003732271709380443,0.0032568001188337803,450,778
MMG,4020,6030,0.0003732271709380443,0.7906654002144933,402,760
SoA heuristic,4040,6060,0.0003713790542213419,0.0034016999416053295,446,742
MMG,4040,6060,0.0003713790542213419,0.9117331001907587,410,729
SoA heuristic,4080,6120,0.00036773719048786466,0.008570400066673756,465,826
MMG,4080,6120,0.00036773719048786466,0.9485593000426888,425,826
SoA heuristic,4120,6180,0.0003641660597232338,0.0033233000431209803,467,801
MMG,4120,6180,0.0003641660597232338,0.8231620998121798,414,793
SoA heuristic,4200,6300,0.00035722791140747797,0.010878399945795536,456,762
MMG,4200,6300,0.00035722791140747797,0.8142404998652637,415,740
SoA heuristic,4240,6360,0.00035385704175513094,0.004147999919950962,447,776
MMG,4240,6360,0.00035385704175513094,0.8902036999352276,421,767
SoA heuristic,4400,6600,0.0003409865878608775,0.0035358001478016376,469,793
MMG,4400,6600,0.0003409865878608775,0.9489634002093226,432,782
SoA heuristic,4600,6900,0.00032615786040443573,0.0036728999111801386,510,851
MMG,4600,6900,0.00032615786040443573,1.0304528998676687,463,838
SoA heuristic,4000,6000,0.00037509377344336085,0.0032090998720377684,436,704
MMG,4000,6000,0.00037509377344336085,0.7982624999713153,398,718
SoA heuristic,4020,6030,0.0003732271709380443,0.010862699942663312,416,675
MMG,4020,6030,0.0003732271709380443,0.8302311999723315,394,667
SoA heuristic,4040,6060,0.0003713790542213419,0.011191199999302626,424,709
MMG,4040,6060,0.0003713790542213419,0.8267180998809636,390,702
SoA heuristic,4080,6120,0.00036773719048786466,0.0032744999043643475,456,779
MMG,4080,6120,0.00036773719048786466,0.7987681999802589,410,761
SoA heuristic,4120,6180,0.0003641660597232338,0.003341000061482191,430,702
MMG,4120,6180,0.0003641660597232338,0.7918553000781685,395,695
SoA heuristic,4200,6300,0.00035722791140747797,0.0039906001184135675,463,779
MMG,4200,6300,0.00035722791140747797,0.8019818000029773,416,769
SoA heuristic,4240,6360,0.00035385704175513094,0.0033607000950723886,451,754
MMG,4240,6360,0.00035385704175513094,0.8461571000516415,418,760
SoA heuristic,4400,6600,0.0003409865878608775,0.012374400161206722,480,795
MMG,4400,6600,0.0003409865878608775,0.9700032998807728,452,785
SoA heuristic,4600,6900,0.00032615786040443573,0.004398199962452054,500,836
MMG,4600,6900,0.00032615786040443573,1.040892800083384,451,834
SoA heuristic,4000,6000,0.00037509377344336085,0.006732000038027763,425,705
MMG,4000,6000,0.00037509377344336085,0.714655099902302,388,702
SoA heuristic,4020,6030,0.0003732271709380443,0.0046895998530089855,440,760
MMG,4020,6030,0.0003732271709380443,0.8453990002162755,406,754
SoA heuristic,4040,6060,0.0003713790542213419,0.003359799971804023,431,677
MMG,4040,6060,0.0003713790542213419,0.7549995000008494,394,694
SoA heuristic,4080,6120,0.00036773719048786466,0.0032699001021683216,477,861
MMG,4080,6120,0.00036773719048786466,0.7734528000000864,422,841
SoA heuristic,4120,6180,0.0003641660597232338,0.007639599964022636,447,765
MMG,4120,6180,0.0003641660597232338,0.8119266000576317,398,763
SoA heuristic,4200,6300,0.00035722791140747797,0.012126600136980414,458,817
MMG,4200,6300,0.00035722791140747797,0.8408662001602352,413,802
SoA heuristic,4240,6360,0.00035385704175513094,0.0034231001045554876,458,792
MMG,4240,6360,0.00035385704175513094,0.8961877999827266,416,772
SoA heuristic,4400,6600,0.0003409865878608775,0.0043311999179422855,474,842
MMG,4400,6600,0.0003409865878608775,0.9404927999712527,445,833
