name,nodes,edges,density,time,result_set,result_w
SoA heuristic,20,30,0.07894736842105263,4.000007174909115e-05,2,0.39037752504889006
MMG,20,30,0.07894736842105263,6.209989078342915e-05,2,0.39037752504889006
SoA heuristic,40,60,0.038461538461538464,4.1499966755509377e-05,3,2.6222404570826745
MMG,40,60,0.038461538461538464,0.00011150003410875797,3,2.6222404570826745
SoA heuristic,100,150,0.015151515151515152,0.00010349997319281101,11,18.497444418617405
MMG,100,150,0.015151515151515152,0.0004928000271320343,9,19.081745886259654
SoA heuristic,200,300,0.007537688442211055,0.00015680002979934216,25,25.767934574698444
MMG,200,300,0.007537688442211055,0.0018639001064002514,22,24.668025696369323
SoA heuristic,400,600,0.0037593984962406013,0.00028609996661543846,43,44.80508051072122
MMG,400,600,0.0037593984962406013,0.00601990008726716,39,44.3975462412428
SoA heuristic,600,900,0.0025041736227045075,0.00045669986866414547,67,84.76000770507753
MMG,600,900,0.0025041736227045075,0.013991799904033542,61,83.09159344905218
SoA heuristic,1000,1500,0.0015015015015015015,0.0010019999463111162,120,119.77312651071553
MMG,1000,1500,0.0015015015015015015,0.03578609996475279,95,105.58482201245589
SoA heuristic,2000,3000,0.0007503751875937969,0.00166860013268888,238,324.81421350032485
MMG,2000,3000,0.0007503751875937969,0.14981039986014366,203,312.0982461286377
SoA heuristic,4000,6000,0.00037509377344336085,0.0033918002154678106,453,561.4061580122104
MMG,4000,6000,0.00037509377344336085,0.5933712001424283,393,558.8105035698958
SoA heuristic,8000,12000,0.00018752344043005377,0.007309699896723032,906,1039.8950345206024
MMG,8000,12000,0.00018752344043005377,2.538066199980676,780,1089.8479522739556
SoA heuristic,20,30,0.07894736842105263,0.00010790000669658184,4,1.8775793091566877
MMG,20,30,0.07894736842105263,0.00022769998759031296,3,1.7732794935236815
SoA heuristic,40,60,0.038461538461538464,4.369998350739479e-05,5,2.8028658817986436
MMG,40,60,0.038461538461538464,0.0001284999307245016,4,2.9636939788883034
SoA heuristic,100,150,0.015151515151515152,8.369982242584229e-05,12,15.785843129571553
MMG,100,150,0.015151515151515152,0.0010382002219557762,9,14.640142221612347
SoA heuristic,200,300,0.007537688442211055,0.0002445999998599291,21,29.89350350857835
MMG,200,300,0.007537688442211055,0.00268729985691607,19,31.08885628540427
SoA heuristic,400,600,0.0037593984962406013,0.00027849990874528885,48,56.03474381735701
MMG,400,600,0.0037593984962406013,0.005767500028014183,41,55.19403428198139
SoA heuristic,600,900,0.0025041736227045075,0.0008914000354707241,65,78.51138181904517
MMG,600,900,0.0025041736227045075,0.013484100112691522,54,72.84880005584836
SoA heuristic,1000,1500,0.0015015015015015015,0.002246200107038021,126,175.36211756948848
MMG,1000,1500,0.0015015015015015015,0.06635840004310012,102,172.6955409704977
SoA heuristic,2000,3000,0.0007503751875937969,0.004618600010871887,235,337.1276515568114
MMG,2000,3000,0.0007503751875937969,0.1581669000443071,198,347.36616434051405
SoA heuristic,4000,6000,0.00037509377344336085,0.003104599891230464,466,564.6043235058924
MMG,4000,6000,0.00037509377344336085,0.7372095000464469,404,600.7804741656895
SoA heuristic,8000,12000,0.00018752344043005377,0.07311420002952218,916,1082.1522018227442
MMG,8000,12000,0.00018752344043005377,3.1145896001253277,796,1083.821569053637
SoA heuristic,20,30,0.07894736842105263,7.910002022981644e-05,3,2.4413181595260403
MMG,20,30,0.07894736842105263,0.0001392001286149025,2,2.2708496574849133
SoA heuristic,40,60,0.038461538461538464,0.00010429997928440571,6,6.345344479224776
MMG,40,60,0.038461538461538464,0.00031209993176162243,4,8.091773379132444
SoA heuristic,100,150,0.015151515151515152,0.00012019998393952847,10,7.244064000355775
