name,nodes,edges,density,time,result_set,result_w
SoA heuristic,20,30,0.07894736842105263,3.2300129532814026e-05,3,3.322468009869765
MMG,20,30,0.07894736842105263,6.270012818276882e-05,2,6.043107890567559
SoA heuristic,40,60,0.038461538461538464,3.6300159990787506e-05,4,15.880951519681734
MMG,40,60,0.038461538461538464,0.00013519986532628536,4,15.880951519681734
SoA heuristic,100,150,0.015151515151515152,7.859990000724792e-05,10,67.83789840017262
MMG,100,150,0.015151515151515152,0.0004398999735713005,8,77.58387031694653
SoA heuristic,200,300,0.007537688442211055,0.00014779996126890182,21,461.40890627725184
MMG,200,300,0.007537688442211055,0.0015881999861449003,17,473.9098555953719
SoA heuristic,400,600,0.0037593984962406013,0.00028000003658235073,46,1716.9972439339826
MMG,400,600,0.0037593984962406013,0.006503400159999728,42,1694.4165028495142
SoA heuristic,600,900,0.0025041736227045075,0.0004081998486071825,63,4383.73977629007
MMG,600,900,0.0025041736227045075,0.013589800102636218,60,4303.73974899892
SoA heuristic,1000,1500,0.0015015015015015015,0.0007825000211596489,120,12530.847370175503
MMG,1000,1500,0.0015015015015015015,0.03915910003706813,108,12315.732623291711
SoA heuristic,2000,3000,0.0007503751875937969,0.0015144001226872206,236,49485.985757664464
MMG,2000,3000,0.0007503751875937969,0.15314830001443624,212,48834.88651349177
SoA heuristic,4000,6000,0.00037509377344336085,0.0031032999977469444,441,186372.31060817826
MMG,4000,6000,0.00037509377344336085,0.5882439999841154,396,183375.8704154667
SoA heuristic,8000,12000,0.00018752344043005377,0.00832649995572865,888,725358.2826446377
MMG,8000,12000,0.00018752344043005377,2.4735171999782324,807,733512.3285189876
SoA heuristic,20,30,0.07894736842105263,2.6799971237778664e-05,3,1.3230286852929987
MMG,20,30,0.07894736842105263,6.140000186860561e-05,2,1.7022332958608883
SoA heuristic,40,60,0.038461538461538464,3.969995304942131e-05,4,14.779473254045424
MMG,40,60,0.038461538461538464,0.00015510013327002525,4,14.779473254045424
SoA heuristic,100,150,0.015151515151515152,8.050003089010715e-05,12,102.71897253302004
MMG,100,150,0.015151515151515152,0.0004754001274704933,9,101.23855867712221
SoA heuristic,200,300,0.007537688442211055,0.00014599994756281376,23,464.81393781978426
MMG,200,300,0.007537688442211055,0.001757000107318163,20,486.16970550538264
SoA heuristic,400,600,0.0037593984962406013,0.00027210009284317493,47,1956.5032280674718
MMG,400,600,0.0037593984962406013,0.006172300083562732,43,1977.6362085653564
SoA heuristic,600,900,0.0025041736227045075,0.0004198998212814331,60,3822.6609033462746
MMG,600,900,0.0025041736227045075,0.012505599996075034,58,3771.6893926565194
SoA heuristic,1000,1500,0.0015015015015015015,0.0008171000517904758,114,12777.02238260011
MMG,1000,1500,0.0015015015015015015,0.03929509990848601,104,12485.237796219046
SoA heuristic,2000,3000,0.0007503751875937969,0.0016602000687271357,220,47025.76355306749
MMG,2000,3000,0.0007503751875937969,0.15406659990549088,201,47566.7328179086
SoA heuristic,4000,6000,0.00037509377344336085,0.0030437998939305544,433,185340.2196123452
MMG,4000,6000,0.00037509377344336085,0.6271707999985665,407,187008.24058768895
SoA heuristic,8000,12000,0.00018752344043005377,0.00756049994379282,901,761046.6425990345
MMG,8000,12000,0.00018752344043005377,2.456688900012523,814,748465.4376450183
SoA heuristic,20,30,0.07894736842105263,2.3399945348501205e-05,1,2.3453929705847534
MMG,20,30,0.07894736842105263,4.020007327198982e-05,1,2.3453929705847534
SoA heuristic,40,60,0.038461538461538464,5.050003528594971e-05,5,20.881313730611257
