name,nodes,edges,density,time,result_set,result_w
SoA heuristic,20,30,0.07894736842105263,2.5300076231360435e-05,2,13
MMG,20,30,0.07894736842105263,5.969987250864506e-05,2,13
SoA heuristic,40,60,0.038461538461538464,3.779982216656208e-05,4,34
MMG,40,60,0.038461538461538464,0.00014190003275871277,4,34
SoA heuristic,100,150,0.015151515151515152,8.269981481134892e-05,11,271
MMG,100,150,0.015151515151515152,0.0005836999043822289,11,271
SoA heuristic,200,300,0.007537688442211055,0.00013520009815692902,18,851
MMG,200,300,0.007537688442211055,0.0015510998200625181,18,851
SoA heuristic,400,600,0.0037593984962406013,0.00027840002439916134,39,3899
MMG,400,600,0.0037593984962406013,0.005895400187000632,39,3899
SoA heuristic,600,900,0.0025041736227045075,0.0003969999961555004,58,8675
MMG,600,900,0.0025041736227045075,0.0129657001234591,57,8527
SoA heuristic,1000,1500,0.0015015015015015015,0.0007627001032233238,100,24963
MMG,1000,1500,0.0015015015015015015,0.036524799885228276,100,24963
SoA heuristic,2000,3000,0.0007503751875937969,0.0014672998804599047,194,95932
MMG,2000,3000,0.0007503751875937969,0.14120179996825755,194,95932
SoA heuristic,4000,6000,0.00037509377344336085,0.0028547998517751694,395,392553
MMG,4000,6000,0.00037509377344336085,0.5763660999946296,396,393557
SoA heuristic,8000,12000,0.00018752344043005377,0.051370800007134676,795,1582534
MMG,8000,12000,0.00018752344043005377,2.4277389999479055,796,1584407
SoA heuristic,20,30,0.07894736842105263,2.5999965146183968e-05,2,11
MMG,20,30,0.07894736842105263,6.059999577701092e-05,2,11
SoA heuristic,40,60,0.038461538461538464,4.219985567033291e-05,7,62
MMG,40,60,0.038461538461538464,0.0001713999081403017,6,58
SoA heuristic,100,150,0.015151515151515152,8.079991675913334e-05,11,264
MMG,100,150,0.015151515151515152,0.0005471999756991863,11,264
SoA heuristic,200,300,0.007537688442211055,0.00014389981515705585,20,940
MMG,200,300,0.007537688442211055,0.0017596997786313295,20,940
SoA heuristic,400,600,0.0037593984962406013,0.0002758000046014786,37,3724
MMG,400,600,0.0037593984962406013,0.006035499973222613,37,3724
SoA heuristic,600,900,0.0025041736227045075,0.0004143000114709139,61,9204
MMG,600,900,0.0025041736227045075,0.014188000001013279,61,9204
SoA heuristic,1000,1500,0.0015015015015015015,0.0007441001944243908,101,25256
MMG,1000,1500,0.0015015015015015015,0.03774199984036386,101,25256
SoA heuristic,2000,3000,0.0007503751875937969,0.00150570017285645,198,98316
MMG,2000,3000,0.0007503751875937969,0.15003200015053153,198,98316
SoA heuristic,4000,6000,0.00037509377344336085,0.003120299894362688,396,393292
MMG,4000,6000,0.00037509377344336085,0.6113516001496464,396,393292
SoA heuristic,8000,12000,0.00018752344043005377,0.0075170001946389675,798,1588658
MMG,8000,12000,0.00018752344043005377,2.4546880999114364,798,1588658
SoA heuristic,20,30,0.07894736842105263,3.320001997053623e-05,3,7
MMG,20,30,0.07894736842105263,6.160000339150429e-05,2,5
SoA heuristic,40,60,0.038461538461538464,3.8899946957826614e-05,4,39
MMG,40,60,0.038461538461538464,0.00013539986684918404,4,39
SoA heuristic,100,150,0.015151515151515152,8.880021050572395e-05,13,326
MMG,100,150,0.015151515151515152,0.0006371999625116587,13,326
SoA heuristic,200,300,0.007537688442211055,0.0003106999211013317,21,1060
MMG,200,300,0.007537688442211055,0.002190000144764781,21,1060
SoA heuristic,400,600,0.0037593984962406013,0.00029920018278062344,39,3786
MMG,400,600,0.0037593984962406013,0.008131699869409204,39,3786
SoA heuristic,600,900,0.0025041736227045075,0.0004978999495506287,62,9432
MMG,600,900,0.0025041736227045075,0.015199700137600303,62,9432
SoA heuristic,1000,1500,0.0015015015015015015,0.001175000099465251,106,26327
MMG,1000,1500,0.0015015015015015015,0.0473573999479413,106,26327
SoA heuristic,2000,3000,0.0007503751875937969,0.00149609986692667,193,96067
MMG,2000,3000,0.0007503751875937969,0.14291569986380637,193,96067
SoA heuristic,4000,6000,0.00037509377344336085,0.0032646001782268286,399,396823
MMG,4000,6000,0.00037509377344336085,0.7030048999004066,399,396823
SoA heuristic,8000,12000,0.00018752344043005377,0.0066818001214414835,804,1602067
MMG,8000,12000,0.00018752344043005377,2.563991199946031,804,1602067
SoA heuristic,20,30,0.07894736842105263,2.8799986466765404e-05,3,11
MMG,20,30,0.07894736842105263,6.180000491440296e-05,2,9
SoA heuristic,40,60,0.038461538461538464,3.9899954572319984e-05,4,27
MMG,40,60,0.038461538461538464,0.0001401999033987522,4,27
SoA heuristic,100,150,0.015151515151515152,8.130003698170185e-05,11,266
MMG,100,150,0.015151515151515152,0.0005795999895781279,11,266
SoA heuristic,200,300,0.007537688442211055,0.00014410004951059818,22,1036
MMG,200,300,0.007537688442211055,0.0019489000551402569,22,1036
SoA heuristic,400,600,0.0037593984962406013,0.00028300005942583084,39,3884
MMG,400,600,0.0037593984962406013,0.00630740006454289,39,3884
SoA heuristic,600,900,0.0025041736227045075,0.00043419981375336647,65,9545
MMG,600,900,0.0025041736227045075,0.014993199845775962,64,9425
SoA heuristic,1000,1500,0.0015015015015015015,0.0007915999740362167,96,23746
MMG,1000,1500,0.0015015015015015015,0.03737360006198287,96,23746
SoA heuristic,2000,3000,0.0007503751875937969,0.001738599967211485,192,95543
MMG,2000,3000,0.0007503751875937969,0.14861489995382726,192,95543
SoA heuristic,4000,6000,0.00037509377344336085,0.0036140999291092157,397,394719
MMG,4000,6000,0.00037509377344336085,0.5899787000380456,397,394707
SoA heuristic,8000,12000,0.00018752344043005377,0.0073662998620420694,804,1602928
MMG,8000,12000,0.00018752344043005377,2.5083590999711305,804,1602928
SoA heuristic,20,30,0.07894736842105263,2.5900080800056458e-05,2,9
MMG,20,30,0.07894736842105263,6.329989992082119e-05,2,9
SoA heuristic,40,60,0.038461538461538464,3.800005652010441e-05,3,14
MMG,40,60,0.038461538461538464,0.00021079997532069683,3,14
SoA heuristic,100,150,0.015151515151515152,8.100015111267567e-05,13,290
MMG,100,150,0.015151515151515152,0.0006448000203818083,13,290
SoA heuristic,200,300,0.007537688442211055,0.00014579994603991508,19,1015
MMG,200,300,0.007537688442211055,0.0017420998774468899,20,1076
SoA heuristic,400,600,0.0037593984962406013,0.00028799986466765404,46,4612
MMG,400,600,0.0037593984962406013,0.0071894999127835035,45,4555
SoA heuristic,600,900,0.0025041736227045075,0.00042169983498752117,62,9241
MMG,600,900,0.0025041736227045075,0.014568899990990758,62,9241
SoA heuristic,1000,1500,0.0015015015015015015,0.0007982999086380005,97,24040
MMG,1000,1500,0.0015015015015015015,0.03765070019289851,97,24040
SoA heuristic,2000,3000,0.0007503751875937969,0.0016064001247286797,193,96387
MMG,2000,3000,0.0007503751875937969,0.14844899997115135,193,96387
SoA heuristic,4000,6000,0.00037509377344336085,0.003046200145035982,403,401469
MMG,4000,6000,0.00037509377344336085,0.6074206000193954,403,401469
SoA heuristic,8000,12000,0.00018752344043005377,0.007506099995225668,836,1666249
MMG,8000,12000,0.00018752344043005377,2.6629808000288904,836,1666249
SoA heuristic,20,30,0.07894736842105263,2.6499852538108826e-05,3,10
MMG,20,30,0.07894736842105263,8.570007048547268e-05,3,10
SoA heuristic,40,60,0.038461538461538464,3.6999816074967384e-05,4,36
MMG,40,60,0.038461538461538464,0.00014299992471933365,4,36
SoA heuristic,100,150,0.015151515151515152,8.030002936720848e-05,13,323
MMG,100,150,0.015151515151515152,0.0006222999654710293,13,323
SoA heuristic,200,300,0.007537688442211055,0.00014350004494190216,20,975
MMG,200,300,0.007537688442211055,0.0016911998391151428,20,966
SoA heuristic,400,600,0.0037593984962406013,0.0002874999772757292,41,4044
MMG,400,600,0.0037593984962406013,0.00669379997998476,41,4044
SoA heuristic,600,900,0.0025041736227045075,0.00044000009074807167,61,8918
MMG,600,900,0.0025041736227045075,0.014609199948608875,61,8918
SoA heuristic,1000,1500,0.0015015015015015015,0.0007897000759840012,98,24230
MMG,1000,1500,0.0015015015015015015,0.037750500021502376,98,24230
SoA heuristic,2000,3000,0.0007503751875937969,0.0018480999860912561,200,99074
MMG,2000,3000,0.0007503751875937969,0.15408829995431006,200,99074
SoA heuristic,4000,6000,0.00037509377344336085,0.003882399993017316,382,379532
MMG,4000,6000,0.00037509377344336085,0.6106857000850141,382,379523
SoA heuristic,8000,12000,0.00018752344043005377,0.0075910999439656734,799,1592146
MMG,8000,12000,0.00018752344043005377,2.5582546000368893,799,1592146
SoA heuristic,20,30,0.07894736842105263,3.2499898225069046e-05,3,6
MMG,20,30,0.07894736842105263,7.240008562803268e-05,3,6
SoA heuristic,40,60,0.038461538461538464,3.7899939343333244e-05,5,35
MMG,40,60,0.038461538461538464,0.0001550000160932541,5,35
SoA heuristic,100,150,0.015151515151515152,7.839989848434925e-05,10,212
MMG,100,150,0.015151515151515152,0.0005680001340806484,11,242
SoA heuristic,200,300,0.007537688442211055,0.00014219991862773895,23,1048
MMG,200,300,0.007537688442211055,0.0018883999437093735,23,1048
SoA heuristic,400,600,0.0037593984962406013,0.0002911000046879053,41,4054
MMG,400,600,0.0037593984962406013,0.006637699902057648,41,4054
SoA heuristic,600,900,0.0025041736227045075,0.000412600114941597,65,9519
MMG,600,900,0.0025041736227045075,0.014915699837729335,65,9519
SoA heuristic,1000,1500,0.0015015015015015015,0.0007955001201480627,103,25626
MMG,1000,1500,0.0015015015015015015,0.040426600025966763,103,25626
SoA heuristic,2000,3000,0.0007503751875937969,0.0015477000270038843,211,104315
MMG,2000,3000,0.0007503751875937969,0.1594865000806749,211,104315
SoA heuristic,4000,6000,0.00037509377344336085,0.003200800158083439,401,399863
MMG,4000,6000,0.00037509377344336085,0.5922010999638587,401,399863
SoA heuristic,8000,12000,0.00018752344043005377,0.0072522999253124,792,1577906
MMG,8000,12000,0.00018752344043005377,2.456258299993351,792,1577906
SoA heuristic,20,30,0.07894736842105263,2.4900073185563087e-05,2,10
MMG,20,30,0.07894736842105263,6.0499878600239754e-05,2,10
SoA heuristic,40,60,0.038461538461538464,3.8999831303954124e-05,3,30
MMG,40,60,0.038461538461538464,0.00011359993368387222,3,30
SoA heuristic,100,150,0.015151515151515152,7.399986498057842e-05,10,226
MMG,100,150,0.015151515151515152,0.0005200998857617378,10,226
SoA heuristic,200,300,0.007537688442211055,0.0001401999033987522,18,913
MMG,200,300,0.007537688442211055,0.0015760001260787249,18,913
SoA heuristic,400,600,0.0037593984962406013,0.0002872999757528305,45,4467
MMG,400,600,0.0037593984962406013,0.007251099916175008,45,4465
SoA heuristic,600,900,0.0025041736227045075,0.0004388000816106796,60,8837
MMG,600,900,0.0025041736227045075,0.015361499972641468,60,8837
SoA heuristic,1000,1500,0.0015015015015015015,0.0008205999620258808,92,22775
MMG,1000,1500,0.0015015015015015015,0.03807440004311502,92,22775
SoA heuristic,2000,3000,0.0007503751875937969,0.0016441999468952417,207,102655
MMG,2000,3000,0.0007503751875937969,0.15265719988383353,207,102655
SoA heuristic,4000,6000,0.00037509377344336085,0.002973799826577306,389,387590
MMG,4000,6000,0.00037509377344336085,0.6145395000930876,389,387590
SoA heuristic,8000,12000,0.00018752344043005377,0.007447300013154745,784,1563445
MMG,8000,12000,0.00018752344043005377,2.5230059002060443,784,1563445
SoA heuristic,20,30,0.07894736842105263,2.5799963623285294e-05,1,4
MMG,20,30,0.07894736842105263,4.449998959898949e-05,1,4
SoA heuristic,40,60,0.038461538461538464,3.8700178265571594e-05,5,52
MMG,40,60,0.038461538461538464,0.00015290011651813984,5,52
SoA heuristic,100,150,0.015151515151515152,7.810001261532307e-05,10,237
MMG,100,150,0.015151515151515152,0.0005191001109778881,10,237
SoA heuristic,200,300,0.007537688442211055,0.00013980013318359852,23,1078
MMG,200,300,0.007537688442211055,0.001909100217744708,23,1078
