name,nodes,edges,density,time,result_set,result_w
SoA heuristic,4000,6000,0.00037509377344336085,0.003906900063157082,396,394540
MMG,4000,6000,0.00037509377344336085,0.7737557000946254,396,394540
SoA heuristic,4020,6030,0.0003732271709380443,0.007346299942582846,403,402150
MMG,4020,6030,0.0003732271709380443,0.7715841000899673,403,402150
SoA heuristic,4040,6060,0.0003713790542213419,0.0032915000338107347,410,412415
MMG,4040,6060,0.0003713790542213419,0.7824997000861913,410,412415
SoA heuristic,4080,6120,0.00036773719048786466,0.0036768000572919846,397,403969
MMG,4080,6120,0.00036773719048786466,0.7713401999790221,397,403969
SoA heuristic,4120,6180,0.0003641660597232338,0.005133099853992462,428,438779
MMG,4120,6180,0.0003641660597232338,0.9027375997975469,428,438779
SoA heuristic,4200,6300,0.00035722791140747797,0.004909599898383021,418,437715
MMG,4200,6300,0.00035722791140747797,0.8894420999567956,418,437715
SoA heuristic,4240,6360,0.00035385704175513094,0.0039623999036848545,432,455031
MMG,4240,6360,0.00035385704175513094,0.9248678998555988,432,455031
SoA heuristic,4400,6600,0.0003409865878608775,0.006024700123816729,441,483511
MMG,4400,6600,0.0003409865878608775,0.8581449999473989,441,483511
SoA heuristic,4600,6900,0.00032615786040443573,0.03194059990346432,469,535798
MMG,4600,6900,0.00032615786040443573,1.0397397999186069,469,535798
SoA heuristic,4000,6000,0.00037509377344336085,0.006294799968600273,412,410421
MMG,4000,6000,0.00037509377344336085,0.8216200999449939,412,410421
SoA heuristic,4020,6030,0.0003732271709380443,0.0031296000815927982,396,395865
MMG,4020,6030,0.0003732271709380443,0.6874486000742763,396,395865
SoA heuristic,4040,6060,0.0003713790542213419,0.003162199864163995,417,418948
MMG,4040,6060,0.0003713790542213419,0.8119252000469714,417,418948
SoA heuristic,4080,6120,0.00036773719048786466,0.003906999947503209,404,409709
MMG,4080,6120,0.00036773719048786466,0.8482570999767631,404,409709
SoA heuristic,4120,6180,0.0003641660597232338,0.003253699978813529,417,427155
MMG,4120,6180,0.0003641660597232338,0.8242506999522448,417,427155
SoA heuristic,4200,6300,0.00035722791140747797,0.0032609000336378813,422,439388
MMG,4200,6300,0.00035722791140747797,0.8611697000451386,422,439384
SoA heuristic,4240,6360,0.00035385704175513094,0.003335600020363927,434,457777
MMG,4240,6360,0.00035385704175513094,0.9493746999651194,434,457777
SoA heuristic,4400,6600,0.0003409865878608775,0.003433600068092346,445,487127
MMG,4400,6600,0.0003409865878608775,0.9127689998131245,445,487127
SoA heuristic,4600,6900,0.00032615786040443573,0.0317482000682503,458,524670
MMG,4600,6900,0.00032615786040443573,1.0457568001002073,458,524662
SoA heuristic,4000,6000,0.00037509377344336085,0.003158800071105361,401,399642
MMG,4000,6000,0.00037509377344336085,0.7791772000491619,401,399642
SoA heuristic,4020,6030,0.0003732271709380443,0.0032236999832093716,413,412094
MMG,4020,6030,0.0003732271709380443,0.8396576999220997,413,412094
SoA heuristic,4040,6060,0.0003713790542213419,0.003813300048932433,414,416637
MMG,4040,6060,0.0003713790542213419,0.8505977999884635,414,416650
SoA heuristic,4080,6120,0.00036773719048786466,0.0031881998293101788,407,414133
MMG,4080,6120,0.00036773719048786466,0.8346653000917286,407,414133
SoA heuristic,4120,6180,0.0003641660597232338,0.005775899859145284,409,419253
MMG,4120,6180,0.0003641660597232338,0.8467826000414789,409,419253
SoA heuristic,4200,6300,0.00035722791140747797,0.0037074999418109655,425,445395
MMG,4200,6300,0.00035722791140747797,0.9266790000256151,425,445395
SoA heuristic,4240,6360,0.00035385704175513094,0.0034861001186072826,431,454856
MMG,4240,6360,0.00035385704175513094,0.7712369000073522,431,454856
SoA heuristic,4400,6600,0.0003409865878608775,0.003515399992465973,458,501480
MMG,4400,6600,0.0003409865878608775,1.0001994001213461,458,501480
SoA heuristic,4600,6900,0.00032615786040443573,0.003615899942815304,457,524263
MMG,4600,6900,0.00032615786040443573,1.0101268999278545,457,524263
SoA heuristic,4000,6000,0.00037509377344336085,0.0036786999553442,395,393649
MMG,4000,6000,0.00037509377344336085,0.8128706000279635,395,393649
SoA heuristic,4020,6030,0.0003732271709380443,0.0031326001044362783,412,411316
MMG,4020,6030,0.0003732271709380443,0.7864578999578953,412,411316
SoA heuristic,4040,6060,0.0003713790542213419,0.003059400012716651,401,403780
MMG,4040,6060,0.0003713790542213419,0.7868937000166625,401,403780
SoA heuristic,4080,6120,0.00036773719048786466,0.003714800113812089,399,405062
MMG,4080,6120,0.00036773719048786466,0.7552902998868376,399,405062
SoA heuristic,4120,6180,0.0003641660597232338,0.0031338001135736704,402,410167
MMG,4120,6180,0.0003641660597232338,0.7927615998778492,402,410209
SoA heuristic,4200,6300,0.00035722791140747797,0.009419400012120605,433,452905
MMG,4200,6300,0.00035722791140747797,0.9807351001072675,433,452905
SoA heuristic,4240,6360,0.00035385704175513094,0.003909900086000562,431,454721
MMG,4240,6360,0.00035385704175513094,0.8697134999092668,431,454721
SoA heuristic,4400,6600,0.0003409865878608775,0.003428399795666337,451,493767
MMG,4400,6600,0.0003409865878608775,1.0228218999691308,451,493767
SoA heuristic,4600,6900,0.00032615786040443573,0.046814800007268786,463,530145
MMG,4600,6900,0.00032615786040443573,1.0543697997927666,463,530145
SoA heuristic,4000,6000,0.00037509377344336085,0.0031254999339580536,416,414328
MMG,4000,6000,0.00037509377344336085,0.7977055998053402,416,414328
SoA heuristic,4020,6030,0.0003732271709380443,0.00921249995008111,410,411383
MMG,4020,6030,0.0003732271709380443,0.7795649999752641,410,411383
SoA heuristic,4040,6060,0.0003713790542213419,0.00313209998421371,408,410554
MMG,4040,6060,0.0003713790542213419,0.7950936001725495,408,410554
SoA heuristic,4080,6120,0.00036773719048786466,0.0038146001752465963,404,410672
MMG,4080,6120,0.00036773719048786466,0.8376885000616312,404,410672
SoA heuristic,4120,6180,0.0003641660597232338,0.0038176998496055603,421,431446
MMG,4120,6180,0.0003641660597232338,0.8627587000373751,421,431446
SoA heuristic,4200,6300,0.00035722791140747797,0.003238299861550331,426,444848
MMG,4200,6300,0.00035722791140747797,0.8862881001550704,426,444848
SoA heuristic,4240,6360,0.00035385704175513094,0.004005800001323223,430,453477
MMG,4240,6360,0.00035385704175513094,0.8412641000468284,430,453477
SoA heuristic,4400,6600,0.0003409865878608775,0.0034405000042170286,455,498237
MMG,4400,6600,0.0003409865878608775,0.9339242000132799,455,498237
SoA heuristic,4600,6900,0.00032615786040443573,0.0036056998651474714,458,524685
MMG,4600,6900,0.00032615786040443573,1.0610494001302868,458,524685
SoA heuristic,4000,6000,0.00037509377344336085,0.003087499877437949,379,376834
MMG,4000,6000,0.00037509377344336085,0.7758598001673818,379,376802
SoA heuristic,4020,6030,0.0003732271709380443,0.006712199887260795,409,409865
MMG,4020,6030,0.0003732271709380443,0.826603600056842,409,409865
SoA heuristic,4040,6060,0.0003713790542213419,0.008845900185406208,406,408773
MMG,4040,6060,0.0003713790542213419,0.7811531000770628,406,408773
SoA heuristic,4080,6120,0.00036773719048786466,0.00833649979904294,414,420687
MMG,4080,6120,0.00036773719048786466,0.8722926001064479,414,420687
SoA heuristic,4120,6180,0.0003641660597232338,0.003229700028896332,400,410334
MMG,4120,6180,0.0003641660597232338,0.8046942998189479,400,410334
SoA heuristic,4200,6300,0.00035722791140747797,0.0032911000307649374,418,435654
MMG,4200,6300,0.00035722791140747797,0.9163780000526458,418,435682
SoA heuristic,4240,6360,0.00035385704175513094,0.012169599998742342,432,456529
MMG,4240,6360,0.00035385704175513094,0.9766094000078738,433,457496
SoA heuristic,4400,6600,0.0003409865878608775,0.004085199907422066,427,467297
MMG,4400,6600,0.0003409865878608775,0.9198795000556856,427,467297
SoA heuristic,4600,6900,0.00032615786040443573,0.003635900095105171,460,525773
MMG,4600,6900,0.00032615786040443573,0.9955784999765456,460,525773
SoA heuristic,4000,6000,0.00037509377344336085,0.003089900128543377,392,389726
MMG,4000,6000,0.00037509377344336085,0.8514046999625862,392,389726
SoA heuristic,4020,6030,0.0003732271709380443,0.00568309985101223,383,382819
MMG,4020,6030,0.0003732271709380443,0.7353932000696659,383,382819
SoA heuristic,4040,6060,0.0003713790542213419,0.009243200067430735,409,411371
MMG,4040,6060,0.0003713790542213419,0.7999603999778628,409,411371
SoA heuristic,4080,6120,0.00036773719048786466,0.003849599976092577,417,423018
MMG,4080,6120,0.00036773719048786466,0.8104224998969585,417,423018
SoA heuristic,4120,6180,0.0003641660597232338,0.0033595000859349966,402,412366
MMG,4120,6180,0.0003641660597232338,0.7659191000275314,402,412366
SoA heuristic,4200,6300,0.00035722791140747797,0.003201100043952465,430,448574
MMG,4200,6300,0.00035722791140747797,0.8273116000927985,430,448574
SoA heuristic,4240,6360,0.00035385704175513094,0.005605700192973018,406,428124
MMG,4240,6360,0.00035385704175513094,0.9012092999182642,406,428124
SoA heuristic,4400,6600,0.0003409865878608775,0.003377899993211031,439,481214
MMG,4400,6600,0.0003409865878608775,0.8698144999798387,439,481214
SoA heuristic,4600,6900,0.00032615786040443573,0.005961799994111061,450,515211
MMG,4600,6900,0.00032615786040443573,1.0564784000162035,450,515211
SoA heuristic,4000,6000,0.00037509377344336085,0.0030436001252382994,388,386172
MMG,4000,6000,0.00037509377344336085,0.6185576000716537,388,386172
SoA heuristic,4020,6030,0.0003732271709380443,0.0031474002171307802,402,402305
MMG,4020,6030,0.0003732271709380443,0.8011090001091361,402,402305
SoA heuristic,4040,6060,0.0003713790542213419,0.0030728999990969896,395,397448
MMG,4040,6060,0.0003713790542213419,0.7658883999101818,394,396462
SoA heuristic,4080,6120,0.00036773719048786466,0.0037943001370877028,397,403683
MMG,4080,6120,0.00036773719048786466,0.8428668999113142,398,404634
SoA heuristic,4120,6180,0.0003641660597232338,0.0031743000727146864,414,424561
MMG,4120,6180,0.0003641660597232338,0.8342641999479383,414,424561
SoA heuristic,4200,6300,0.00035722791140747797,0.009433100000023842,424,443530
MMG,4200,6300,0.00035722791140747797,0.9095429999288172,424,443530
SoA heuristic,4240,6360,0.00035385704175513094,0.003890500171110034,412,434469
MMG,4240,6360,0.00035385704175513094,0.8335919000674039,412,434469
SoA heuristic,4400,6600,0.0003409865878608775,0.0035811997950077057,444,486309
MMG,4400,6600,0.0003409865878608775,0.8682208999525756,444,486284
SoA heuristic,4600,6900,0.00032615786040443573,0.0036561000160872936,462,529440
MMG,4600,6900,0.00032615786040443573,1.0083125999663025,462,529440
SoA heuristic,4000,6000,0.00037509377344336085,0.012123200111091137,380,377827
MMG,4000,6000,0.00037509377344336085,0.7158335999120027,380,377827
SoA heuristic,4020,6030,0.0003732271709380443,0.003024300094693899,399,399245
MMG,4020,6030,0.0003732271709380443,0.7824550999794155,399,399245
SoA heuristic,4040,6060,0.0003713790542213419,0.0030448001343756914,410,411214
MMG,4040,6060,0.0003713790542213419,0.8603914000559598,410,411257
SoA heuristic,4080,6120,0.00036773719048786466,0.003055599983781576,412,417036
MMG,4080,6120,0.00036773719048786466,0.7585969001520425,412,417036
SoA heuristic,4120,6180,0.0003641660597232338,0.04080890002660453,423,434002
MMG,4120,6180,0.0003641660597232338,0.8589384001679718,423,434002
SoA heuristic,4200,6300,0.00035722791140747797,0.0037827000487595797,409,428850
MMG,4200,6300,0.00035722791140747797,0.8183487998321652,410,429878
SoA heuristic,4240,6360,0.00035385704175513094,0.0033919999841600657,408,430371
MMG,4240,6360,0.00035385704175513094,0.8799016999546438,408,430371
SoA heuristic,4400,6600,0.0003409865878608775,0.003992199897766113,452,493782
MMG,4400,6600,0.0003409865878608775,1.054753800155595,452,493782
SoA heuristic,4600,6900,0.00032615786040443573,0.006090499926358461,438,501857
MMG,4600,6900,0.00032615786040443573,1.0484780000988394,438,501857
SoA heuristic,4000,6000,0.00037509377344336085,0.0029768000822514296,385,382886
MMG,4000,6000,0.00037509377344336085,0.7676913999021053,385,382886
SoA heuristic,4020,6030,0.0003732271709380443,0.004224800039082766,403,403991
MMG,4020,6030,0.0003732271709380443,0.7767370000947267,403,403991
SoA heuristic,4040,6060,0.0003713790542213419,0.0029964998830109835,402,403969
MMG,4040,6060,0.0003713790542213419,0.8281443999148905,402,403969
SoA heuristic,4080,6120,0.00036773719048786466,0.009901200188323855,403,409663
MMG,4080,6120,0.00036773719048786466,0.8565962000284344,403,409663
SoA heuristic,4120,6180,0.0003641660597232338,0.003023299854248762,398,407006
