name,nodes,edges,density,time,result_set,result_w
SoA heuristic,20,30,0.07894736842105263,3.9499951526522636e-05,2,5.621725297167124
MMG,20,30,0.07894736842105263,7.109995931386948e-05,2,5.621725297167124
SoA heuristic,40,60,0.038461538461538464,4.559988155961037e-05,4,14.553811315966744
MMG,40,60,0.038461538461538464,0.00011530006304383278,3,20.00389205082549
SoA heuristic,100,150,0.015151515151515152,8.200015872716904e-05,9,92.63090328611382
MMG,100,150,0.015151515151515152,0.00048550008796155453,9,92.63090328611382
SoA heuristic,200,300,0.007537688442211055,0.00015469989739358425,19,452.8378740270085
MMG,200,300,0.007537688442211055,0.001621499890461564,19,452.8378740270085
SoA heuristic,400,600,0.0037593984962406013,0.0002932001370936632,41,2105.526439721865
MMG,400,600,0.0037593984962406013,0.006337899947538972,41,2104.133808288899
SoA heuristic,600,900,0.0025041736227045075,0.0004275999963283539,63,4736.791602827622
MMG,600,900,0.0025041736227045075,0.014592000050470233,64,4805.090827000977
SoA heuristic,1000,1500,0.0015015015015015015,0.0007898998446762562,100,12232.885030768912
MMG,1000,1500,0.0015015015015015015,0.037613899912685156,100,12232.885030768912
SoA heuristic,2000,3000,0.0007503751875937969,0.0018257999327033758,200,49639.960142094504
MMG,2000,3000,0.0007503751875937969,0.1496685000602156,200,49639.960142094504
SoA heuristic,4000,6000,0.00037509377344336085,0.003277599811553955,399,198079.70320959258
MMG,4000,6000,0.00037509377344336085,0.607841799966991,399,198079.70320959258
SoA heuristic,8000,12000,0.00018752344043005377,0.008630399825051427,800,795578.3157491545
MMG,8000,12000,0.00018752344043005377,2.465139599982649,800,795578.3157491545
