name,nodes,edges,density,time,result_set,result_w
SoA heuristic,20,30,0.07894736842105263,8.510006591677666e-05,2,4.730340274769573
MMG,20,30,0.07894736842105263,0.00017079990357160568,2,4.730340274769573
SoA heuristic,40,60,0.038461538461538464,4.509999416768551e-05,4,22.643376736234877
MMG,40,60,0.038461538461538464,0.00012589991092681885,4,22.643376736234877
SoA heuristic,100,150,0.015151515151515152,7.860013283789158e-05,10,94.72859593135817
MMG,100,150,0.015151515151515152,0.000493000028654933,10,94.72859593135817
SoA heuristic,200,300,0.007537688442211055,0.00022489996626973152,24,565.0363143692696
MMG,200,300,0.007537688442211055,0.004581099841743708,23,546.3487718932955
SoA heuristic,400,600,0.0037593984962406013,0.00030589988455176353,44,1923.3154731610302
MMG,400,600,0.0037593984962406013,0.005947000114247203,42,1965.91007207158
SoA heuristic,600,900,0.0025041736227045075,0.00040680007077753544,72,4897.319571055513
MMG,600,900,0.0025041736227045075,0.01399090001359582,67,4766.5478229610135
SoA heuristic,1000,1500,0.0015015015015015015,0.001842699944972992,111,11889.70356092414
MMG,1000,1500,0.0015015015015015015,0.034452199935913086,103,11651.83061870294
SoA heuristic,2000,3000,0.0007503751875937969,0.005383800016716123,211,45404.24404797816
MMG,2000,3000,0.0007503751875937969,0.1707252999767661,199,44787.94162014591
SoA heuristic,4000,6000,0.00037509377344336085,0.003943100105971098,429,187302.20101819118
MMG,4000,6000,0.00037509377344336085,0.8140136001165956,400,186315.26871331557
SoA heuristic,8000,12000,0.00018752344043005377,0.015244000125676394,868,745518.1702122464
MMG,8000,12000,0.00018752344043005377,3.1049356998410076,797,730536.0834058446
SoA heuristic,20,30,0.07894736842105263,8.169980719685555e-05,2,5.003384969293208
MMG,20,30,0.07894736842105263,0.00022160005755722523,2,5.003384969293208
SoA heuristic,40,60,0.038461538461538464,7.940013892948627e-05,5,20.183676246596594
MMG,40,60,0.038461538461538464,0.00014050002209842205,4,17.630014682276332
SoA heuristic,100,150,0.015151515151515152,8.12998041510582e-05,12,138.23147550340445
MMG,100,150,0.015151515151515152,0.0009866999462246895,12,149.0387020683396
SoA heuristic,200,300,0.007537688442211055,0.00014649983495473862,21,500.6549112498207
MMG,200,300,0.007537688442211055,0.002071899827569723,20,504.83286802792753
SoA heuristic,400,600,0.0037593984962406013,0.00027680001221597195,43,1943.8871945794924
MMG,400,600,0.0037593984962406013,0.007483599940314889,40,1974.8348853074772
SoA heuristic,600,900,0.0025041736227045075,0.0012009001802653074,62,3633.2458529832556
MMG,600,900,0.0025041736227045075,0.02085219998843968,59,3603.020437995283
SoA heuristic,1000,1500,0.0015015015015015015,0.0007613999769091606,98,10374.160934603824
MMG,1000,1500,0.0015015015015015015,0.030862899962812662,91,10318.423101578941
SoA heuristic,2000,3000,0.0007503751875937969,0.0019390000961720943,200,44934.08643064927
MMG,2000,3000,0.0007503751875937969,0.15340629988349974,187,45198.58005013718
