name,nodes,edges,density,time,result_set,result_w
SoA heuristic,4000,6000,0.00037509377344336085,0.06177789997309446,427,184000.51235854105
MMG,4000,6000,0.00037509377344336085,0.7834407000336796,397,184006.5548669353
SoA heuristic,4020,6030,0.0003732271709380443,0.0031832000240683556,435,193978.75582544057
MMG,4020,6030,0.0003732271709380443,0.7745825999882072,406,193856.52841284717
SoA heuristic,4040,6060,0.0003713790542213419,0.0037527999375015497,427,185013.20609090576
MMG,4040,6060,0.0003713790542213419,0.8117114000488073,398,182643.14072635706
SoA heuristic,4080,6120,0.00036773719048786466,0.011837600031867623,442,196544.06582178688
MMG,4080,6120,0.00036773719048786466,0.8009901000186801,410,195590.13785361228
SoA heuristic,4120,6180,0.0003641660597232338,0.005952600156888366,457,206132.63527066982
MMG,4120,6180,0.0003641660597232338,0.8428885999601334,425,203635.03412098798
SoA heuristic,4200,6300,0.00035722791140747797,0.003814399940893054,450,212266.7361586748
MMG,4200,6300,0.00035722791140747797,0.9457935998216271,425,210089.53347337243
SoA heuristic,4240,6360,0.00035385704175513094,0.003283499972894788,460,215973.01205332152
MMG,4240,6360,0.00035385704175513094,0.9347012999933213,437,216531.51174231697
SoA heuristic,4400,6600,0.0003409865878608775,0.003987899981439114,475,234322.0274445365
MMG,4400,6600,0.0003409865878608775,0.941985199926421,437,230274.3034527418
SoA heuristic,4600,6900,0.00032615786040443573,0.010113599942997098,489,243463.9896348094
MMG,4600,6900,0.00032615786040443573,1.024153099860996,454,240378.78774398967
SoA heuristic,4000,6000,0.00037509377344336085,0.0036327000707387924,425,180950.2313950352
MMG,4000,6000,0.00037509377344336085,0.7363758999854326,389,177493.73045807812
SoA heuristic,4020,6030,0.0003732271709380443,0.008375799981877208,441,193683.76434382118
MMG,4020,6030,0.0003732271709380443,0.7566566998139024,408,192731.75270046128
SoA heuristic,4040,6060,0.0003713790542213419,0.007094200002029538,423,188127.38553119524
MMG,4040,6060,0.0003713790542213419,0.8099909999873489,398,188764.15898235672
SoA heuristic,4080,6120,0.00036773719048786466,0.0032019000500440598,447,193354.39365033933
MMG,4080,6120,0.00036773719048786466,0.8237878999207169,397,190575.52330234944
SoA heuristic,4120,6180,0.0003641660597232338,0.04131839983165264,432,204918.182532702
MMG,4120,6180,0.0003641660597232338,0.8365338000003248,414,206012.48210840163
SoA heuristic,4200,6300,0.00035722791140747797,0.0038964999839663506,451,206285.89265875387
MMG,4200,6300,0.00035722791140747797,0.8107076999731362,411,202572.95089786552
SoA heuristic,4240,6360,0.00035385704175513094,0.0033970000222325325,447,216153.57298189017
MMG,4240,6360,0.00035385704175513094,0.8686194999609143,413,210661.93876197582
SoA heuristic,4400,6600,0.0003409865878608775,0.003943599993363023,475,231064.4864504869
MMG,4400,6600,0.0003409865878608775,0.8223945000208914,434,224493.41895803795
SoA heuristic,4600,6900,0.00032615786040443573,0.0035771001130342484,498,250652.20592084882
MMG,4600,6900,0.00032615786040443573,1.0401280000805855,465,249289.3488495664
SoA heuristic,4000,6000,0.00037509377344336085,0.004011699929833412,418,187805.7285473268
MMG,4000,6000,0.00037509377344336085,0.8087466000579298,389,185145.8663447827
SoA heuristic,4020,6030,0.0003732271709380443,0.0031717000529170036,424,183686.87305516345
MMG,4020,6030,0.0003732271709380443,0.7707901999820024,395,180347.38159257238
SoA heuristic,4040,6060,0.0003713790542213419,0.0032798999454826117,444,189140.2034994461
MMG,4040,6060,0.0003713790542213419,0.7447428999003023,410,186770.80581019193
SoA heuristic,4080,6120,0.00036773719048786466,0.0036957000847905874,442,202938.56503330628
