name,nodes,edges,density,time,result_set,result_w
SoA heuristic,20,30,0.07894736842105263,3.7400051951408386e-05,2,79
MMG,20,30,0.07894736842105263,8.050003089010715e-05,2,79
SoA heuristic,40,60,0.038461538461538464,5.050003528594971e-05,4,199
MMG,40,60,0.038461538461538464,0.0001229001209139824,4,199
SoA heuristic,100,150,0.015151515151515152,7.340009324252605e-05,7,293
MMG,100,150,0.015151515151515152,0.00040520005859434605,8,435
SoA heuristic,200,300,0.007537688442211055,0.00013020006008446217,21,966
MMG,200,300,0.007537688442211055,0.0014448000583797693,19,921
SoA heuristic,400,600,0.0037593984962406013,0.00020819995552301407,41,1955
MMG,400,600,0.0037593984962406013,0.00432530022226274,37,1892
SoA heuristic,600,900,0.0025041736227045075,0.00032560015097260475,67,2698
MMG,600,900,0.0025041736227045075,0.010498099960386753,58,2743
SoA heuristic,1000,1500,0.0015015015015015015,0.000556600047275424,99,4695
MMG,1000,1500,0.0015015015015015015,0.025777299888432026,87,4726
SoA heuristic,2000,3000,0.0007503751875937969,0.0011958000250160694,201,8807
MMG,2000,3000,0.0007503751875937969,0.10579719999805093,181,8741
SoA heuristic,4000,6000,0.00037509377344336085,0.0028602001257240772,414,17338
MMG,4000,6000,0.00037509377344336085,0.457519399933517,377,17210
SoA heuristic,8000,12000,0.00018752344043005377,0.005593199981376529,850,36921
MMG,8000,12000,0.00018752344043005377,1.838877399917692,763,36140
SoA heuristic,20,30,0.07894736842105263,3.6899931728839874e-05,3,71
MMG,20,30,0.07894736842105263,8.79000872373581e-05,3,71
SoA heuristic,40,60,0.038461538461538464,4.9900030717253685e-05,3,119
MMG,40,60,0.038461538461538464,0.00012139999307692051,3,119
SoA heuristic,100,150,0.015151515151515152,9.159999899566174e-05,14,488
MMG,100,150,0.015151515151515152,0.00046660006046295166,10,403
SoA heuristic,200,300,0.007537688442211055,0.00010659988038241863,20,818
MMG,200,300,0.007537688442211055,0.0012227999977767467,18,779
SoA heuristic,400,600,0.0037593984962406013,0.0002101000864058733,41,2088
MMG,400,600,0.0037593984962406013,0.004579100059345365,38,2034
SoA heuristic,600,900,0.0025041736227045075,0.0003885999321937561,56,2134
MMG,600,900,0.0025041736227045075,0.009729200042784214,50,2102
SoA heuristic,1000,1500,0.0015015015015015015,0.0005481999833136797,101,4441
MMG,1000,1500,0.0015015015015015015,0.027819700073450804,91,4310
SoA heuristic,2000,3000,0.0007503751875937969,0.0012451999355107546,200,8216
MMG,2000,3000,0.0007503751875937969,0.11233530007302761,185,8081
SoA heuristic,4000,6000,0.00037509377344336085,0.002709799911826849,405,17383
MMG,4000,6000,0.00037509377344336085,0.44004429993219674,365,17130
SoA heuristic,8000,12000,0.00018752344043005377,0.037337500136345625,829,35954
MMG,8000,12000,0.00018752344043005377,1.8515296000987291,748,35457
SoA heuristic,20,30,0.07894736842105263,3.7300167605280876e-05,3,82
MMG,20,30,0.07894736842105263,8.050003089010715e-05,2,80
SoA heuristic,40,60,0.038461538461538464,4.190020263195038e-05,7,341
MMG,40,60,0.038461538461538464,0.00014699995517730713,5,307
SoA heuristic,100,150,0.015151515151515152,5.859998054802418e-05,9,447
MMG,100,150,0.015151515151515152,0.0003380000125616789,8,452
SoA heuristic,200,300,0.007537688442211055,0.00011850008741021156,20,598
MMG,200,300,0.007537688442211055,0.0012837001122534275,19,615
SoA heuristic,400,600,0.0037593984962406013,0.0002234999556094408,41,1821
MMG,400,600,0.0037593984962406013,0.004601299995556474,35,1756
SoA heuristic,600,900,0.0025041736227045075,0.0003480000887066126,54,2495
MMG,600,900,0.0025041736227045075,0.009583399863913655,50,2448
SoA heuristic,1000,1500,0.0015015015015015015,0.0005385000258684158,99,4181
MMG,1000,1500,0.0015015015015015015,0.024002299876883626,88,4133
SoA heuristic,2000,3000,0.0007503751875937969,0.001262499950826168,207,8821
MMG,2000,3000,0.0007503751875937969,0.11707050004042685,190,8678
SoA heuristic,4000,6000,0.00037509377344336085,0.004408900160342455,428,18246
MMG,4000,6000,0.00037509377344336085,0.658504200167954,389,18022
SoA heuristic,8000,12000,0.00018752344043005377,0.005842400016263127,811,33871
MMG,8000,12000,0.00018752344043005377,2.1617179000750184,728,33234
SoA heuristic,20,30,0.07894736842105263,3.720005042850971e-05,2,139
MMG,20,30,0.07894736842105263,7.699988782405853e-05,2,139
SoA heuristic,40,60,0.038461538461538464,4.2899977415800095e-05,5,183
MMG,40,60,0.038461538461538464,0.00012869993224740028,4,171
SoA heuristic,100,150,0.015151515151515152,7.569999434053898e-05,14,558
MMG,100,150,0.015151515151515152,0.0005578999407589436,12,541
SoA heuristic,200,300,0.007537688442211055,0.00016320007853209972,22,911
MMG,200,300,0.007537688442211055,0.0016581998206675053,18,845
SoA heuristic,400,600,0.0037593984962406013,0.0002987000625580549,50,2130
MMG,400,600,0.0037593984962406013,0.006058699917048216,44,2159
SoA heuristic,600,900,0.0025041736227045075,0.00041750003583729267,57,2251
MMG,600,900,0.0025041736227045075,0.011186399962753057,54,2277
SoA heuristic,1000,1500,0.0015015015015015015,0.0006597999017685652,100,4058
MMG,1000,1500,0.0015015015015015015,0.02936689998023212,93,4038
SoA heuristic,2000,3000,0.0007503751875937969,0.0013389999512583017,220,9915
MMG,2000,3000,0.0007503751875937969,0.11205230001360178,193,9608
SoA heuristic,4000,6000,0.00037509377344336085,0.0027790998574346304,407,17543
MMG,4000,6000,0.00037509377344336085,0.4605461999308318,366,17376
SoA heuristic,8000,12000,0.00018752344043005377,0.005171899916604161,832,35369
MMG,8000,12000,0.00018752344043005377,1.9048363999463618,747,34734
SoA heuristic,20,30,0.07894736842105263,2.9899878427386284e-05,3,200
MMG,20,30,0.07894736842105263,7.479987107217312e-05,3,200
SoA heuristic,40,60,0.038461538461538464,3.869994543492794e-05,5,231
MMG,40,60,0.038461538461538464,0.00014319992624223232,5,231
SoA heuristic,100,150,0.015151515151515152,6.160000339150429e-05,12,524
MMG,100,150,0.015151515151515152,0.0003992000129073858,9,488
SoA heuristic,200,300,0.007537688442211055,0.00010730000212788582,20,962
MMG,200,300,0.007537688442211055,0.0012390001211315393,18,911
SoA heuristic,400,600,0.0037593984962406013,0.00024040020070970058,44,2039
MMG,400,600,0.0037593984962406013,0.005410399986431003,39,1989
SoA heuristic,600,900,0.0025041736227045075,0.00031869998201727867,57,2349
MMG,600,900,0.0025041736227045075,0.00970749999396503,52,2316
SoA heuristic,1000,1500,0.0015015015015015015,0.000601199921220541,105,4613
MMG,1000,1500,0.0015015015015015015,0.02977689984254539,93,4489
SoA heuristic,2000,3000,0.0007503751875937969,0.001402700087055564,209,9040
MMG,2000,3000,0.0007503751875937969,0.12340319994837046,193,9054
SoA heuristic,4000,6000,0.00037509377344336085,0.0024510000366717577,388,16594
MMG,4000,6000,0.00037509377344336085,0.4517083000391722,363,16541
SoA heuristic,8000,12000,0.00018752344043005377,0.004909500014036894,778,34691
MMG,8000,12000,0.00018752344043005377,1.7606688998639584,706,34044
SoA heuristic,20,30,0.07894736842105263,3.560003824532032e-05,2,96
MMG,20,30,0.07894736842105263,7.520010694861412e-05,2,96
SoA heuristic,40,60,0.038461538461538464,4.1499966755509377e-05,6,292
MMG,40,60,0.038461538461538464,0.0001354999840259552,4,259
SoA heuristic,100,150,0.015151515151515152,6.38000201433897e-05,11,508
MMG,100,150,0.015151515151515152,0.0004893001168966293,11,508
SoA heuristic,200,300,0.007537688442211055,0.0001191999763250351,18,643
MMG,200,300,0.007537688442211055,0.0013106998521834612,17,641
SoA heuristic,400,600,0.0037593984962406013,0.00020080013200640678,42,1724
MMG,400,600,0.0037593984962406013,0.004991000052541494,39,1684
SoA heuristic,600,900,0.0025041736227045075,0.00034680007956922054,57,2689
MMG,600,900,0.0025041736227045075,0.01110190013423562,56,2867
SoA heuristic,1000,1500,0.0015015015015015015,0.0005785999819636345,100,4246
MMG,1000,1500,0.0015015015015015015,0.028672299813479185,90,4073
SoA heuristic,2000,3000,0.0007503751875937969,0.0011607999913394451,210,9172
MMG,2000,3000,0.0007503751875937969,0.11430879984982312,189,8989
SoA heuristic,4000,6000,0.00037509377344336085,0.002477099886164069,397,16760
MMG,4000,6000,0.00037509377344336085,0.44369659991934896,358,16674
SoA heuristic,8000,12000,0.00018752344043005377,0.005059600109234452,823,36518
MMG,8000,12000,0.00018752344043005377,1.8366491999477148,737,35774
SoA heuristic,20,30,0.07894736842105263,3.620004281401634e-05,2,141
MMG,20,30,0.07894736842105263,7.609999738633633e-05,2,141
SoA heuristic,40,60,0.038461538461538464,3.809994086623192e-05,6,241
MMG,40,60,0.038461538461538464,0.00014240015298128128,5,213
SoA heuristic,100,150,0.015151515151515152,6.480002775788307e-05,13,726
MMG,100,150,0.015151515151515152,0.0005481999833136797,13,751
SoA heuristic,200,300,0.007537688442211055,0.00014939997345209122,24,960
MMG,200,300,0.007537688442211055,0.0015786001458764076,19,931
SoA heuristic,400,600,0.0037593984962406013,0.000255499966442585,47,1892
MMG,400,600,0.0037593984962406013,0.0057651998940855265,40,1834
SoA heuristic,600,900,0.0025041736227045075,0.00029470003210008144,63,2653
MMG,600,900,0.0025041736227045075,0.010367400012910366,60,2591
SoA heuristic,1000,1500,0.0015015015015015015,0.0005429999437183142,98,4653
MMG,1000,1500,0.0015015015015015015,0.0278481999412179,92,4539
SoA heuristic,2000,3000,0.0007503751875937969,0.0011296002194285393,198,8664
MMG,2000,3000,0.0007503751875937969,0.10628740000538528,179,8435
SoA heuristic,4000,6000,0.00037509377344336085,0.002412400208413601,409,17624
MMG,4000,6000,0.00037509377344336085,0.4351637000218034,374,17808
SoA heuristic,8000,12000,0.00018752344043005377,0.005040600197389722,821,35670
MMG,8000,12000,0.00018752344043005377,1.9572694001253694,746,35274
SoA heuristic,20,30,0.07894736842105263,3.3300137147307396e-05,2,45
MMG,20,30,0.07894736842105263,7.049995474517345e-05,2,45
SoA heuristic,40,60,0.038461538461538464,7.870001718401909e-05,6,220
MMG,40,60,0.038461538461538464,0.0001604999415576458,5,213
SoA heuristic,100,150,0.015151515151515152,7.46001023799181e-05,8,269
MMG,100,150,0.015151515151515152,0.00044119986705482006,8,269
SoA heuristic,200,300,0.007537688442211055,0.00013229995965957642,21,810
MMG,200,300,0.007537688442211055,0.0015891999937593937,21,810
SoA heuristic,400,600,0.0037593984962406013,0.00025480007752776146,40,1898
MMG,400,600,0.0037593984962406013,0.005333899985998869,37,1906
SoA heuristic,600,900,0.0025041736227045075,0.00033210008405148983,65,2889
MMG,600,900,0.0025041736227045075,0.010415000142529607,56,2793
SoA heuristic,1000,1500,0.0015015015015015015,0.0005864000413566828,100,4497
MMG,1000,1500,0.0015015015015015015,0.030167300021275878,95,4541
SoA heuristic,2000,3000,0.0007503751875937969,0.0012173999566584826,206,9939
MMG,2000,3000,0.0007503751875937969,0.1141491997987032,186,9779
