name,nodes,edges,density,time,result_set,result_w
SoA heuristic,4000,6000,0.00037509377344336085,0.003390599973499775,468,19748
MMG,4000,6000,0.00037509377344336085,0.609239999903366,415,19723
SoA heuristic,4020,6030,0.0003732271709380443,0.0033325001131743193,444,18559
MMG,4020,6030,0.0003732271709380443,0.5669128999579698,393,18223
SoA heuristic,4040,6060,0.0003713790542213419,0.003445700043812394,463,19617
MMG,4040,6060,0.0003713790542213419,0.6131678000092506,408,19151
SoA heuristic,4080,6120,0.00036773719048786466,0.003967799944803119,456,18493
MMG,4080,6120,0.00036773719048786466,0.6145495001692325,400,18527
SoA heuristic,4120,6180,0.0003641660597232338,0.003505100030452013,483,19495
MMG,4120,6180,0.0003641660597232338,0.6282563998829573,410,19309
SoA heuristic,4200,6300,0.00035722791140747797,0.003562200115993619,479,18954
MMG,4200,6300,0.00035722791140747797,0.6418621998745948,424,18827
SoA heuristic,4240,6360,0.00035385704175513094,0.003569900058209896,463,19061
MMG,4240,6360,0.00035385704175513094,0.6618743999861181,411,18845
SoA heuristic,4400,6600,0.0003409865878608775,0.0037253000773489475,520,21354
MMG,4400,6600,0.0003409865878608775,0.7586737000383437,456,21064
SoA heuristic,4600,6900,0.00032615786040443573,0.004580500070005655,522,21266
MMG,4600,6900,0.00032615786040443573,0.789509599795565,450,21121
SoA heuristic,4000,6000,0.00037509377344336085,0.0034709000028669834,459,18302
MMG,4000,6000,0.00037509377344336085,0.6054454001132399,405,18503
SoA heuristic,4020,6030,0.0003732271709380443,0.003974599996581674,436,16794
MMG,4020,6030,0.0003732271709380443,0.5881558998953551,385,17010
SoA heuristic,4040,6060,0.0003713790542213419,0.003389199962839484,453,18803
MMG,4040,6060,0.0003713790542213419,0.6163898000959307,402,18425
SoA heuristic,4080,6120,0.00036773719048786466,0.003447099821642041,464,18406
MMG,4080,6120,0.00036773719048786466,0.6260051999706775,405,18384
SoA heuristic,4120,6180,0.0003641660597232338,0.003503400133922696,463,18622
MMG,4120,6180,0.0003641660597232338,0.6466293998528272,417,18532
SoA heuristic,4200,6300,0.00035722791140747797,0.007101399824023247,462,19390
MMG,4200,6300,0.00035722791140747797,0.7443405000958592,406,19103
SoA heuristic,4240,6360,0.00035385704175513094,0.009700999828055501,477,18093
MMG,4240,6360,0.00035385704175513094,0.8002736999187618,414,17560
SoA heuristic,4400,6600,0.0003409865878608775,0.003478200174868107,512,19945
MMG,4400,6600,0.0003409865878608775,0.8628607999999076,445,19874
SoA heuristic,4600,6900,0.00032615786040443573,0.004308499861508608,510,20467
MMG,4600,6900,0.00032615786040443573,0.9921712998766452,443,20433
SoA heuristic,4000,6000,0.00037509377344336085,0.0038662999868392944,470,19791
MMG,4000,6000,0.00037509377344336085,0.8346858001314104,412,19634
SoA heuristic,4020,6030,0.0003732271709380443,0.003352000145241618,444,17814
MMG,4020,6030,0.0003732271709380443,0.7564452001824975,396,17821
SoA heuristic,4040,6060,0.0003713790542213419,0.009416700107976794,469,18902
MMG,4040,6060,0.0003713790542213419,0.7623594000469893,413,18659
SoA heuristic,4080,6120,0.00036773719048786466,0.049748399993404746,457,18205
MMG,4080,6120,0.00036773719048786466,0.823924400145188,408,18212
SoA heuristic,4120,6180,0.0003641660597232338,0.0036464000586420298,472,19395
MMG,4120,6180,0.0003641660597232338,0.8713696000631899,405,19108
SoA heuristic,4200,6300,0.00035722791140747797,0.0049320999532938,471,19617
MMG,4200,6300,0.00035722791140747797,1.0648868000134826,420,19782
SoA heuristic,4240,6360,0.00035385704175513094,0.003296499839052558,484,18895
MMG,4240,6360,0.00035385704175513094,0.9512909001205117,426,18618
SoA heuristic,4400,6600,0.0003409865878608775,0.004097100114449859,497,20112
MMG,4400,6600,0.0003409865878608775,1.0116828000172973,449,20289
SoA heuristic,4600,6900,0.00032615786040443573,0.00428940006531775,525,20890
MMG,4600,6900,0.00032615786040443573,0.905304400017485,454,20748
SoA heuristic,4000,6000,0.00037509377344336085,0.010941699845716357,445,17977
MMG,4000,6000,0.00037509377344336085,0.8650505999103189,387,17685
SoA heuristic,4020,6030,0.0003732271709380443,0.0030545000918209553,455,18627
MMG,4020,6030,0.0003732271709380443,0.8672314998693764,405,18793
SoA heuristic,4040,6060,0.0003713790542213419,0.00796509999781847,460,17644
MMG,4040,6060,0.0003713790542213419,0.749719199957326,398,17605
SoA heuristic,4080,6120,0.00036773719048786466,0.0032003000378608704,478,20102
MMG,4080,6120,0.00036773719048786466,0.8961122001055628,424,20534
SoA heuristic,4120,6180,0.0003641660597232338,0.010213000001385808,490,19176
MMG,4120,6180,0.0003641660597232338,0.8385006000753492,414,18795
SoA heuristic,4200,6300,0.00035722791140747797,0.004143199883401394,480,18856
MMG,4200,6300,0.00035722791140747797,0.83544240007177,416,18708
SoA heuristic,4240,6360,0.00035385704175513094,0.004616999998688698,468,19127
MMG,4240,6360,0.00035385704175513094,0.826298400061205,434,18905
SoA heuristic,4400,6600,0.0003409865878608775,0.006936500081792474,498,20174
MMG,4400,6600,0.0003409865878608775,0.9063444000203162,444,20537
SoA heuristic,4600,6900,0.00032615786040443573,0.008980700047686696,517,21112
MMG,4600,6900,0.00032615786040443573,0.9427090000826865,454,20973
SoA heuristic,4000,6000,0.00037509377344336085,0.0030960000585764647,445,18605
MMG,4000,6000,0.00037509377344336085,0.824266399955377,395,18752
SoA heuristic,4020,6030,0.0003732271709380443,0.003262599930167198,451,17743
MMG,4020,6030,0.0003732271709380443,0.8464150000363588,403,17835
SoA heuristic,4040,6060,0.0003713790542213419,0.0037818001583218575,465,19196
MMG,4040,6060,0.0003713790542213419,0.8956528999842703,419,19457
SoA heuristic,4080,6120,0.00036773719048786466,0.003226999891921878,453,18007
MMG,4080,6120,0.00036773719048786466,0.807627399917692,397,17937
SoA heuristic,4120,6180,0.0003641660597232338,0.003242800012230873,478,19603
MMG,4120,6180,0.0003641660597232338,0.8538626001682132,416,19400
SoA heuristic,4200,6300,0.00035722791140747797,0.0037489000242203474,471,18440
MMG,4200,6300,0.00035722791140747797,0.9033820999320596,413,18659
SoA heuristic,4240,6360,0.00035385704175513094,0.0036289000418037176,478,19789
MMG,4240,6360,0.00035385704175513094,0.9211131001356989,425,19638
SoA heuristic,4400,6600,0.0003409865878608775,0.005660400027409196,508,19638
MMG,4400,6600,0.0003409865878608775,0.9790370999835432,440,19579
SoA heuristic,4600,6900,0.00032615786040443573,0.013316599885001779,533,21702
MMG,4600,6900,0.00032615786040443573,0.9850993000436574,463,21772
SoA heuristic,4000,6000,0.00037509377344336085,0.0031995000317692757,444,17952
MMG,4000,6000,0.00037509377344336085,0.7616684001404792,396,17777
SoA heuristic,4020,6030,0.0003732271709380443,0.003716199891641736,455,18070
MMG,4020,6030,0.0003732271709380443,0.8218523999676108,401,17809
SoA heuristic,4040,6060,0.0003713790542213419,0.006690100068226457,458,18693
MMG,4040,6060,0.0003713790542213419,0.8129529999569058,397,18675
SoA heuristic,4080,6120,0.00036773719048786466,0.0034302000422030687,477,20025
MMG,4080,6120,0.00036773719048786466,0.8604219001717865,417,20000
SoA heuristic,4120,6180,0.0003641660597232338,0.0032013000454753637,469,18651
MMG,4120,6180,0.0003641660597232338,0.8278491999953985,410,18616
SoA heuristic,4200,6300,0.00035722791140747797,0.003909399965777993,475,19142
MMG,4200,6300,0.00035722791140747797,0.9335433999076486,410,19035
SoA heuristic,4240,6360,0.00035385704175513094,0.0033629999961704016,471,18528
MMG,4240,6360,0.00035385704175513094,0.8450357001274824,410,18715
SoA heuristic,4400,6600,0.0003409865878608775,0.04661990003660321,495,20728
MMG,4400,6600,0.0003409865878608775,0.9087143999058753,432,20602
SoA heuristic,4600,6900,0.00032615786040443573,0.011005999986082315,527,20960
MMG,4600,6900,0.00032615786040443573,0.9677661000750959,464,20764
SoA heuristic,4000,6000,0.00037509377344336085,0.009015499847009778,453,18354
MMG,4000,6000,0.00037509377344336085,0.8689186000265181,399,18328
SoA heuristic,4020,6030,0.0003732271709380443,0.004862699890509248,461,17437
MMG,4020,6030,0.0003732271709380443,0.8429841001052409,411,17711
SoA heuristic,4040,6060,0.0003713790542213419,0.0033027001190930605,463,18724
MMG,4040,6060,0.0003713790542213419,0.799408300081268,404,18876
SoA heuristic,4080,6120,0.00036773719048786466,0.0037890002131462097,462,19311
MMG,4080,6120,0.00036773719048786466,0.8509462999645621,412,19249
SoA heuristic,4120,6180,0.0003641660597232338,0.004318000050261617,478,18964
MMG,4120,6180,0.0003641660597232338,0.8200787999667227,422,19041
SoA heuristic,4200,6300,0.00035722791140747797,0.0034407000057399273,484,19873
