name,nodes,edges,time,result_set,result_w
SoA heuristic,20,30,5.5800017435103655e-05,3,59
MMG,20,30,8.809997234493494e-05,2,88
SoA heuristic,40,60,8.670001989230514e-05,5,224
MMG,40,60,0.00013020000187680125,4,215
SoA heuristic,100,150,6.499997107312083e-05,10,511
MMG,100,150,0.0004482999793253839,7,442
SoA heuristic,200,300,0.00011389999417588115,22,787
MMG,200,300,0.00126219994854182,19,772
SoA heuristic,400,600,0.0003144000074826181,38,1262
MMG,400,600,0.005304899998009205,32,1205
SoA heuristic,600,900,0.00047670002095401287,67,3173
MMG,600,900,0.013138000038452446,65,3132
SoA heuristic,1000,1500,0.0005696999724023044,96,3803
MMG,1000,1500,0.02572229999350384,90,3804
SoA heuristic,2000,3000,0.0017368000117130578,194,8759
MMG,2000,3000,0.09597040002699941,175,8769
SoA heuristic,4000,6000,0.0023499999660998583,409,17934
MMG,4000,6000,0.4486820999882184,367,17479
SoA heuristic,8000,12000,0.005133600032422692,815,35744
MMG,8000,12000,1.7558157999883406,740,35554
SoA heuristic,20,30,4.269997589290142e-05,2,78
MMG,20,30,0.00011169997742399573,2,78
SoA heuristic,40,60,3.99000127799809e-05,5,268
MMG,40,60,0.00015790003817528486,5,268
SoA heuristic,100,150,0.00018239999189972878,11,590
MMG,100,150,0.0004991000168956816,10,589
SoA heuristic,200,300,0.00011329998960718513,18,929
MMG,200,300,0.0011071999906562269,17,926
SoA heuristic,400,600,0.0002750999992713332,39,1775
MMG,400,600,0.004185299971140921,34,1750
SoA heuristic,600,900,0.0004314999678172171,63,2929
MMG,600,900,0.01121150003746152,56,2855
SoA heuristic,1000,1500,0.0008418000070378184,107,4786
MMG,1000,1500,0.029043100017588586,95,4816
SoA heuristic,2000,3000,0.0016651999903842807,208,9166
MMG,2000,3000,0.1098772999830544,187,9153
SoA heuristic,4000,6000,0.0031601000227965415,409,18472
MMG,4000,6000,0.4475463000126183,379,18107
SoA heuristic,8000,12000,0.007890600012615323,801,35290
MMG,8000,12000,1.7959944999893196,723,34684
SoA heuristic,20,30,3.5100034438073635e-05,3,214
MMG,20,30,8.319999324157834e-05,3,214
SoA heuristic,40,60,4.439998883754015e-05,5,181
MMG,40,60,0.00013619998935610056,5,181
SoA heuristic,100,150,0.0002604000037536025,10,327
MMG,100,150,0.0005180999869480729,9,326
SoA heuristic,200,300,0.0002196999848820269,17,866
MMG,200,300,0.0015784999704919755,16,861
SoA heuristic,400,600,0.00028490001568570733,45,2147
MMG,400,600,0.005160000000614673,38,2063
SoA heuristic,600,900,0.00033849995816126466,61,2467
MMG,600,900,0.010695100005250424,53,2382
SoA heuristic,1000,1500,0.0009425000171177089,112,4916
MMG,1000,1500,0.030347099993377924,98,4659
SoA heuristic,2000,3000,0.001609999977517873,205,8759
MMG,2000,3000,0.11101749999215826,191,8939
SoA heuristic,4000,6000,0.002525000018067658,392,17103
MMG,4000,6000,0.4910614999826066,363,16915
SoA heuristic,8000,12000,0.00572640000609681,794,34272
MMG,8000,12000,1.7855946000199765,731,34140
SoA heuristic,20,30,4.1300023440271616e-05,2,134
MMG,20,30,8.93000396899879e-05,2,134
SoA heuristic,40,60,9.059999138116837e-05,4,204
MMG,40,60,0.00020429998403415084,4,216
SoA heuristic,100,150,6.780005060136318e-05,11,560
MMG,100,150,0.000553599966224283,10,559
SoA heuristic,200,300,0.000179799972102046,22,837
MMG,200,300,0.0015994000132195652,16,720
SoA heuristic,400,600,0.0003253000322729349,39,1914
MMG,400,600,0.005118699977174401,36,1890
SoA heuristic,600,900,0.0004589000018313527,59,2549
MMG,600,900,0.010349499993026257,53,2487
SoA heuristic,1000,1500,0.000665400002617389,106,4379
MMG,1000,1500,0.030073100002482533,90,4303
SoA heuristic,2000,3000,0.0016895000007934868,203,8755
MMG,2000,3000,0.11176569998497143,186,8665
SoA heuristic,4000,6000,0.002450500032864511,402,17912
MMG,4000,6000,0.45603030000347644,375,17801
SoA heuristic,8000,12000,0.0050533999456092715,817,34442
MMG,8000,12000,1.897570299974177,726,33863
SoA heuristic,20,30,4.190002800896764e-05,2,40
MMG,20,30,9.380001574754715e-05,2,40
SoA heuristic,40,60,2.989999484270811e-05,3,83
MMG,40,60,0.00010650005424395204,3,83
SoA heuristic,100,150,7.270002970471978e-05,12,519
MMG,100,150,0.00045900000259280205,12,519
SoA heuristic,200,300,0.00019099999917671084,22,833
MMG,200,300,0.001830299966968596,20,804
SoA heuristic,400,600,0.00027550000231713057,39,1680
MMG,400,600,0.005536999960895628,38,1754
SoA heuristic,600,900,0.00042019999818876386,64,2667
MMG,600,900,0.011370099964551628,60,2767
SoA heuristic,1000,1500,0.0008800000068731606,102,4754
MMG,1000,1500,0.02917280001565814,95,4796
SoA heuristic,2000,3000,0.0017018999787978828,203,8725
MMG,2000,3000,0.11176039994461462,182,8692
SoA heuristic,4000,6000,0.0024796000216156244,410,18089
MMG,4000,6000,0.44854430004488677,371,17939
SoA heuristic,8000,12000,0.005099000001791865,834,37141
MMG,8000,12000,1.9162080999813043,751,36272
SoA heuristic,20,30,3.060000017285347e-05,1,87
MMG,20,30,5.339999916031957e-05,1,87
SoA heuristic,40,60,8.47000046633184e-05,5,324
MMG,40,60,0.00015169999096542597,6,376
SoA heuristic,100,150,8.339999476447701e-05,10,377
MMG,100,150,0.00040330004412680864,8,336
SoA heuristic,200,300,0.00014809996355324984,22,807
MMG,200,300,0.001451499992981553,19,806
SoA heuristic,400,600,0.0003741999971680343,43,2332
MMG,400,600,0.00573969999095425,40,2293
SoA heuristic,600,900,0.0003534999559633434,59,2976
MMG,600,900,0.010015200008638203,55,2940
SoA heuristic,1000,1500,0.000826000003144145,102,4536
MMG,1000,1500,0.027241399977356195,89,4653
SoA heuristic,2000,3000,0.00146240001777187,206,8134
MMG,2000,3000,0.1076877000159584,190,8137
SoA heuristic,4000,6000,0.0027557999710552394,418,19104
MMG,4000,6000,0.47686629998497665,379,18827
SoA heuristic,8000,12000,0.005300799966789782,820,34304
MMG,8000,12000,1.8257142000366002,734,33793
