name,nodes,edges,time,result_set,result_w
SoA heuristic,8000,12000,0.007808699971064925,924,38756
MMG,8000,12000,2.441904900013469,822,39086
SoA heuristic,8020,12030,0.00869990000501275,922,37184
MMG,8020,12030,2.3200784000218846,792,36979
SoA heuristic,8040,12060,0.008500999945681542,926,38642
MMG,8040,12060,2.493811900028959,798,38607
SoA heuristic,8080,12120,0.008103899948764592,918,37481
MMG,8080,12120,2.4310051999636926,811,37473
SoA heuristic,8120,12180,0.007428099983371794,922,36756
MMG,8120,12180,2.5878199999569915,806,36616
SoA heuristic,8200,12300,0.01108690002001822,933,38055
MMG,8200,12300,2.5771650000242516,819,38086
SoA heuristic,8240,12360,0.008723300008568913,930,38092
MMG,8240,12360,2.600810099975206,823,38003
SoA heuristic,8400,12600,0.05002319999039173,966,39760
MMG,8400,12600,2.80704769998556,842,39393
SoA heuristic,8600,12900,0.008655200013890862,1000,40407
MMG,8600,12900,2.976874600048177,877,40871
SoA heuristic,8000,12000,0.007795399986207485,904,37343
MMG,8000,12000,2.4749555999878794,790,37004
SoA heuristic,8020,12030,0.007973500003572553,888,35622
MMG,8020,12030,2.355823900026735,780,36086
SoA heuristic,8040,12060,0.008130599977448583,904,37918
MMG,8040,12060,2.599353199999314,809,38146
SoA heuristic,8080,12120,0.008124599989969283,917,37096
MMG,8080,12120,2.5074186000274494,795,36826
SoA heuristic,8120,12180,0.008590699988417327,915,37150
MMG,8120,12180,2.6033909000107087,814,37148
SoA heuristic,8200,12300,0.008507199992891401,921,37087
MMG,8200,12300,2.7126817999524064,814,37188
SoA heuristic,8240,12360,0.008308999997097999,920,38218
MMG,8240,12360,2.5919234000029974,807,38089
SoA heuristic,8400,12600,0.008477399998810142,956,39095
MMG,8400,12600,2.811675800010562,855,38957
SoA heuristic,8600,12900,0.008881499990820885,992,41854
MMG,8600,12900,3.0151760000153445,874,41366
SoA heuristic,8000,12000,0.008021700021345168,916,37288
MMG,8000,12000,2.510920199973043,815,37118
SoA heuristic,8020,12030,0.008515900000929832,903,35867
MMG,8020,12030,2.3964699000352994,794,35562
SoA heuristic,8040,12060,0.008147999993525445,942,39233
MMG,8040,12060,2.5544729999965057,821,38896
SoA heuristic,8080,12120,0.009372000000439584,930,37923
MMG,8080,12120,2.6117424000403844,800,37491
SoA heuristic,8120,12180,0.00856509996810928,893,35647
MMG,8120,12180,2.507348200015258,798,35743
SoA heuristic,8200,12300,0.013160299975425005,928,38701
MMG,8200,12300,2.5998648999957368,814,38354
SoA heuristic,8240,12360,0.049757400003727525,950,38100
MMG,8240,12360,2.7411916999844834,829,37720
SoA heuristic,8400,12600,0.008652199991047382,972,38560
MMG,8400,12600,2.7988320000004023,865,38531
SoA heuristic,8600,12900,0.009059900010470301,1004,41735
MMG,8600,12900,2.960465799958911,868,41492
SoA heuristic,8000,12000,0.008167499967385083,923,36865
MMG,8000,12000,2.5533340999973007,810,36937
SoA heuristic,8020,12030,0.007579399971291423,908,36258
MMG,8020,12030,2.43772370001534,803,36624
SoA heuristic,8040,12060,0.008302400005050004,920,38155
MMG,8040,12060,2.5921469000168145,814,38019
SoA heuristic,8080,12120,0.007401500013656914,936,38460
MMG,8080,12120,2.6704439999884926,826,38042
SoA heuristic,8120,12180,0.008431399997789413,944,36853
MMG,8120,12180,2.5905333000118844,814,36505
SoA heuristic,8200,12300,0.05438409995986149,947,38533
MMG,8200,12300,2.6508955000317656,830,38436
SoA heuristic,8240,12360,0.009226399997714907,934,38893
MMG,8240,12360,2.7001439000014216,814,38703
SoA heuristic,8400,12600,0.00784350000321865,949,37859
MMG,8400,12600,2.731178100046236,839,38018
SoA heuristic,8600,12900,0.008796399983111769,1001,41522
MMG,8600,12900,2.908665099996142,865,41273
SoA heuristic,8000,12000,0.007896499999333173,903,36350
MMG,8000,12000,2.424308600020595,789,35963
SoA heuristic,8020,12030,0.012056000006850809,909,36640
MMG,8020,12030,2.5553021000232548,801,36576
SoA heuristic,8040,12060,0.008096400008071214,912,36825
MMG,8040,12060,2.5515668999869376,791,36698
SoA heuristic,8080,12120,0.008121100021526217,896,35923
MMG,8080,12120,2.4772982000140473,787,35644
SoA heuristic,8120,12180,0.008359599974937737,930,36862
MMG,8120,12180,2.661934799980372,814,36510
SoA heuristic,8200,12300,0.008088700007647276,921,38045
MMG,8200,12300,2.6155882999883033,806,37003
SoA heuristic,8240,12360,0.008622800000011921,964,38973
MMG,8240,12360,2.708518199971877,834,38473
SoA heuristic,8400,12600,0.0524337999522686,959,38630
MMG,8400,12600,2.8507309000124224,845,38585
SoA heuristic,8600,12900,0.00879779999377206,986,39143
MMG,8600,12900,2.9795939000323415,867,39176
SoA heuristic,8000,12000,0.008183800033293664,932,36692
MMG,8000,12000,2.5598883000202477,815,36425
SoA heuristic,8020,12030,0.007681599992793053,919,36859
MMG,8020,12030,2.571464999986347,819,36763
SoA heuristic,8040,12060,0.049184200004674494,946,38570
MMG,8040,12060,2.7512378999963403,828,38438
SoA heuristic,8080,12120,0.007901799981482327,888,36024
MMG,8080,12120,2.5000985999940895,790,36204
SoA heuristic,8120,12180,0.008565899974200875,913,36291
MMG,8120,12180,2.609060299990233,809,36838
SoA heuristic,8200,12300,0.008233900007326156,939,38570
MMG,8200,12300,2.679346400022041,824,38436
SoA heuristic,8240,12360,0.008381700026802719,934,37531
MMG,8240,12360,2.599265899974853,807,37126
SoA heuristic,8400,12600,0.052514599985443056,955,39299
MMG,8400,12600,2.914119099965319,846,39197
SoA heuristic,8600,12900,0.008619500033091754,1005,40331
MMG,8600,12900,3.1233284000190906,900,40296
