name,nodes,edges,time,results
cdl,0,0,0.0020003318786621094,1
g41,0,0,0.0,1
m22,0,0,0.0,1
maple,0,0,0.0,1
lgl,0,0,0.0009996891021728516,1
MMG,0,0,0.0,1
cdl,20,30,0.0010752677917480469,1
g41,20,30,0.0,1
m22,20,30,0.0,1
maple,20,30,0.0009915828704833984,1
lgl,20,30,0.0,1
MMG,20,30,0.0009875297546386719,0
cdl,40,60,0.0010004043579101562,1
g41,40,60,0.0,1
m22,40,60,0.00099945068359375,1
maple,40,60,0.0,1
lgl,40,60,0.0009996891021728516,1
MMG,40,60,0.0,1
cdl,100,150,0.0019941329956054688,1
g41,100,150,0.0010004043579101562,1
m22,100,150,0.001001596450805664,1
maple,100,150,0.0010020732879638672,1
lgl,100,150,0.001999378204345703,1
MMG,100,150,0.0,1
cdl,200,300,0.0029997825622558594,1
g41,200,300,0.0010001659393310547,1
m22,200,300,0.0019996166229248047,1
maple,200,300,0.000995635986328125,1
lgl,200,300,0.003004312515258789,1
MMG,200,300,0.0,1
cdl,400,600,0.0039997100830078125,1
g41,400,600,0.004003286361694336,1
m22,400,600,0.0030002593994140625,1
maple,400,600,0.0029997825622558594,1
lgl,400,600,0.003995418548583984,1
MMG,400,600,0.0,1
cdl,600,900,0.0070037841796875,1
g41,600,900,0.00605010986328125,1
m22,600,900,0.00394749641418457,1
maple,600,900,0.004998683929443359,1
lgl,600,900,0.00599980354309082,1
MMG,600,900,0.0,1
cdl,1000,1500,0.010005950927734375,1
g41,1000,1500,0.007997989654541016,1
m22,1000,1500,0.009000062942504883,1
maple,1000,1500,0.008001565933227539,1
lgl,1000,1500,0.008999347686767578,1
MMG,1000,1500,0.001001596450805664,1
cdl,2000,3000,0.020906925201416016,1
g41,2000,3000,0.01600360870361328,1
m22,2000,3000,0.015996456146240234,1
maple,2000,3000,0.01800084114074707,1
lgl,2000,3000,0.01808476448059082,1
MMG,2000,3000,0.000997781753540039,1
cdl,4000,6000,0.040999412536621094,1
g41,4000,6000,0.03400015830993652,1
m22,4000,6000,0.03099989891052246,1
maple,4000,6000,0.0370023250579834,1
lgl,4000,6000,0.0319976806640625,1
MMG,4000,6000,0.004001617431640625,1
cdl,8000,12000,0.08700060844421387,1
g41,8000,12000,0.06799912452697754,1
m22,8000,12000,0.06200051307678223,1
maple,8000,12000,0.07407784461975098,1
lgl,8000,12000,0.0729978084564209,1
MMG,8000,12000,0.0070018768310546875,1
cdl,12000,18000,0.12199926376342773,1
g41,12000,18000,0.10400080680847168,1
m22,12000,18000,0.09599947929382324,1
maple,12000,18000,0.11200070381164551,1
lgl,12000,18000,0.0989995002746582,1
MMG,12000,18000,0.009999752044677734,1
